"","SID31004","SID31009","SID31021","SID31030","SID31071","SID31112","SID31129","SID31137","SID31159","SID31160","SID31188","SID31219","SID31223","SID31233","SID31236","SID31237","SID31256","SID31267","SID31275","SID31276","SID31282","SID31285","SID31300","SID31328","SID31333","SID31337","SID31343","SID31360","SID31367","SID31379","SID31398","SID31416","SID31424","SID31428","SID31431","SID31446","SID31449","SID31450","SID31452","SID31455","SID31477","SID31489","SID31493","SID31501","SID31512","SID31519","SID31537","SID31549","SID31557","SID31582","SID31637","SID31685","SID31700","SID31705","SID31711","SID31714","SID31723","SID31749","SID31750","SID31766","SID31865","SID31866","SID31868","SID31870","SID31871","SID31872","SID31873","SID31874","SID31875","SID31876","SID31877","SID31878","SID31879","SID31880","SID31881","SID31883","SID31884","SID530002","SID530018","SID530026","SID530028","SID530039","SID530041","SID530050","SID530052","SID530054","SID530055","SID530074","SID530075","SID530119","SID530142","SID530154","SID530163","SID530167","SID530168","SID530172","SID530177","SID530185","SID530215","SID530227","SID530251","SID530258","SID530262","SID530295","SID530297","SID530315","SID530323","SID530331","SID530348","SID530364","SID530368","SID530373","SID530394","SID530398","SID530403","SID530444","SID530450","SID530451","SID530558","SID530600","SID530623","SID530697","SID530705","SID530743","SID530756","SID530840","SID530867","SID530890","SID531128","SID531155","SID531248","SID531274","SID531277","SID531281","SID531333","SID531352","SID531361","SID531382","SID531403","SID531414","SID531416","SID531424","SID531469","SID531663","SID531766","SID531775","SID532305","SID532749","SID532779","SID532796","SID532802","SID532826","SID532832","SID532915"
"Actinomycetia",4.49781,4.61604,11.30732,1.04355,16.5781,22.87653,25.74096,4.83221,34.63512,0.0104,0.31281,5.96811,5.45054,3.53629,12.71604,16.47336,17.93793,4.2617,0.03705,1.72653,0.00822,0.01097,3.92612,2.29556,25.68874,0.49665,55.70846,7.19248,1.11683,8.01353,2.00538,7.93486,17.38862,0.01304,12.91257,0.14388,6.93216,0.30725,10.31842,10.42661,14.37501,5.78842,2.62046,0.15465,30.19672,2.3467,15.37939,5.33016,48.14457,16.17344,15.6741,5.12146,13.93836,0.44279,2.70776,49.4369,1.76983,15.67087,7.70748,0.12747,8.08787,0.44769,2.26564,27.88394,23.06205,23.60924,11.94326,5.0931,5.07451,6.75322,0.13252,1.04773,49.70782,2.07585,13.14777,0.86315,41.59706,5.54268,40.75898,46.62234,0.88197,0.11953,15.6527,3.81357,37.88695,54.45135,14.95578,63.97126,1.05911,44.87275,3.93208,30.79311,4.38217,1.77966,2.66014,2.34091,4.80874,0.07713,43.9198,1.99706,0.25811,14.30922,1.83303,19.72918,19.61602,15.66145,25.561,3.77968,47.56866,14.25943,20.86099,7.9167,0.00074,11.8519,4.72861,14.383,17.24461,1.56962,2.2661,12.15431,6.16188,8.66096,0.64408,0.07201,0.0314,4.31916,0.75035,6.06841,18.87089,3.20035,0.92832,0.3299,3.02484,14.09813,0.26303,4.06067,0.02631,1.51791,0.00676,11.91479,16.92546,3.88585,0.07684,1.67672,1.82179,0.02116,0.17832,13.64694,1.0783,4.3774,3.46264,7.7492,1.39054,13.71558
"Coriobacteriia",4.60656,4.72937,5.58181,2.90607,11.65956,24.22701,29.80436,3.86406,10.31891,7.96721,5.00344,5.67746,3.57828,11.88568,6.61112,9.2526,21.90196,8.95949,6.21839,4.76696,20.09225,6.93082,6.23066,8.61082,7.76625,0.47601,0.57043,11.44657,2.69896,6.18782,2.06577,6.35052,10.05779,0.97334,5.81285,1.1144,4.87261,27.28855,1.88214,11.94624,13.47832,11.02588,13.96881,3.95908,3.81623,3.88594,3.75684,14.17941,22.03692,16.68005,1.04312,11.34181,8.1165,3.43528,0.90399,8.62118,2.85571,11.66427,11.59099,5.80748,8.61715,2.63156,1.47026,9.83639,7.15217,12.01949,8.76825,0.95664,2.7297,1.74182,1.86074,3.76792,7.75651,1.81642,6.85379,0.60376,8.78655,3.80227,12.26787,15.51856,7.80179,12.19211,5.93544,6.51804,14.4719,5.69894,6.41941,1.94095,7.10059,11.54322,1.54765,0.0243,11.15629,2.06332,2.67421,15.14949,5.71286,4.61943,10.24239,0.77697,3.97539,8.15199,23.42203,4.74725,7.26393,27.68084,13.39691,0.38074,22.2414,19.36024,28.21286,0.15752,2.07781,5.65225,6.65366,18.87657,17.96146,3.45071,2.83774,9.75879,2.96258,2.14635,1.51903,1.52054,2.15074,1.14355,2.77283,6.20543,7.50855,3.68044,0.75245,0.07636,6.50469,1.62371,2.71019,8.4202,0.49053,0.58049,0.00646,0.50465,2.54952,0.68563,0.57672,0.60102,1.31056,3.16693,0.54418,8.08823,0.94209,1.17728,3.35461,1.45549,5.50664,3.79705
"Saccharomycetes",0,0,0,0,0,0.02362,0,0,0,0,0,0,0,0.00283,0.00173,0,0.00019,0,0,0,0,0,0,0,0.01101,0,0,0,0.00425,0,0,0,0.01061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00361,0,0,0,0.00037,0,0,0,0,0.47963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00869,0,0,0,0,0,0.04495,0,0.00619,0,0,0,0,0,0.00304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03132,0,0.00149,0,0,0,0,0,0.0153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02448,0,0.02082,0,0.00316,0,0,0,0,0,0,0,0.02453,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroidia",16.60035,8.17562,4.95506,8.1594,1.4977,0.96201,0.14653,1.04168,1.29617,2.03742,8.1979,4.29696,35.09533,0.26069,6.71079,1.40596,0.34563,1.67052,25.92292,3.7024,5.04819,24.87651,19.6933,16.30862,1.32559,0.57489,7.84294,17.86749,2.75763,4.78396,6.80078,0.44113,0.37465,1.0064,11.57327,35.97396,3.67488,16.19444,4.61133,10.00777,1.07967,4.07292,2.324,3.91374,0.42876,6.36933,0.97219,2.65008,0.13031,0.32856,0.04175,4.75941,3.82455,0.02549,0.00325,0.03704,2.07437,5.45265,6.63129,1.26623,1.7581,9.98765,37.8089,0.46709,0.67544,10.34496,7.61435,58.03314,21.48164,36.86063,48.2656,43.71364,2.75504,51.67564,18.734,61.65962,11.73809,0.13868,0.004,0.46322,33.13669,1.05395,4.68774,21.48804,0.10408,6.07626,6.69145,0.33885,5.49472,3.69995,2.46455,0.09328,0.87975,9.25076,9.273,0.16901,0.90846,25.24793,1.39778,3.57829,0.05179,2.54489,4.37952,3.74522,3.40298,0.78814,0.28762,17.07991,0.0258,8.85645,1.29626,12.5461,34.83061,0.61902,0.06792,1.23502,6.07168,4.00269,18.50921,31.8111,23.17744,15.06043,33.17449,22.92798,41.66999,6.92414,36.08596,17.29455,23.1011,3.40561,70.57466,0.95514,37.06977,1.15296,3.51398,29.71597,75.19824,69.55714,21.11611,12.98615,17.38336,90.76497,27.83268,30.44368,63.66504,3.71053,59.16405,10.48114,30.9547,36.87194,17.03702,1.25626,18.89614,30.04062
"Chlamydiia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Methanobacteria",0,0.41979,0,0,0,0,0,0,0.01898,1.24964,0,0.33046,18.2077,0,0,0,0,0,0.8515,1.81116,0,0.00376,1.55288,0,0.61834,0,0,0,0.09187,0,0,0,0,0,1.02406,0.00097,0,0,0,0,0.03589,3.13592,0.03949,0,0,0.37588,0,2.95346,0,2.80051,0.00146,20.40278,2.50721,0,0,0,0,1.90472,0,0,0.0194,18.16472,0.93615,0.00521,0,0.00348,0.05806,0.27973,0,0,0.04904,0,2.15906,0.69475,0,0.01617,3.44612,0,0,0.77977,0.9581,0,12.35084,0,0,4.52731,1.69584,0,0.14605,0,0,0,0,0,0.01817,0,0,10.99006,1.87811,0,0,0,0,17.59442,1.92192,0,0.03237,0.58322,0.02464,0,0,8.71249,0,0.01924,0,0,1.02145,2.36198,0,5.55181,2.79129,0,0,0.01833,0,8.94125,0.25673,0.08427,4.46525,0.02426,0.05471,0.08882,0.20173,0,0.00458,4.29241,0.02069,0.66969,0,0,0,0,0,1.05562,0,0,0,0,0,0,1.00796,0,0,17.16474
"Bacilli",14.77801,13.29942,1.49146,2.11212,1.05977,0.79393,4.19709,2.12267,0.64546,0.35248,0.06188,2.21333,0.13082,6.61291,0.66712,0.65966,1.2652,0.45831,0.03159,0.14987,0.22613,0.61594,1.81655,4.92273,0.33938,5.60995,19.64918,0.37706,4.25293,13.24506,10.42132,0.25676,0.85877,0.16684,1.17256,3.01698,1.72905,0.02738,1.30624,0.73858,1.30067,0.84921,0.67429,0.48513,0.11549,1.33846,9.43507,0.12093,7.78318,6.92164,1.27544,0.04596,1.43019,46.8282,1.40589,2.26502,1.72672,0.38874,0.60857,1.6793,1.71128,2.42314,5.72107,2.25241,0.15704,0.37089,0.18097,0.15286,0.46423,2.95069,0.05627,0.29439,0.10977,4.74235,0.46482,0.56251,0.35417,0.33331,0.3098,1.28095,0.85233,0.02141,1.20264,14.06048,1.49629,0.61083,0.42367,1.03869,2.52782,3.58919,0.56795,8.2616,24.03473,4.67876,0.98114,7.70025,2.60405,1.2516,0.3,0.04171,5.9163,2.88707,1.45522,0.21506,2.21605,5.52469,0.03241,0.41363,1.00696,0.06716,2.58569,2.26031,0.26852,0.13472,1.98955,1.20063,1.18507,36.98402,0.37951,0.36393,0.03704,0.55546,2.96486,1.26403,0.36795,2.64907,0.34373,1.26193,1.95197,9.18881,1.28616,5.03307,0.09255,8.4209,0.32947,0.90387,0.1366,0.28696,0.09785,0.08771,0.21671,1.32007,3.57084,0.00122,0.11026,0.74688,0.27258,0.73165,1.37511,0.69001,0.93445,1.45811,0.56725,0.30114
"Clostridia",56.06739,67.91519,57.9164,35.8086,68.02588,44.62161,38.16813,85.91139,28.86678,82.62374,72.71037,57.9499,18.96433,69.00195,70.91387,68.47846,56.30707,73.65068,39.31855,83.38084,70.39445,59.13388,62.5053,64.26755,59.08725,71.45167,7.13245,57.37717,12.57118,67.122,76.1115,81.81274,70.77871,87.62064,59.12847,39.32791,80.3999,14.65117,61.3286,54.8377,68.02637,73.01044,40.73434,80.40803,64.91751,65.44778,58.5325,66.71397,18.11622,55.63768,56.18655,56.11018,57.70244,10.07856,92.77607,28.32865,90.50206,60.4613,59.4264,90.70959,79.02137,21.56075,32.8283,57.01459,61.561,42.09193,47.11415,31.92295,62.50125,27.39076,45.74355,40.95621,11.60672,29.66642,45.50801,23.0307,13.69063,87.22128,42.59284,30.03838,47.66035,86.38766,25.84998,44.34257,43.89773,25.45055,66.04767,31.37473,33.06979,33.90551,90.68511,54.06442,58.24045,57.54669,82.78932,74.44942,82.02509,49.08188,39.60874,79.38428,84.65337,67.63397,54.46461,42.4132,61.56653,35.23734,54.68071,75.22977,28.23042,46.04258,35.93615,49.47482,54.92491,79.92128,65.31466,61.63219,52.40119,36.96474,69.6628,35.92212,56.37817,62.70603,51.26477,45.16035,38.54299,18.93858,57.10155,65.48711,34.29867,77.24031,24.88297,0.61391,50.32998,45.07949,64.70826,45.08214,22.83345,21.39166,43.42465,69.45172,52.45144,3.14754,61.9397,50.84853,32.02863,83.27462,36.14855,58.61455,64.28027,49.2518,71.56145,75.17106,68.24619,29.13357
"Erysipelotrichia",2.26365,0.03183,0.34169,0.07925,0.00086,5.86757,0.73033,0.60875,0.00861,0.23782,12.2593,0,0.02254,8.38118,0.17545,3.40142,0.51151,4.46146,14.02724,0.02509,1.64723,0.09073,0.6168,0.03548,0.90959,4.41731,0.00855,1.99374,0.49769,0.14703,1.40734,1.32053,0.03358,1.11814,0.29171,4.2983,1.39183,2.50235,0.55426,0.19603,1.01748,0.10531,1.02841,8.96474,0.05073,0.76142,0.27686,0.04692,3.00054,0.83231,0.10079,0.41691,2.87301,1.27494,1.68613,0.08419,0.3661,0.01543,9.62876,0.2419,0.25906,0.66481,0.48299,1.94425,6.75395,0.77746,4.68499,0.07628,4.73105,0.84329,1.28492,0.13554,0.29019,0.60631,0.9104,1.31458,0.38021,2.76278,3.94651,4.3413,3.19019,0.07426,1.96869,3.71811,0.15121,0.64758,0.02014,0.50893,0.2115,0.10422,0.40189,5.5965,0.91571,3.60106,0.25846,0.00683,0.17358,0.01677,0.46094,0.5234,3.58535,0.01494,0.36519,0.09137,0.05796,0.00663,0.42033,1.10127,0.2191,0.19378,0.56347,4.7373,0.22254,0.04231,0.32953,1.68297,1.40609,1.20933,0.35198,0.59568,1.56671,0.35767,0.6993,0.00435,5.27095,1.17316,0.08697,0.42365,1.05477,0.15681,0.04906,0.36018,0.11897,6.37937,0.56312,1.67261,0.16938,0.47358,3.03073,0.0282,0.28286,0,0.6708,0.14323,0.18251,2.72499,0.22633,1.67758,0.0367,0.45155,1.25668,5.18263,0.0134,0.3691
"Negativicutes",0.86271,0.00821,0.77795,0.18229,0.79151,0.11526,0.04738,0.0329,1.14717,2.62282,0.27004,2.91096,1.23101,0,0.61775,0.01218,0.34426,0.13815,1.36222,0.00425,0.73145,0,1.93384,0.29654,4.01508,0,0.03234,0.50339,0.23348,0.17209,0.1335,0.00453,0.28994,0,0.84101,1.29972,0.08041,0.98611,11.37226,7.45457,0.0509,0.08692,0.12211,0.2277,0.21938,0.04547,0.1821,0.03113,0.05685,0.03917,0.02016,0.07215,0.01474,1.26183,0.12248,0,0.02907,0,0.18075,0.04354,0.21096,0.3528,0.74349,0.0144,0.07429,0.49112,1.06052,1.39023,0.59784,3.05631,0.05411,0.15317,0.03295,4.55937,2.372,1.47876,0.16873,0.00508,0.00148,0.00941,3.96125,0,0.03758,0.4125,0.00347,0.25353,0.1392,0,0.0176,0.08685,0.16659,0.17281,0.02673,2.04244,0.38777,0,0.07009,2.5115,0.38001,0.15358,0.02794,0.12757,2.73374,5.14718,0.98016,0,0.00251,0.4142,0.02996,0.34758,0.49877,0.22204,0.20427,0.00877,0.00199,0.4342,0.34146,4.7144,0.19088,0.84657,2.37769,0.29367,1.66713,10.27591,0.03529,0.13577,0.12154,1.41479,2.30884,0.19517,0.66132,0.20138,0,0.73008,0,1.16387,0.83709,1.58238,20.24778,0.42987,0.29141,0.13893,2.0705,6.37165,0.00923,2.8298,0.57829,1.98179,0.17248,2.30872,0.25304,7.2892,4.57944,3.25868
