"","SID31004","SID31009","SID31021","SID31030","SID31071","SID31112","SID31129","SID31137","SID31159","SID31160","SID31188","SID31219","SID31223","SID31233","SID31236","SID31237","SID31256","SID31267","SID31275","SID31276","SID31282","SID31285","SID31300","SID31328","SID31333","SID31337","SID31343","SID31360","SID31367","SID31379","SID31398","SID31416","SID31424","SID31428","SID31431","SID31446","SID31449","SID31450","SID31452","SID31455","SID31477","SID31489","SID31493","SID31501","SID31512","SID31519","SID31537","SID31549","SID31557","SID31582","SID31637","SID31685","SID31700","SID31705","SID31711","SID31714","SID31723","SID31749","SID31750","SID31766","SID31865","SID31866","SID31868","SID31870","SID31871","SID31872","SID31873","SID31874","SID31875","SID31876","SID31877","SID31878","SID31879","SID31880","SID31881","SID31883","SID31884","SID530002","SID530018","SID530026","SID530028","SID530039","SID530041","SID530050","SID530052","SID530054","SID530055","SID530074","SID530075","SID530119","SID530142","SID530154","SID530163","SID530167","SID530168","SID530172","SID530177","SID530185","SID530215","SID530227","SID530251","SID530258","SID530262","SID530295","SID530297","SID530315","SID530323","SID530331","SID530348","SID530364","SID530368","SID530373","SID530394","SID530398","SID530403","SID530444","SID530450","SID530451","SID530558","SID530600","SID530623","SID530697","SID530705","SID530743","SID530756","SID530840","SID530867","SID530890","SID531128","SID531155","SID531248","SID531274","SID531277","SID531281","SID531333","SID531352","SID531361","SID531382","SID531403","SID531414","SID531416","SID531424","SID531469","SID531663","SID531766","SID531775","SID532305","SID532749","SID532779","SID532796","SID532802","SID532826","SID532832","SID532915"
"Actinobaculum",0.00387,0,0,0,0.0048,0,0.00053,0,0,0,0,0,0,0,0,0.00742,0.00951,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00149,0,0,0.00834,0,0,0,0,0,0,0,0.0016,0,0,0,0,0,0,0,0,0.00148,0,0,0,0,0,0,0,0,0.00129,0.00548,0,0,0,0,0,0,0,0,0,0,0,0.00092,0,0,0,0,0,0.00475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00533,0,0,0,0,0,0,0.00475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces",0.04219,0.05886,0.00952,0.00027,0.1395,0.07099,0.03509,0.072,0.06387,0,0.00232,0,0,0.00384,0.00549,0.04756,0.41474,0.10544,0,0,0.00761,0,0.00697,0.00269,0.01916,0.12273,0.01931,0.08724,0.16938,0.29769,0.60559,0.01131,0.22854,0,0.02316,0.00172,0.07118,0.10478,0.03032,0,0.15665,0.03678,0.12185,0.06719,0.06741,0.02325,0.18447,0.07773,0.08945,0.5594,0.04847,0.0052,0.11019,0.20568,0.01434,0.03945,0.11853,0.11941,0.06613,0.06435,0.04653,0.0194,0.03726,0.1122,0.00804,0.00531,0.0048,0.00418,0,0.02353,0.00329,0.00085,0.04783,0.17999,0.09764,0.00425,0.0018,0.00404,0.02003,0.05828,0.00393,0.03415,0.00268,0.01289,0.06001,0.04505,0.04161,0.09038,0.01458,0.07479,0.01282,0.0743,0.21195,0.05124,0.02487,0.05975,0.06177,0.02064,0.05276,0.00126,0.02688,0.02463,0.15503,0.04858,0.05192,0.06938,0.03825,0,0.5682,0.00773,0.03646,0.00937,0.00012,0.01447,0.10156,0.10615,0.18134,0.20095,0.00258,0.01183,0,0.02154,0.26297,0.00401,0.02023,0.00965,0.0107,0.01767,0.03307,0.05801,0.00221,0.02482,0.00955,0.01176,0.04061,0.01007,0.0047,0,0.00676,0.00213,0.00992,0.6239,0.00354,0,0.00287,0.01064,0,0,0,0.00054,0.0241,0.06723,0.00018,0
"Pauljensenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00316,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Schaalia",0.06447,0,0.00254,0,0.03176,0.01041,0.02749,0.00257,0.00154,0,0.00911,0,0.05167,0.00719,0,0.01042,0.02243,0.03312,0.0135,0,0.00061,0.00099,0.00043,0.00301,0.00474,0.12954,0.01803,0.01346,0.00894,0.10343,0.10869,0.00958,0.05595,0,0.00212,0.00363,0.03134,0.02296,0.00395,0,0.01738,0.0178,0.02646,0.00349,0.0244,0.00465,0.01439,0.01147,0.01684,0.03056,0.01811,7e-04,0.02038,0.0129,0.00209,0.01124,0.03982,0.02257,0.02848,0.00061,0.00539,0.00013,0.00249,0.0204,0.00219,0.00394,0.00316,0.02082,0,0.01991,0,0.02194,0.00474,0.01365,0.00736,0.00369,0,0,0.00242,0.00489,0.00447,0.01764,0.00297,0.02286,0.01577,0.00834,0.00152,0.02399,0.00831,0.01092,0.00348,0.03416,0.07863,0,0.00315,0,0.00409,0.00562,0.00776,0,0.02692,0.02161,0.03173,0.011,0.00208,0.01243,0.01191,0,0.04054,0.00697,0,0.00086,0.00062,0.00412,0.06372,0.00099,0.01538,0.00883,0,0.00163,0,0.00374,0.03662,0.00703,0,0.00321,0,0.00056,0,0.00157,0.00478,0.00346,0.00618,0.01307,0.01326,0.00479,0,0,0,0,0.00082,0.05686,0.03259,0,0,0,0,0,0,0,0,0.01128,0,0
"Aeriscardovia",0,0.00124,0.00611,0,0.02872,0.00391,0,0.00151,0.0117,0,0,0,0,0,0.00734,0.01001,0,0,0,0,0,0,0,0,0.00205,0,0.01455,0.00806,0,0.00551,0,0,0.00332,0,0,0,0,0,0.00327,0.01519,0.00334,0.00388,0,0,0.00909,0,0.01326,0.00704,0.04801,0.01244,0.00356,0,0.00382,0,0,0.00595,0,0,0,0,0,0,0,0.01353,0.01467,0,0.00903,0,0,0,0,0,0.00663,0,0.00222,0,0.07974,0,0.00465,0.0067,0,0,0.00338,0,0.01205,0.00405,0.00319,0.01158,0,0.0065,0.00263,0.01616,0,0,0,0,0,0,0.00184,0,0,0.0098,0,0,0.00524,0,0.00146,0,0,0.00449,0.00171,0.00112,0,0,0,0,0,0,0,0,0.00155,0,0,0,0,0,0,0,0,0,0,0,0,0.00402,0,0,0,0,0,0,0.00697,0,0,0,0,0,0,0.00189,0,0,0.00211,0.00146,0,0.0025
"Alloscardovia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00137,0,0,0,0,0,0,0,0,0.0222,0,0,0,0.00404,0,0,0,0,0,0,0.00134,0,0,0,0,0,0,0,0,0,0.03357,0.00929,0.1742,0.03088,0,0,0,0.1048,0,0,0,0.03681,0.00036,0,0,0,0.25658,0,0,0,0,0,0,0,0,0,0.00745,0.03222,0.00658,0,0,0,0.00027,0,0,0.00923,0,0.03648,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00874,0.00118,0.06243,0,0.00267,0,0,0,0,0.00671,0,0.01796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00257,0,0.01692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00827,0,0,0,0,0,0
"Bifidobacterium",4.26109,4.54731,11.28915,0.98138,16.36083,22.79122,25.6435,4.75613,34.53995,0.00157,0.14713,5.9666,5.39887,3.05524,12.70242,16.03345,17.42489,4.11245,0.00428,1.72583,0,0.00998,3.88054,2.21046,25.66279,0.21898,55.63473,7.08372,0.93412,7.41768,1.1772,7.91361,17.0521,0.00185,12.82841,0.1104,6.79625,0.17862,10.24576,10.341,13.833,5.72996,2.46306,0.04838,30.08313,1.74756,15.0915,5.22239,47.7489,15.46147,15.54953,5.11556,13.77209,0.00269,2.67259,49.33782,1.596,15.43911,4.03801,0.05391,8.03595,0.42591,1.87028,27.68363,23.01629,23.57776,11.92627,5.06101,5.07451,6.69326,0.12923,1.02494,49.59164,1.59878,13.03193,0.85286,41.51552,5.34348,40.43955,46.55247,0.76281,0.01914,15.63647,3.73644,37.79912,54.37671,14.90946,63.78542,1.03622,44.77204,3.91315,30.59091,3.72361,1.71834,2.62412,2.28017,4.73495,0,43.85449,1.93322,0.20431,14.18845,1.6434,19.58139,19.53986,15.57964,25.4941,3.77516,46.89563,14.00125,20.46618,7.90535,0,11.83331,4.56085,13.27838,17.04698,1.28659,2.26352,12.14085,6.16033,8.63568,0.17022,0.05383,0.00642,4.29609,0.73788,6.03326,18.83317,3.13639,0.91698,0.26282,3.00911,13.92201,0.20916,4.04581,0.02161,1.50727,0,11.90759,16.90775,3.19411,0.0165,1.67646,1.81378,0.00972,0.17832,13.61786,1.07788,4.32551,3.43643,7.6679,1.39036,13.70639
"Gardnerella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parascardovia",0,0,0,0,0,0,0,0,0.00449,0,0,0,0,0,0,0.29656,0,0,0,7e-04,0,0,0,0,0,0,0.00302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01601,0,0,0,0,0,0.00293,0.00887,0,0,0.0026,0,0,0,0,0,0,0,0,0,0,0,0,0.00849,0,0,0,0,0,0.00028,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00368,0.00347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00237,0,0,0,0
"Scardovia",0,0,0,0,0,0,0,0,0.00053,0,0,0,0,0,0,0.01501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00812,0,0,0.03192,0,0,0,0,0,0.03764,0.00661,0,0,0,0,0.00225,0.09759,0,0,0,0,0,0,0,0,0,0.01834,0.00731,0,0,0,0.0085,0,0,0,0,0,0,0,0,0,0.00059,0,0,0,5e-04,0.01364,0.0023,0,0,0,0,0,0.00015,0,0,0,0,0,0,0,0.00452,0.00459,0,0.00557,0,0,0,0,0.02557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00638,0,0,0,0,0,0.01892,0,0.04824,0,0,0,0
