"","SID31004","SID31009","SID31021","SID31030","SID31071","SID31112","SID31129","SID31137","SID31159","SID31160","SID31188","SID31219","SID31223","SID31233","SID31236","SID31237","SID31256","SID31267","SID31275","SID31276","SID31282","SID31285","SID31300","SID31328","SID31333","SID31337","SID31343","SID31360","SID31367","SID31379","SID31398","SID31416","SID31424","SID31428","SID31431","SID31446","SID31449","SID31450","SID31452","SID31455","SID31477","SID31489","SID31493","SID31501","SID31512","SID31519","SID31537","SID31549","SID31557","SID31582","SID31637","SID31685","SID31700","SID31705","SID31711","SID31714","SID31723","SID31749","SID31750","SID31766","SID31865","SID31866","SID31868","SID31870","SID31871","SID31872","SID31873","SID31874","SID31875","SID31876","SID31877","SID31878","SID31879","SID31880","SID31881","SID31883","SID31884","SID530002","SID530018","SID530026","SID530028","SID530039","SID530041","SID530050","SID530052","SID530054","SID530055","SID530074","SID530075","SID530119","SID530142","SID530154","SID530163","SID530167","SID530168","SID530172","SID530177","SID530185","SID530215","SID530227","SID530251","SID530258","SID530262","SID530295","SID530297","SID530315","SID530323","SID530331","SID530348","SID530364","SID530368","SID530373","SID530394","SID530398","SID530403","SID530444","SID530450","SID530451","SID530558","SID530600","SID530623","SID530697","SID530705","SID530743","SID530756","SID530840","SID530867","SID530890","SID531128","SID531155","SID531248","SID531274","SID531277","SID531281","SID531333","SID531352","SID531361","SID531382","SID531403","SID531414","SID531416","SID531424","SID531469","SID531663","SID531766","SID531775","SID532305","SID532749","SID532779","SID532796","SID532802","SID532826","SID532832","SID532915"
"Actinomycetales",0.11053,0.05886,0.01206,0.00027,0.17606,0.0814,0.06311,0.07457,0.06541,0,0.01143,0,0.05167,0.01103,0.00549,0.06856,0.44668,0.13856,0.0135,0,0.00822,0.00099,0.0074,0.0057,0.0239,0.25227,0.03734,0.1007,0.17832,0.40549,0.71428,0.02089,0.28449,0,0.02528,0.00535,0.10252,0.12774,0.03427,0,0.17403,0.05458,0.14831,0.07217,0.09181,0.0279,0.2072,0.0892,0.10629,0.58996,0.06658,0.0059,0.13057,0.21858,0.01803,0.05069,0.15835,0.14198,0.09461,0.06496,0.05192,0.01953,0.03975,0.13408,0.01023,0.00925,0.00796,0.025,0,0.04344,0.00329,0.02279,0.05386,0.19912,0.105,0.00794,0.0018,0.00404,0.02245,0.06317,0.0084,0.05179,0.00565,0.03575,0.07578,0.05431,0.04313,0.12254,0.02289,0.08571,0.0163,0.11321,0.29058,0.05124,0.02802,0.05975,0.06586,0.02626,0.06052,0.00126,0.0538,0.04624,0.18676,0.05958,0.054,0.08181,0.05016,0,0.60874,0.0147,0.03646,0.01023,0.00074,0.01859,0.16528,0.10714,0.19672,0.21511,0.00258,0.01346,0,0.02528,0.29959,0.01104,0.02498,0.01286,0.0107,0.01823,0.03307,0.05958,0.00699,0.02828,0.01573,0.02483,0.05387,0.01486,0.0047,0,0.00676,0.00213,0.01074,0.68076,0.03613,0,0.00287,0.01064,0,0,0,0.00054,0.0241,0.07851,0.00018,0
"Bifidobacteriales",4.26109,4.54855,11.29526,0.98138,16.38955,22.79513,25.6435,4.75764,34.55667,0.00157,0.14713,5.9666,5.39887,3.05524,12.70976,16.35503,17.42626,4.11245,0.00428,1.72653,0,0.00998,3.88054,2.21046,25.66484,0.24118,55.6523,7.09178,0.93412,7.42723,1.1772,7.91361,17.05542,0.00185,12.82841,0.1104,6.79759,0.17862,10.24903,10.35619,13.83634,5.73384,2.46306,0.04838,30.09222,1.74756,15.14645,5.23872,47.97111,15.55272,15.55309,5.11556,13.77591,0.10749,2.67259,49.38434,1.61148,15.47592,4.03837,0.05651,8.03595,0.42816,2.22445,27.69716,23.03096,23.57776,11.9353,5.06101,5.07451,6.69499,0.12923,1.02494,49.63255,1.63831,13.04073,0.85286,41.59526,5.35198,40.44475,46.55917,0.76281,0.02837,15.63985,3.77292,37.81117,54.38076,14.91265,63.79759,1.03622,44.77854,3.91578,30.60757,3.74093,1.72411,2.62412,2.28017,4.73495,0.00874,43.85751,1.9958,0.20431,14.20092,1.6434,19.58139,19.5451,15.57964,25.50227,3.77968,46.9188,14.00574,20.47346,7.90647,0,11.83331,4.56085,13.30395,17.04698,1.28659,2.26352,12.14085,6.16188,8.63568,0.17022,0.05383,0.00642,4.29866,0.73788,6.05018,18.83317,3.13639,0.91698,0.27492,3.00911,13.92603,0.20916,4.04581,0.02161,1.50727,0,11.90759,16.91472,3.20049,0.0165,1.67646,1.81378,0.00972,0.17832,13.64694,1.07788,4.37612,3.43854,7.66936,1.39036,13.70889
"Corynebacteriales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00079,0.0074,0.00253,0.0014,0,0,0,0,0,0,0,0,0,0,0,0.03193,0.01179,0,0.00944,0,0,0,0,0.00089,0.00884,0,0.34122,0,0,0.01973,0.01195,0,0,0,0.01358,0.002,0,0,0,0,0,0.00075,0,0.00169,0,0,0,0,0,0,0.00419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00052,0,0.00115,0,0.00196,0,0.01552,0,0,0,0,0.00039,0,0.00717,0,0,0.00615,0,0,0,0.00671,0,0,0,0,0.0043,0,0,0,0,0,0,0,0,0,0,0.00919,0,0,0,0,0.14078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00669
"Micrococcales",0.12619,0.00863,0,0.00063,0.01249,0,0.00157,0,0.01304,0.00883,0,0.00151,0,0,0,0,0.0124,0.00929,0,0,0,0,0.03818,0.0794,0,0,0.01882,0,0.00439,0.11316,0.10211,0.00036,0.03927,0.01119,0.00579,0.02813,0.03205,0,0.02628,0.00735,7e-04,0,0.00718,0.0076,0.00074,0,0.00404,0.00025,0.03834,0.02251,0.05443,0,0.03188,0.11672,0.01695,0,0,0.03878,0,0,0,0,0.00144,0.0527,0,0.02223,0,0,0,0.01479,0,0,0,0.01749,0,0.00235,0,0,0,0,0.00047,0,0.0072,0.00375,0,0.01309,0,0.03561,0,0.00095,0,0.06781,0.31543,0.00431,0.00083,0,0.00793,0.03598,0.00177,0,0,0.05535,0.00287,0.00324,0.01049,0,0.00257,0,0.04112,0,0.00602,0,0,0,0.00248,0.01048,0,0.02989,0,0,0,0,0.02719,0.00714,0,0.00764,0.00177,0,0.00465,0.00438,0.00435,0.0267,0,0.03359,0,0,0,0.01064,0,0.00507,0,0.0046,0.02421,0,0.00514,0,0,0,0,0.00074,0,0.00133,0,0
"Propionibacteriales",0,0,0,0.06127,0,0,0.03278,0,0,0,0.15425,0,0,0.47002,0,0.04237,0.05006,0,0.01927,0,0,0,0,0,0,0.0032,0,0,0,0.03572,0,0,0,0,0.05309,0,0,0,0,0.06307,0.02272,0,0.00191,0.00677,0,0.57124,0.0217,0.00199,0.01525,0.00625,0,0,0,0,0.00019,0.00112,0,0.0125,3.5745,0.006,0,0,0,0,0.01667,0,0,0.00709,0,0,0,0,0.02141,0.22093,0.00204,0,0,0.18666,0.29178,0,0.11029,0.03885,0,0,0,0.00123,0,0,0,0.00755,0,0.00452,0.03484,0,0,0.00099,0,0,0,0,0,0,0,0.08497,0.00643,0,0.0017,0,0,0.23899,0.34505,0,0,0,0,0.96143,0.00091,0.02884,0,0,0,0,0.0063,0,0,0,0,0,0,0,0,0,0,0.11368,0,0,0,0,0,0,0,0,0,0.00026,0,8e-04,0,0,0.00042,0,0,0,0,0
"Coriobacteriales",4.60393,3.69723,2.68872,2.20674,7.9927,19.69908,29.48245,0.00658,9.94539,4.64316,3.42325,3.42316,3.24103,9.2627,5.4871,8.25131,12.65971,7.86102,4.08559,4.1991,17.76996,6.33174,1.88055,7.08841,7.30969,0.009,0.0033,6.8817,2.20606,3.82408,1.72086,1.43129,9.38028,0.00352,4.50687,0.64179,4.43175,23.07507,1.24897,10.7646,12.85957,8.099,13.70102,0.00551,0.01358,1.86428,1.05439,9.36377,19.06831,13.4775,0.01417,9.17085,7.94589,1.25036,0.00544,7.45647,1.85677,9.63956,5.57819,0.0021,0.90557,0.09389,1.01549,7.70322,6.40972,7.9607,7.74657,0.8843,2.47237,1.52225,1.19158,1.84313,7.32867,1.27286,6.55618,0.06544,7.28238,0.90418,10.74728,14.21097,5.53163,8.15215,4.86819,5.62761,11.28979,2.61345,3.00162,0.06231,5.64365,9.32555,0.02491,0.0243,7.73743,1.63335,0.00571,7.14571,0.00526,0.01015,8.60908,0.00241,0.00097,6.92836,21.29426,2.96756,5.11285,26.35513,12.61063,0.17645,19.63813,12.60733,12.62607,0,1.15343,5.04835,5.38514,18.23873,12.9098,2.96138,0,8.77668,1.79928,1.72058,0.00825,1.39332,2.15074,0.65483,2.62766,5.86654,7.27381,2.25066,0.6175,0.07276,4.61457,1.38809,0.02704,5.85367,0.46824,0.12473,0.00646,0.00527,0.1571,0.68563,0.01136,0.06821,0.93939,0.00324,0,7.47247,0.36509,0.85814,1.7728,0,4.40068,3.43957
"Eggerthellales",0.00263,1.03214,2.89309,0.69933,3.66686,4.52793,0.32191,3.85748,0.37352,3.32405,1.58019,2.2543,0.33725,2.62298,1.12402,1.00129,9.24225,1.09847,2.1328,0.56786,2.32229,0.59908,4.35011,1.52241,0.45656,0.46701,0.56713,4.56487,0.4929,2.36374,0.34491,4.91923,0.67751,0.96982,1.30598,0.47261,0.44086,4.21348,0.63317,1.18164,0.61875,2.92688,0.26779,3.95357,3.80265,2.02166,2.70245,4.81564,2.96861,3.20255,1.02895,2.17096,0.17061,2.18492,0.89855,1.16471,0.99894,2.02471,6.0128,5.80538,7.71158,2.53767,0.45477,2.13317,0.74245,4.05879,1.02168,0.07234,0.25733,0.21957,0.66916,1.92479,0.42784,0.54356,0.29761,0.53832,1.50417,2.89809,1.52059,1.30759,2.27016,4.03996,1.06725,0.89043,3.18211,3.08549,3.41779,1.87864,1.45694,2.21767,1.52274,0,3.41886,0.42997,2.6685,8.00378,5.7076,4.60928,1.63331,0.77456,3.97442,1.22363,2.12777,1.77969,2.15108,1.32571,0.78628,0.20429,2.60327,6.75291,15.58679,0.15752,0.92438,0.6039,1.26852,0.63784,5.05166,0.48933,2.83774,0.98211,1.1633,0.42577,1.51078,0.12722,0,0.48872,0.14517,0.33889,0.23474,1.42978,0.13495,0.0036,1.89012,0.23562,2.68315,2.56653,0.02229,0.45576,0,0.49938,2.39242,0,0.56536,0.53281,0.37117,3.16369,0.54418,0.61576,0.577,0.31914,1.58181,1.45549,1.10596,0.35748
"Saccharomycetales",0,0,0,0,0,0.02362,0,0,0,0,0,0,0,0.00283,0.00173,0,0.00019,0,0,0,0,0,0,0,0.01101,0,0,0,0.00425,0,0,0,0.01061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00361,0,0,0,0.00037,0,0,0,0,0.47963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00869,0,0,0,0,0,0.04495,0,0.00619,0,0,0,0,0,0.00304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03132,0,0.00149,0,0,0,0,0,0.0153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02448,0,0.02082,0,0.00316,0,0,0,0,0,0,0,0.02453,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroidales",16.60035,8.17562,4.95506,8.1594,1.4977,0.96201,0.14653,1.04168,1.29617,2.03742,8.1979,4.29696,35.09533,0.26069,6.71079,1.40596,0.34563,1.67052,25.92292,3.7024,5.04819,24.87651,19.6933,16.30862,1.32559,0.57489,7.84294,17.86749,2.75763,4.78396,6.80078,0.44113,0.37465,1.0064,11.57327,35.97396,3.67488,16.19444,4.61133,10.00777,1.07967,4.07292,2.324,3.91374,0.42876,6.36933,0.97219,2.65008,0.13031,0.32856,0.04175,4.75941,3.82455,0.02549,0.00325,0.03704,2.07437,5.45265,6.63129,1.26623,1.7581,9.98765,37.8089,0.46709,0.67544,10.34496,7.61435,58.03314,21.48164,36.86063,48.2656,43.71364,2.75504,51.67564,18.734,61.65962,11.73809,0.13868,0.004,0.46322,33.13669,1.05395,4.68774,21.48804,0.10408,6.07626,6.69145,0.33885,5.49472,3.69995,2.46455,0.09328,0.87975,9.25076,9.273,0.16901,0.90846,25.24793,1.39778,3.57829,0.05179,2.54489,4.37952,3.74522,3.40298,0.78814,0.28762,17.07991,0.0258,8.85645,1.29626,12.5461,34.83061,0.61902,0.06792,1.23502,6.07168,4.00269,18.50921,31.8111,23.17744,15.06043,33.17449,22.92798,41.66999,6.92414,36.08596,17.29455,23.1011,3.40561,70.57466,0.95514,37.06977,1.15296,3.51398,29.71597,75.19824,69.55714,21.11611,12.98615,17.38336,90.76497,27.83268,30.44368,63.66504,3.71053,59.16405,10.48114,30.9547,36.87194,17.03702,1.25626,18.89614,30.04062
"Candidatus Gastranaerophilales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00104,0,0,0,0,0,0,0.01651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
