"","SID31004","SID31009","SID31021","SID31030","SID31071","SID31112","SID31129","SID31137","SID31159","SID31160","SID31188","SID31219","SID31223","SID31233","SID31236","SID31237","SID31256","SID31267","SID31275","SID31276","SID31282","SID31285","SID31300","SID31328","SID31333","SID31337","SID31343","SID31360","SID31367","SID31379","SID31398","SID31416","SID31424","SID31428","SID31431","SID31446","SID31449","SID31450","SID31452","SID31455","SID31477","SID31489","SID31493","SID31501","SID31512","SID31519","SID31537","SID31549","SID31557","SID31582","SID31637","SID31685","SID31700","SID31705","SID31711","SID31714","SID31723","SID31749","SID31750","SID31766","SID31865","SID31866","SID31868","SID31870","SID31871","SID31872","SID31873","SID31874","SID31875","SID31876","SID31877","SID31878","SID31879","SID31880","SID31881","SID31883","SID31884","SID530002","SID530018","SID530026","SID530028","SID530039","SID530041","SID530050","SID530052","SID530054","SID530055","SID530074","SID530075","SID530119","SID530142","SID530154","SID530163","SID530167","SID530168","SID530172","SID530177","SID530185","SID530215","SID530227","SID530251","SID530258","SID530262","SID530295","SID530297","SID530315","SID530323","SID530331","SID530348","SID530364","SID530368","SID530373","SID530394","SID530398","SID530403","SID530444","SID530450","SID530451","SID530558","SID530600","SID530623","SID530697","SID530705","SID530743","SID530756","SID530840","SID530867","SID530890","SID531128","SID531155","SID531248","SID531274","SID531277","SID531281","SID531333","SID531352","SID531361","SID531382","SID531403","SID531414","SID531416","SID531424","SID531469","SID531663","SID531766","SID531775","SID532305","SID532749","SID532779","SID532796","SID532802","SID532826","SID532832","SID532915"
"Actinobacteria",9.10437,9.34541,16.88913,3.94962,28.23766,47.10354,55.54532,8.69627,44.95403,7.97761,5.31625,11.64557,9.02882,15.42197,19.32716,25.72596,39.83989,13.22119,6.25544,6.49349,20.10047,6.94179,10.15678,10.90638,33.45499,0.97266,56.27889,18.63905,3.81579,14.20135,4.07115,14.28538,27.44641,0.98638,18.72542,1.25828,11.80477,27.5958,12.20056,22.37285,27.85333,16.8143,16.58927,4.11373,34.01295,6.23264,19.13623,19.50957,70.18149,32.85349,16.71722,16.46327,22.05486,3.87807,3.61175,58.05808,4.62554,27.33514,19.29847,5.93495,16.70502,3.07925,3.7359,37.72033,30.21422,35.62873,20.71151,6.04974,7.80421,8.49504,1.99326,4.81565,57.46433,3.89227,20.00156,1.46691,50.38361,9.34495,53.02685,62.1409,8.68376,12.31164,21.58814,10.33161,52.35885,60.15029,21.37519,65.91221,8.1597,56.41597,5.47973,30.81741,15.53846,3.84298,5.33435,17.4904,10.5216,4.69656,54.16219,2.77403,4.2335,22.46121,25.25506,24.47643,26.87995,43.34229,38.95791,4.16042,69.81006,33.61967,49.07385,8.07422,2.07855,17.50415,11.38227,33.25957,35.20607,5.02033,5.10384,21.9131,9.12446,10.80731,2.16311,1.59255,2.18214,5.46271,3.52318,12.27384,26.37944,6.88079,1.68077,0.40626,9.52953,15.72184,2.97322,12.48087,0.51684,2.0984,0.01322,12.41944,19.47498,4.57148,0.65356,2.27774,3.13235,3.18809,0.7225,21.73517,2.02039,5.55468,6.81725,9.20469,6.89718,17.51263
"Ascomycota",0,0,0,0,0,0.02362,0,0,0,0,0,0,0,0.00283,0.00173,0,0.00019,0,0,0,0,0,0,0,0.01101,0,0,0,0.00425,0,0,0,0.01061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00361,0,0,0,0.00037,0,0,0,0,0.47963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00869,0,0,0,0,0,0.04495,0,0.00619,0,0,0,0,0,0.00304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03132,0,0.00149,0,0,0,0,0,0.0153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02448,0,0.02082,0,0.00316,0,0,0,0,0,0,0,0.02453,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroidetes",16.60035,8.17562,4.95506,8.1594,1.4977,0.96201,0.14653,1.04168,1.29617,2.03742,8.1979,4.29696,35.09533,0.26069,6.71079,1.40596,0.34563,1.67052,25.92292,3.7024,5.04819,24.87651,19.6933,16.30862,1.32559,0.57489,7.84294,17.86749,2.75763,4.78396,6.80078,0.44113,0.37465,1.0064,11.57327,35.97396,3.67488,16.19444,4.61133,10.00777,1.07967,4.07292,2.324,3.91374,0.42876,6.36933,0.97219,2.65008,0.13031,0.32856,0.04175,4.75941,3.82455,0.02549,0.00325,0.03704,2.07437,5.45265,6.63129,1.26623,1.7581,9.98765,37.8089,0.46709,0.67544,10.34496,7.61435,58.03314,21.48164,36.86063,48.2656,43.71364,2.75504,51.67564,18.734,61.65962,11.73809,0.13868,0.004,0.46322,33.13669,1.05395,4.68774,21.48804,0.10408,6.07626,6.69145,0.33885,5.49472,3.69995,2.46455,0.09328,0.87975,9.25076,9.273,0.16901,0.90846,25.24793,1.39778,3.57829,0.05179,2.54489,4.37952,3.74522,3.40298,0.78814,0.28762,17.07991,0.0258,8.85645,1.29626,12.5461,34.83061,0.61902,0.06792,1.23502,6.07168,4.00269,18.50921,31.8111,23.17744,15.06043,33.17449,22.92798,41.66999,6.92414,36.08596,17.29455,23.1011,3.40561,70.57466,0.95514,37.06977,1.15296,3.51398,29.71597,75.19824,69.55714,21.11611,12.98615,17.38336,90.76497,27.83268,30.44368,63.66504,3.71053,59.16405,10.48114,30.9547,36.87194,17.03702,1.25626,18.89614,30.04062
"Candidatus Melainabacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00104,0,0,0,0,0,0,0.01651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chlamydiae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euryarchaeota",0,0.41979,0,0,0,0,0,0,0.01898,1.24964,0,0.33046,18.2077,0,0,0,0,0,0.8515,1.81116,0,0.00376,1.55288,0,0.61834,0,0,0,0.09187,0,0,0,0,0,1.02406,0.00097,0,0,0,0,0.03589,3.13592,0.03949,0,0,0.37588,0,2.95346,0,2.80051,0.00146,20.40278,2.50721,0,0,0,0,1.90472,0,0,0.0194,18.16472,0.93615,0.00521,0,0.00348,0.05806,0.27973,0,0,0.04904,0,2.15906,0.69475,0,0.01617,3.44612,0,0,0.77977,0.9581,0,12.35084,0,0,4.52731,1.69584,0,0.14605,0,0,0,0,0,0.01817,0,0,10.99006,1.87811,0,0,0,0,17.59442,1.92192,0,0.03237,0.58322,0.02464,0,0,8.71249,0,0.01924,0,0,1.02145,2.36198,0,5.55181,2.79129,0,0,0.01833,0,8.94125,0.25673,0.08427,4.46525,0.02426,0.05471,0.08882,0.20173,0,0.00458,4.29241,0.02069,0.66969,0,0,0,0,0,1.05562,0,0,0,0,0,0,1.00796,0,0,17.16474
"Firmicutes",74.00035,81.95269,68.49911,40.81151,69.93737,51.39837,43.25705,88.81265,30.81223,87.75253,86.17867,65.10603,36.60998,84.23384,73.8757,72.56709,58.69929,80.28759,58.35749,84.90115,73.71382,65.43046,68.08759,70.94777,64.40228,81.4822,26.82346,60.43958,17.75492,80.70958,88.3075,83.51883,72.00115,88.93946,63.14374,47.94838,84.03414,18.17062,77.39313,63.66436,70.45853,75.54585,42.66441,90.24296,65.51154,68.44183,69.19974,73.88897,28.96298,63.73513,57.85257,58.02888,63.84345,59.48055,95.99057,30.67786,92.69927,61.1032,71.81402,92.79419,81.39069,26.06929,40.39242,61.22565,68.55633,47.2361,53.82568,34.47396,69.07035,35.28233,48.03464,43.17092,12.0908,42.10369,56.00316,26.85563,14.92144,90.36896,46.85063,36.13656,56.21133,86.48333,31.28273,65.64173,45.54929,27.31835,69.71071,32.92261,35.86733,39.75281,91.99388,68.10151,83.22092,71.31789,84.45054,82.21655,85.02107,54.44255,41.85115,83.42528,94.18296,70.74752,66.03393,52.91127,65.74194,41.47096,55.22919,77.38664,29.49136,47.80592,41.97317,57.68102,55.90683,80.26243,67.64998,65.16199,56.10636,80.23018,71.09531,38.3128,63.80292,66.28313,60.86029,59.53835,44.90805,24.16413,59.31385,69.32926,44.053,87.15162,27.21422,6.23302,50.76433,60.62375,66.5748,49.25929,23.98962,24.46233,66.80101,71.83082,57.44767,4.60654,70.16673,60.92863,32.82828,89.96649,37.2755,63.00557,66.35489,55.00435,74.93373,89.101,74.12802,33.79005
"Fusobacteria",0,0,0,0,0,0,0,0,0.13068,0,0.00655,0,0,0,0,0,0,0,0,0,0,0,0,0.00339,0,0,0,0,0.01724,0,0.06017,0.02537,0,0,0,0,0,0,0,0,0,0,0,0.00746,0.04311,0,0,0,0,0,0,0,0,0.01117,0,0,0,0,0,0,0.04251,0.06274,0.01626,0.00651,0,0,0.2786,0.7334,0.21446,0,0.00332,0.22065,0,0.04008,1.6171,0.27864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01464,0,0,0,0,0,0,0,0.02612,0,0,0,0,0,0,0.10037,0,2.17261,0,0,0,0,0,0,0.06214,0,0,0,0,0,0,0,0.08482,0,0,0.00118,0.02119,0.00045,0,0,0,0.00494,0,0,4.04192,0,0.03919,0,0.04203,0,0,0,0,0,0,0,0,0,0,0
"Lentisphaerae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00081,0,0,0,0,0,0,0,0,0,0.00135,0,0,0.01717,0,0,0.01122,0,0,0,0,0,0,0,0.0046,0.01141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00281,0,0,0.01174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00129
"Proteobacteria",0.25248,0.0357,0.04976,0.07125,0.0088,0.11095,0.65604,0,22.65762,0,0.17495,18.54575,0.53696,0,0.00497,0.0033,0,0.02175,3.30084,0.22687,0.2089,0.12027,0.43446,0.12876,0.03602,16.97026,9.05434,0.1753,75.13893,0.25344,0.21874,0.01588,0.04169,0,1.23419,14.78956,0.03319,37.67691,1.08435,3.78,0.03999,0.03179,37.98783,1.718,0,0.23374,0,0.65719,0.1565,0.0207,25.37977,0.04323,7.42424,36.57823,0.37778,11.13721,0.57343,2.4915,0.81812,0.00064,0.04757,1.42993,14.70701,0.50579,0.00124,0.36957,0.02637,0.32421,0.01266,17.87986,1.61503,0.2939,25.23113,1.40945,0.23694,9.65135,5.15104,0,0,0.12073,0.22922,0.01088,0.02734,1.17136,0.01625,0.11733,0.05809,0.00549,50.11752,0.01158,0.05973,0.98244,0.14019,5.75886,0.08359,0,0.01071,4.6207,0.18421,0.00703,1.53176,0.00803,0.21524,0.55784,0.09932,14.18986,5.23141,0.19753,0.02834,1.36569,0.00068,0.83405,1.8434,0,20.77436,0.01566,0.0044,8.28587,0.41915,1.1883,0.05161,0.09411,3.76698,0.83932,11.17012,54.48692,0.12545,0.54983,0.42317,2.16139,0.04762,92.28784,1.22054,22.43449,0.89051,4.10473,0.2418,1.18796,8.02336,0.45432,1.37945,0.02326,1.30501,0.41231,0.26692,3.13107,2.82803,0.17306,0.545,0.49809,0.123,0.43804,0.03783,1.44101
