"","CCMD11006829ST.21.0","CCMD12232071ST.21.0","CCMD13071240ST.21.0","CCMD13934959ST.21.0","CCMD14479708ST.21.0","CCMD18872694ST.21.0","CCMD19497912ST.21.0","CCMD23101338ST.21.0","CCMD25511638ST.21.0","CCMD25963797ST.21.0","CCMD26709089ST.21.0","CCMD26925580ST.21.0","CCMD34381688ST.21.0","CCMD35802077ST.21.0","CCMD40701343ST.21.0","CCMD42428553ST.21.0","CCMD45988061ST.21.0","CCMD46222674ST.21.0","CCMD46947453ST.21.0","CCMD48236717ST.21.0","CCMD50071957ST.21.0","CCMD51864103ST.21.0","CCMD60079086ST.21.0","CCMD63399960ST.21.0","CCMD64503764ST.21.0","CCMD64776337ST.21.0","CCMD72895164ST.21.0","CCMD74930188ST.21.0","CCMD79987997ST.21.0","CCMD82866709ST.21.0","CCMD86114146ST.21.0","CCMD86707194ST.21.0","CCMD87156761ST.21.0","CCMD88272491ST.21.0","CCMD90311071ST.21.0","CCMD93344354ST.21.0","CCMD95433940ST.21.0","CCMD96553385ST.21.0","MMPU29365221ST","MMPU68403337ST","MMPU72854103ST","MMPU84450604ST","MMPU99077057ST","CCMD10032470ST.11.0","CCMD10191450ST.11.0","CCMD15562448ST.11.0","CCMD17410933ST.11.0","CCMD18579000ST.11.0","CCMD18829815ST.11.0","CCMD19168690ST.11.0","CCMD21593359ST.11.0","CCMD21703880ST.11.0","CCMD22852639ST.11.0","CCMD23541216ST.11.0","CCMD25475945ST.11.0","CCMD26625622ST.11.0","CCMD27463710ST.11.0","CCMD27867141ST.11.0","CCMD28738636ST.11.0","CCMD29706695ST.11.0","CCMD30626189ST.11.0","CCMD30627121ST.11.0","CCMD31009081ST.11.0","CCMD31134579ST.11.0","CCMD32288175ST.11.0","CCMD32965613ST.11.0","CCMD35081859ST.11.0","CCMD35633353ST.11.0","CCMD35801800ST.11.0","CCMD37575804ST.11.0","CCMD38158721ST.11.0","CCMD39157124ST.11.0","CCMD39882286ST.11.0","CCMD41202658ST.11.0","CCMD41521570ST.11.0","CCMD42956136ST.11.0","CCMD45004878ST.11.0","CCMD45812507ST.11.0","CCMD46727384ST.11.0","CCMD49025643ST.11.0","CCMD49461418ST.11.0","CCMD49942357ST.11.0","CCMD50300306ST.11.0","CCMD50529145ST.11.0","CCMD50538120ST.11.0","CCMD51154251ST.11.0","CCMD51228890ST.11.0","CCMD52117727ST.11.0","CCMD52145360ST.11.0","CCMD53508245ST.11.0","CCMD53522274ST.11.0","CCMD54057834ST.11.0","CCMD56948710ST.11.0","CCMD59540613ST.11.0","CCMD59583015ST.11.0","CCMD65222621ST.11.0","CCMD65406197ST.11.0","CCMD66848156ST.11.0","CCMD67373733ST.11.0","CCMD68973846ST.11.0","CCMD71242853ST.11.0","CCMD71915439ST.11.0","CCMD72666896ST.11.0","CCMD72690923ST.11.0","CCMD73128545ST.11.0","CCMD74592084ST.11.0","CCMD75147712ST.11.0","CCMD76222476ST.11.0","CCMD76409700ST.11.0","CCMD79349503ST.11.0","CCMD85481373ST.11.0","CCMD85661207ST.11.0","CCMD89107682ST.11.0","CCMD89306485ST.11.0","CCMD89643949ST.11.0","CCMD89967135ST.11.0","CCMD92404903ST.11.0","CCMD93755960ST.11.0","CCMD95431029ST.11.0","CCMD95676152ST.11.0","CCMD98198513ST.11.0","CCMD98531134ST.11.0","CCMD98702133ST.11.0","CCMD99440714ST.11.0","CCMD99929634ST.11.0"
"Actinomycetaceae",0.02798,0,0.0452,0.11315,0,0.00017,0.04117,0.03496,0.00241,0,0,0,0,0.01113,0.00497,0.15943,0,0,0.00777,0.00688,0,0.00418,0.00674,0.00132,0,0.00804,0,0.07675,0.00852,0,0,0.00367,0.00732,0.04832,0.00502,0,0.00059,0.04395,0.00991,0.00493,0.0013,0.01396,0.00448,0.01462,0.00736,0.01137,0.01035,0.00262,0.00725,0.10637,0.48327,0.24835,0,0,0.00107,0,0.06838,0.00186,0,0.00661,0,0.00221,0.00332,0.01756,0,0.00071,0,0.03213,0.09541,0,0,0,0.00945,0,0,0.01015,0,0.00241,0,0.30815,0.01876,0.00063,0,0.0299,0.01298,0.0147,0.01807,0.03441,0.00204,0.21166,0,0,0.02343,0.50801,0.04657,0.01089,0.1548,0,0,0,0,0.03658,0,0.04446,0,0.01151,0.00337,0.04931,0.01316,0,0,0.0089,0.01091,0.2212,0,0.02472,0,0.01072,0.02442,0.01016,0.00043,0.00794,0.00389,0,0
"Bifidobacteriaceae",2.7741,4.0917,0.08411,1.0455,2.70364,1.15989,5.06607,0.77708,2.46405,0,1.31372,7.38696,0.01636,5.39682,0.01147,1.92605,4.3148,10.26188,5.23404,1.7724,4.40824,7.10072,0,2.03269,0.01591,0.30905,0.07293,1.29655,0.00132,4.71529,13.85195,1.88333,1.00824,0.02206,0.6346,0.99081,2.70808,0.01298,4.52269,6.67842,4.01991,17.58918,0,3.67179,19.31366,1.48061,6.41899,2.53686,0.33454,0,0.14961,2.52986,4.78513,0.00305,0.44584,1.16593,0.75636,4.30654,5.07175,1.45282,13.43812,0.0161,4.90625,0.22696,0.09849,0.17948,4.91837,3.75279,0.81589,12.34865,0.04883,2.56151,0.99356,0.17994,8.55814,3.57939,6.13569,0.72856,0,0.03862,3.21199,3.22243,0.74688,7.55411,10.49461,4.10844,31.4798,0.03764,0.01244,4.57334,0,0.35435,6.89044,3.56196,9.65001,4.8491,6.07591,5.90964,0.84424,0.84467,3.39352,3.80328,28.8496,2.3214,0,5.83747,0.00211,3.27381,6.99252,2.51701,1.24054,7.53467,20.43156,7.82717,0,10.25977,3.93923,2.77155,0.15579,19.60535,1.28049,9.17986,0.60139,2.99574,3.17986
"Corynebacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95061,0,0,0,0,0.03047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01526,0,0.02785,0,0,0,0,0.01121,0,0,0,0,0.00565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lawsonellaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brevibacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Micrococcaceae",0,0,0,0,0,0.00922,0.00888,0.01914,0,0.00476,0,0,0,0.00064,0.00714,0.00029,0,0,0,0.00046,0,0.00758,0,0,0,0,0,0.01471,0,0,0.08463,0.00858,0.00048,0.00669,0.00059,0.00128,0.00056,0.0055,0,0.00334,5e-05,0.00031,0.01167,0,0.01834,0.05515,0.00363,0,0.00629,0.01208,0.00129,0,0,0,0,0,0.04619,0.02228,0,0,0,0,0.03064,0,0,0,0,0.02841,0.00682,0.00482,0,0.00025,0.00365,0.01552,0.00355,0.02038,0,0.0039,0,0.00481,0,0,0,0,0,0.00455,0.00165,0.00982,0.04888,0,0.0036,0,0,0,0,0.00356,0,0,0,0,0,0,0,0.00752,0,0.01374,0,0.00232,0,0.01913,0,0,0.00847,0.0514,0.01339,0.01125,0,0.02823,0.00574,0.00039,0,0,0.00079,0.00692,0
"Tropherymataceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Propionibacteriaceae",0,0,0.0043,0,0,0,0.2316,0,0,0.01083,0,0,0,0,0,0,0,0,0,0,0.01152,0.01648,0,0,0,0,0,0,0.10634,0,0,0,0,0,0,0.00594,0,0,0,0,0,0.00217,0.03192,0,0,0,0,0,0,0,0,0,0.06674,0.00348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01281,0.04216,0,0.00554,0,0,0,0,0,0.01721,0,0,0,0,0,0,0.00056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01337,0.0066,0,0.00022,0,0,0,0,0,0,0,0
"Atopobiaceae",0,0,0.00571,0,0.03413,0.0019,0.70705,0.01311,0,0.03256,0,0,0,0,0,0.00581,0,0.01843,0.00147,0.0045,0.07903,0,0.00174,0,0,0.05738,0,0.00084,0,0,0.04424,0,0,0,0,0.00053,0.00343,0,0,0.00951,0,8e-04,0.00502,0,0,0.00451,0,0,0,0,0,0.07177,0,0,0,0,0.03551,0,0,0,0.00481,0,0,0,0,0,0,0.02936,0,0.00214,0,0,0.00802,0,0.00475,0,0,0,0.01162,0,0.01176,0,0,0.11629,0,0,0,0.00089,0.00071,0.00402,0,0,0.00214,0.0132,0.00677,0,0,0,0,0,0,0.03755,0,0.0192,0,0,0,0,0,0.06744,0,0,0,0.06457,0,0.01024,0.0039,0,0,0.00118,0,0.00523,0,0,0
"Coriobacteriaceae",0.69274,0.55467,1.01762,0.54456,1.03834,0.50288,1.59802,0.86613,1.8829,1.39031,0,0.08315,0.87921,1.73695,0.00659,3.47268,1.72191,4.28453,1.41354,2.35972,0.24812,0,0.06816,0.28119,2.53545,0.02702,0.24825,0.4875,0,0.47157,1.8059,1.04098,0.22233,0.34573,1.85812,0.34831,0.81145,0.01249,5.54425,1.33139,0.19371,2.15758,1.03377,2.62207,2.37133,0.35607,1.64654,2.91542,0.17792,0,4.42389,4.61316,2.86703,0.32665,2.17786,0.10531,2.55873,0.71175,2.61784,0.4044,1.9878,0.24599,8.5021,0.43314,0.01219,0.01854,1.85005,0.58833,0.38342,1.16783,0.0032,0.3036,1.24435,0.51955,1.45047,3.44942,2.70544,1.91661,1.05727,16.17787,5.99972,1.35856,0.93554,3.51311,0,7.15162,2.60178,0,1.10901,2.18547,0.01172,2.09229,4.7664,5.08245,6.06986,1.83081,4.28313,1.5981,2.6911,1.77699,0.07034,0.96983,4.2175,1.90811,0.1541,0.00643,0,2.42884,0.71669,0.5798,0.86857,1.70264,2.58329,8.09465,2.85737,4.246,4.52244,0.84685,4.215,6.36891,2.55643,1.26527,2.48246,0.0901,5.1923
"Eggerthellaceae",0.43729,0.41632,2.70718,0.09625,0.00521,0.00684,0.23252,0.7311,0.49729,1.39505,0.3333,0.04,0.2154,0.08043,0.12147,0.39584,0.81012,0.11928,0.05329,0.1212,0.05284,0.39642,0.25712,0.25997,0.03938,0.36155,0.07018,0.05182,0,0.06729,0.029,0.4027,0.13951,0.36308,0.45269,0.30341,0.1891,0.34525,0.31871,0.84544,0.17949,0.8679,0.86831,0.34746,0.97999,0.17596,0.97315,0.11072,0.22993,1.30252,0.80705,0.31907,4.68645,0.20925,0.54294,0.11599,2.54034,0.13766,0.18709,0,0.27932,0.45718,0.42909,0.26846,0.50138,0.42287,0.57582,0.28991,0.18776,0.09045,0.31388,0.23076,0.60022,0.05085,0.59948,0.54802,0.17176,0.23746,0.13135,3.99051,0.47689,0,0.17689,1.09072,4.5313,1.31871,0.26117,0.23148,0.2851,0.33285,0.04119,0.41936,0.51771,0.23068,0.87326,0.19127,0.45747,0.03267,0.48337,0.03202,0.0917,0.15417,0.42991,0.32475,0.61506,0.36473,0.03335,2.276,0.25493,0.1518,0.16997,1.04014,0.08322,0.81667,0.55178,1.64256,0.1784,0.7621,3.20251,0.80933,0.20844,0.81669,0.31001,1.07363,0.179
"Saccharomycetaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02964,0,0,0,0,0,0,0,0,0,0,0,0,0.00951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00055,0,0,0,0,0,0.01884,0
"Bacteroidaceae",38.2163,34.27581,23.45978,31.25997,15.24248,25.60267,18.0118,7.23781,22.30208,16.85601,32.44028,23.47655,11.47472,22.44415,52.68835,16.98111,23.76532,9.65633,22.39678,4.58588,36.85428,9.78739,47.01903,32.64651,37.66094,25.92815,39.90074,54.54219,58.36019,18.38185,14.13779,35.89422,7.27313,41.79703,37.75843,38.26538,25.41015,83.23283,40.02931,20.72893,36.93421,21.18076,38.57395,42.32226,2.07941,18.318,18.48506,16.8579,39.63562,77.91846,35.97392,29.33992,10.17755,19.08776,20.3219,52.65875,22.6063,22.4288,45.93703,17.76445,3.18314,4.98452,8.0991,16.98029,27.02615,12.15183,13.41005,10.55445,43.28819,19.03878,42.70193,19.65814,0.07129,6.27561,11.12626,7.90559,16.93239,17.67285,37.03066,6.45424,24.92972,43.87599,7.65392,7.92248,5.5874,11.86823,15.04725,44.53504,16.80546,31.84177,14.3033,26.56998,31.48172,26.73604,25.39534,8.70695,22.02944,22.18061,4.83658,27.50338,17.36486,22.17397,42.60574,3.73197,27.82353,13.1614,61.65714,9.52375,16.7746,26.61764,11.80035,20.64785,9.00812,4.55925,3.20364,7.98265,14.65549,30.54686,16.47217,8.98804,17.1452,18.76663,27.30139,29.17841,9.05585
"Barnesiellaceae",0.00054,1.91864,1.29115,3.47529,2.76501,1.22384,0.38229,0.20405,7.13986,1.90683,0,2.32611,0.50621,0.00731,2.92295,1.40862,5.93549,0.49522,1.78147,0.22652,2.90832,1.57813,0.07473,0.30272,1.0351,1.36734,2.21513,0.05001,0.8987,4.51746,0.19687,0,0.74486,0.00541,4.79569,2.3399,3.81904,1.24738,0.00082,0.42439,1.03693,0.81082,0.94706,0.32317,0.40267,0.13213,0.01476,1.03904,0.16527,0.98794,0.57048,2.53909,0.89425,0.84214,1.1765,2.77313,7.90164,7.20467,0,2.02939,0.06235,0,0.51404,0.98887,3.90883,0.95627,0.53095,0.32795,0.40863,0.49602,0.03718,0.59494,0,0.12949,0.17131,0,2.20908,0.54946,2.85703,3.60141,0.60318,0.88616,1.03172,0.71275,1.01447,2.0076,0.8011,0,2.99554,2.32023,0.64375,1.1327,1.21697,0.36035,0.41382,3.74861,2.54002,1.92299,0.32231,0.47462,0.10981,0,1.3129,0.11063,0.09513,0.00889,0,0.39311,0.22056,0.70206,0.80146,1.76585,0,0,0.01238,1.74363,0.00339,0,0.68619,0.40145,0.53213,2.81371,0.43526,0.24103,0
"Odoribacteraceae",1.03174,0.51488,1.66117,0.45977,0.78243,0.94523,0.90502,0.23177,0.45292,0.3034,0,0.28472,0.44608,0.3945,0,1.01559,1.30321,0.4809,0.66859,0,1.10778,0.80638,1.53331,0.8982,2.70437,0.90167,0.57109,0.20716,0,1.0418,2.42611,0.49503,0.63575,0,0.77385,0.50664,0.93951,0,0.25747,0.58237,0.80304,0,0.78365,0.82491,0.07496,0.72139,0,0.5177,0,0,0.73014,2.46993,0.28087,0.3784,0.24187,0.50714,2.16659,1.24165,0,0.83861,0.05705,0.18163,0.03967,0.55424,0.81749,1.06621,0.53535,0.43239,0.42494,0.16054,0.55733,0.48164,0,0.17556,0.56063,0,0.3447,0.36385,0.5076,0.00559,0.01551,0.19404,0.44732,0.56969,0.0161,0.44553,0.50656,1.59319,1.48023,0.90195,0.59211,0.53758,0.48346,1.1482,0.0552,0.69785,0.46873,0.97465,0.25985,0.48947,0.74175,0.9067,0.31516,0.16387,0.81309,0.05522,0,0.31391,0.36669,0.36074,0.55633,0.2728,0.12823,0.06596,0.36155,0.63266,0.89059,0.4523,0.35757,0.59738,0.16263,1.43771,0.15217,0.65032,0.9063
