"","CCMD11006829ST.21.0","CCMD12232071ST.21.0","CCMD13071240ST.21.0","CCMD13934959ST.21.0","CCMD14479708ST.21.0","CCMD18872694ST.21.0","CCMD19497912ST.21.0","CCMD23101338ST.21.0","CCMD25511638ST.21.0","CCMD25963797ST.21.0","CCMD26709089ST.21.0","CCMD26925580ST.21.0","CCMD34381688ST.21.0","CCMD35802077ST.21.0","CCMD40701343ST.21.0","CCMD42428553ST.21.0","CCMD45988061ST.21.0","CCMD46222674ST.21.0","CCMD46947453ST.21.0","CCMD48236717ST.21.0","CCMD50071957ST.21.0","CCMD51864103ST.21.0","CCMD60079086ST.21.0","CCMD63399960ST.21.0","CCMD64503764ST.21.0","CCMD64776337ST.21.0","CCMD72895164ST.21.0","CCMD74930188ST.21.0","CCMD79987997ST.21.0","CCMD82866709ST.21.0","CCMD86114146ST.21.0","CCMD86707194ST.21.0","CCMD87156761ST.21.0","CCMD88272491ST.21.0","CCMD90311071ST.21.0","CCMD93344354ST.21.0","CCMD95433940ST.21.0","CCMD96553385ST.21.0","MMPU29365221ST","MMPU68403337ST","MMPU72854103ST","MMPU84450604ST","MMPU99077057ST","CCMD10032470ST.11.0","CCMD10191450ST.11.0","CCMD15562448ST.11.0","CCMD17410933ST.11.0","CCMD18579000ST.11.0","CCMD18829815ST.11.0","CCMD19168690ST.11.0","CCMD21593359ST.11.0","CCMD21703880ST.11.0","CCMD22852639ST.11.0","CCMD23541216ST.11.0","CCMD25475945ST.11.0","CCMD26625622ST.11.0","CCMD27463710ST.11.0","CCMD27867141ST.11.0","CCMD28738636ST.11.0","CCMD29706695ST.11.0","CCMD30626189ST.11.0","CCMD30627121ST.11.0","CCMD31009081ST.11.0","CCMD31134579ST.11.0","CCMD32288175ST.11.0","CCMD32965613ST.11.0","CCMD35081859ST.11.0","CCMD35633353ST.11.0","CCMD35801800ST.11.0","CCMD37575804ST.11.0","CCMD38158721ST.11.0","CCMD39157124ST.11.0","CCMD39882286ST.11.0","CCMD41202658ST.11.0","CCMD41521570ST.11.0","CCMD42956136ST.11.0","CCMD45004878ST.11.0","CCMD45812507ST.11.0","CCMD46727384ST.11.0","CCMD49025643ST.11.0","CCMD49461418ST.11.0","CCMD49942357ST.11.0","CCMD50300306ST.11.0","CCMD50529145ST.11.0","CCMD50538120ST.11.0","CCMD51154251ST.11.0","CCMD51228890ST.11.0","CCMD52117727ST.11.0","CCMD52145360ST.11.0","CCMD53508245ST.11.0","CCMD53522274ST.11.0","CCMD54057834ST.11.0","CCMD56948710ST.11.0","CCMD59540613ST.11.0","CCMD59583015ST.11.0","CCMD65222621ST.11.0","CCMD65406197ST.11.0","CCMD66848156ST.11.0","CCMD67373733ST.11.0","CCMD68973846ST.11.0","CCMD71242853ST.11.0","CCMD71915439ST.11.0","CCMD72666896ST.11.0","CCMD72690923ST.11.0","CCMD73128545ST.11.0","CCMD74592084ST.11.0","CCMD75147712ST.11.0","CCMD76222476ST.11.0","CCMD76409700ST.11.0","CCMD79349503ST.11.0","CCMD85481373ST.11.0","CCMD85661207ST.11.0","CCMD89107682ST.11.0","CCMD89306485ST.11.0","CCMD89643949ST.11.0","CCMD89967135ST.11.0","CCMD92404903ST.11.0","CCMD93755960ST.11.0","CCMD95431029ST.11.0","CCMD95676152ST.11.0","CCMD98198513ST.11.0","CCMD98531134ST.11.0","CCMD98702133ST.11.0","CCMD99440714ST.11.0","CCMD99929634ST.11.0"
"Actinobaculum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces",0.025,0,0.00145,0,0,0.00017,0.02725,0.00924,0.00064,0,0,0,0,0.01113,0.00304,0.00324,0,0,0.00466,0.00586,0,0.00053,0.00674,0.00132,0,0.0077,0,0.07337,0.00712,0,0,0.00325,0.00605,0.01159,0.00502,0,0.00059,0.01761,0.00586,0.00046,0.00063,0.01241,0.00374,0.01462,0.00736,0,0.00863,0,0.00725,0.02745,0.00297,0.02783,0,0,0.00036,0,0.05273,0,0,0.00661,0,0.00221,0.00332,0.01689,0,0,0,0.01979,0.0933,0,0,0,0,0,0,0.00711,0,0.00241,0,0.13137,0.01442,0.00063,0,0.01731,0.01298,0.00629,0.01776,0.02445,0,0.00121,0,0,0.02343,0.4085,0.04009,0.00033,0,0,0,0,0,0,0,0.01745,0,0.01151,0.00337,0.03004,0.01316,0,0,0,0.00325,0.08124,0,0.00846,0,0.01072,0.01201,0,0.00043,0.00748,0.00389,0,0
"Actinotignum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016,0,0,0,0,0,0,0,0,0,0,0,0.00254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fannyhessea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Schaalia",0.00298,0,0.04375,0.11315,0,0,0.01392,0.02572,0.00177,0,0,0,0,0,0.00097,0.15619,0,0,0.00311,0.00102,0,0.00365,0,0,0,0.00034,0,0.00338,0.0014,0,0,0.00042,0.00127,0.03673,0,0,0,0.02634,0.00068,0.00447,0.00067,0.00155,0.00074,0,0,0.01137,0.00172,0.00262,0,0.07892,0.4803,0.22052,0,0,0,0,0.01565,0.00186,0,0,0,0,0,0.00067,0,0.00071,0,0.01234,0.00211,0,0,0,0.00945,0,0,0.00304,0,0,0,0.12476,0.00434,0,0,0.01259,0,0.00841,0.00031,0.00996,0.00204,0.21029,0,0,0,0.09951,0.00613,0.01056,0,0,0,0,0,0.03404,0,0.02701,0,0,0,0.01927,0,0,0,0.0089,0.00766,0.13996,0,0.01626,0,0,0.01241,0.01016,0,0.00046,0,0,0
"Varibaculum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aeriscardovia",0,0,0,0,0,0,0.00256,0,0,0,0,0,0,0.00135,0,0,0,0.00416,0,0.00089,0.00248,0.00239,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0.00068,0,0,0,0.00046,0.00111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031,0,0,0,0,0,0,0.00113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00103,0,0,0
"Alloscardovia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00303,0.01777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116,0,0,0,0,0,0,0.00093,0,0
"Bifidobacterium",2.7741,4.0917,0.08411,1.0455,2.70364,1.15989,5.06351,0.77708,2.46405,0,1.31372,7.38696,0.01039,5.39547,0.01147,1.92605,4.3148,10.25772,5.23404,1.77151,4.40576,7.09833,0,2.03269,0,0.30905,0.07293,1.29655,0.00132,4.71529,13.82695,1.88333,1.00824,0.01039,0.6346,0.99081,2.7074,0.01298,4.52269,6.67842,4.01945,17.58807,0,3.67179,19.31366,1.48061,6.41899,2.53686,0.33454,0,0.14961,2.46162,4.78513,0.00305,0.44584,1.16593,0.7139,4.30654,5.07175,1.45282,13.43812,0.0161,4.90625,0.22696,0.09849,0.17948,4.91837,3.75279,0.81589,12.34865,0.04883,2.56151,0.99356,0.17994,8.55814,3.57939,6.13569,0.72856,0,0.03862,3.17828,3.22243,0.74688,7.55411,10.49461,4.10844,31.47,0.01987,0.01244,4.57334,0,0.35435,6.89044,3.56196,9.64643,4.8491,6.07591,5.90964,0.84424,0.84467,3.39352,3.80215,28.8496,2.3214,0,5.83747,0.00211,3.27381,6.99252,2.51701,1.24054,7.53467,20.43156,7.82717,0,10.24817,3.79043,2.77155,0.15579,19.60535,1.28049,9.17883,0.56545,2.99574,3.17986
"Parascardovia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00534,0,0,0,0,0,0.00677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13982,0,0,0,0,0,0,0,0
