"","CCMD11006829ST.21.0","CCMD12232071ST.21.0","CCMD13071240ST.21.0","CCMD13934959ST.21.0","CCMD14479708ST.21.0","CCMD18872694ST.21.0","CCMD19497912ST.21.0","CCMD23101338ST.21.0","CCMD25511638ST.21.0","CCMD25963797ST.21.0","CCMD26709089ST.21.0","CCMD26925580ST.21.0","CCMD34381688ST.21.0","CCMD35802077ST.21.0","CCMD40701343ST.21.0","CCMD42428553ST.21.0","CCMD45988061ST.21.0","CCMD46222674ST.21.0","CCMD46947453ST.21.0","CCMD48236717ST.21.0","CCMD50071957ST.21.0","CCMD51864103ST.21.0","CCMD60079086ST.21.0","CCMD63399960ST.21.0","CCMD64503764ST.21.0","CCMD64776337ST.21.0","CCMD72895164ST.21.0","CCMD74930188ST.21.0","CCMD79987997ST.21.0","CCMD82866709ST.21.0","CCMD86114146ST.21.0","CCMD86707194ST.21.0","CCMD87156761ST.21.0","CCMD88272491ST.21.0","CCMD90311071ST.21.0","CCMD93344354ST.21.0","CCMD95433940ST.21.0","CCMD96553385ST.21.0","MMPU29365221ST","MMPU68403337ST","MMPU72854103ST","MMPU84450604ST","MMPU99077057ST","CCMD10032470ST.11.0","CCMD10191450ST.11.0","CCMD15562448ST.11.0","CCMD17410933ST.11.0","CCMD18579000ST.11.0","CCMD18829815ST.11.0","CCMD19168690ST.11.0","CCMD21593359ST.11.0","CCMD21703880ST.11.0","CCMD22852639ST.11.0","CCMD23541216ST.11.0","CCMD25475945ST.11.0","CCMD26625622ST.11.0","CCMD27463710ST.11.0","CCMD27867141ST.11.0","CCMD28738636ST.11.0","CCMD29706695ST.11.0","CCMD30626189ST.11.0","CCMD30627121ST.11.0","CCMD31009081ST.11.0","CCMD31134579ST.11.0","CCMD32288175ST.11.0","CCMD32965613ST.11.0","CCMD35081859ST.11.0","CCMD35633353ST.11.0","CCMD35801800ST.11.0","CCMD37575804ST.11.0","CCMD38158721ST.11.0","CCMD39157124ST.11.0","CCMD39882286ST.11.0","CCMD41202658ST.11.0","CCMD41521570ST.11.0","CCMD42956136ST.11.0","CCMD45004878ST.11.0","CCMD45812507ST.11.0","CCMD46727384ST.11.0","CCMD49025643ST.11.0","CCMD49461418ST.11.0","CCMD49942357ST.11.0","CCMD50300306ST.11.0","CCMD50529145ST.11.0","CCMD50538120ST.11.0","CCMD51154251ST.11.0","CCMD51228890ST.11.0","CCMD52117727ST.11.0","CCMD52145360ST.11.0","CCMD53508245ST.11.0","CCMD53522274ST.11.0","CCMD54057834ST.11.0","CCMD56948710ST.11.0","CCMD59540613ST.11.0","CCMD59583015ST.11.0","CCMD65222621ST.11.0","CCMD65406197ST.11.0","CCMD66848156ST.11.0","CCMD67373733ST.11.0","CCMD68973846ST.11.0","CCMD71242853ST.11.0","CCMD71915439ST.11.0","CCMD72666896ST.11.0","CCMD72690923ST.11.0","CCMD73128545ST.11.0","CCMD74592084ST.11.0","CCMD75147712ST.11.0","CCMD76222476ST.11.0","CCMD76409700ST.11.0","CCMD79349503ST.11.0","CCMD85481373ST.11.0","CCMD85661207ST.11.0","CCMD89107682ST.11.0","CCMD89306485ST.11.0","CCMD89643949ST.11.0","CCMD89967135ST.11.0","CCMD92404903ST.11.0","CCMD93755960ST.11.0","CCMD95431029ST.11.0","CCMD95676152ST.11.0","CCMD98198513ST.11.0","CCMD98531134ST.11.0","CCMD98702133ST.11.0","CCMD99440714ST.11.0","CCMD99929634ST.11.0"
"Actinobacteria",3.93211,5.06269,3.86412,1.79946,3.78132,1.6809,7.88531,2.44152,4.84665,2.83351,1.64702,7.51011,1.11097,7.22597,0.15336,5.9601,6.84683,14.68412,6.71011,4.26516,4.79975,7.52538,0.33376,2.57517,2.59074,0.76304,0.39136,1.92817,0.11618,5.25415,15.81572,3.33926,1.37788,0.86112,2.95102,1.65028,3.71321,0.42017,10.39556,8.87613,4.39446,20.6319,1.95517,6.65594,22.69068,2.08367,9.05266,5.56562,0.75593,1.42097,5.86511,7.79819,13.38035,0.54243,3.16771,1.38723,6.00551,5.21056,7.87668,1.86383,15.71005,0.72148,13.8714,0.94612,0.61206,0.6216,7.34424,4.72093,1.4893,13.61389,0.36591,3.09612,2.85925,0.76586,10.61639,7.60736,9.01289,2.88894,1.21305,20.56212,9.71912,4.58716,1.87457,12.30413,15.06674,12.59802,34.36247,0.33145,1.45818,7.32053,0.05651,2.866,12.20012,9.3963,16.65268,6.88563,10.97131,7.54041,4.01871,2.65368,3.55556,5.00141,33.49701,4.62544,0.76916,6.23388,0.03883,8.03028,7.9773,3.33518,2.27908,10.28635,23.11745,17.08903,3.42914,16.19454,8.64419,4.41945,7.60346,26.79532,4.04579,11.27499,3.39854,4.16639,8.55116
"Ascomycota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02964,0,0,0,0,0,0,0,0,0,0,0,0,0.00951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00055,0,0,0,0,0,0.01884,0
"Bacteroidetes",60.82675,39.35869,52.99279,39.93783,24.26795,35.8173,49.04385,12.14051,42.86317,29.49719,39.67471,35.46221,25.37047,30.06587,61.42846,32.47016,41.7368,29.03989,31.60864,57.19232,61.08683,20.51677,63.74745,41.62949,52.80699,47.90562,49.55325,57.45635,60.9718,34.6492,30.26732,41.12143,33.62046,58.98082,55.36301,49.05805,38.58807,84.7161,48.33919,34.93526,42.65137,28.64962,46.28578,51.44527,10.34164,30.22984,20.00236,25.38949,43.99027,79.17451,63.84139,53.75578,40.19177,31.25781,28.41495,58.09499,50.40218,50.37577,46.51282,46.352,49.2537,19.82664,37.03672,66.04458,48.40693,31.36934,30.28121,17.45748,50.87374,22.46021,49.97871,36.30867,5.86332,63.17286,18.00476,7.90683,27.68384,20.78557,50.21135,38.14859,29.36294,50.2776,67.93925,24.61312,8.02772,23.74735,23.4958,54.45684,42.73388,43.16305,47.10439,33.56115,37.52301,49.07526,26.49916,32.73675,35.91498,33.25991,33.99162,58.57659,29.93039,58.89066,49.91096,17.36934,41.6093,14.67417,82.84746,20.21013,19.62679,33.16371,18.86388,31.03877,12.51605,21.81736,58.27726,18.63011,20.10872,37.86218,32.34231,38.18119,31.13456,34.71637,31.16765,39.57316,19.60558
"Candidatus Melainabacteria",0,0,0.02331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118,0,0,0,0,0,0,0,0,0.03069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17028,0,0,0,0,0,0,0,0,0.02899,0,0.00524,0,0.01786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1935,0,0,0,0,0,0
"Candidatus Thermoplasmatota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euryarchaeota",0.19406,0.00173,0,0,0.51418,0.14258,0,0.30753,0,1.49843,0,0,0,0,0,1.00038,1.62505,0,0.00393,0,0.04932,0,0.10524,0,0.02082,0.1394,0,0.01093,0,0.02898,2.06197,0,0.71881,0.00022,0,0,0,0,0,0,0,0,0,0,0,0,0.00722,1.10376,0,0,0.00276,1.75557,0.04008,0.1016,0,0,1.01424,0,0,2.25136,0,2.5148,0.06125,0.4466,0,0,0,1.86507,0.02866,0,0.24457,0.24951,0.34319,0.01862,0.03064,0,0,0,1.95992,0,0,0,0,0.0261,0,0,0.16182,0.01267,0,0,0,0,0.2698,0.02022,0,0,0,0.30233,0.43673,0,0,0,0,0.31543,0,0,0,0,0.15331,0.03816,0.02414,0,0,0.0549,0.05655,3.11556,0,0,0.01614,0.0856,0,0.46905,0,0,0.00798
"Firmicutes",33.30933,51.93945,42.397,56.40885,56.98334,61.80091,42.44015,84.18426,48.02422,53.74154,56.93867,54.87131,72.5063,60.98862,38.20107,54.34755,49.09339,55.66309,59.89558,38.26806,31.15019,69.08384,33.43296,53.01014,44.09425,36.76875,48.61828,35.01073,19.77531,52.84583,51.36023,53.5026,63.27646,39.60289,41.49959,49.18381,55.70908,14.65006,41.18559,44.28404,52.87341,50.50125,49.51136,41.79762,62.46538,39.20182,70.2849,61.86287,55.05217,19.23934,25.26339,29.70761,44.26525,64.15967,45.61669,39.61181,41.03072,37.81181,41.74903,48.19449,34.87723,76.28718,47.51183,28.90695,42.92277,67.03376,58.68957,54.82761,47.02927,63.8629,49.34867,60.17431,90.30037,32.40171,71.23549,83.12097,59.02736,76.00559,45.51605,38.43114,60.68425,45.07078,29.62879,60.43988,74.25872,60.52259,40.74357,42.32895,54.35958,48.58182,51.43058,62.66704,48.90529,38.38045,55.91948,43.43537,51.4767,58.65141,61.17552,37.31723,63.38692,33.95659,16.53354,71.23561,51.48483,78.41617,12.85631,65.00657,65.40271,63.38213,50.49656,57.59499,63.74955,60.50989,36.68758,61.21132,26.18357,56.75132,50.52508,31.65065,64.8022,52.82645,65.23623,55.20461,70.5439
"Fusobacteria",1.36658,0.4354,0.49788,0.42711,0,0.16804,0.03058,0.00087,0,0,0,0,0,0.00247,0.02838,0.00262,0.01236,0.04051,0,0,0.28986,1.52629,0,0.01377,0.01157,0.10923,0,0.27277,0,0.26961,0,0.00655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73491,0.04243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62863,0.0057,0,0.04897,0,0,0,0,0,0,0,0,0,0,0.01452,0,0,0,0,0,0.00949,0,0,0,0,0,0.99015,0,0,0.04338,0,0,0,0.01833,0,0,0.01352,0,7e-04,0,0,0.21347,0,0.23033,0,0,0.00459,0,0,0
"Lentisphaerae",0,0,0,0,0.0313,0.00921,0,0.0073,0.0327,0,0,0,0,0.00439,0,0,0.00191,0.05983,0,0,0,0,0.03099,0.00905,0,0,0.0033,0,0,0,0.02902,0,0,0,0.05091,0,0,0,0,0,0,0,0,0,0,0.01298,0,0,0,0,0,0.07896,0,0.03665,0,0,0,0,0,0,0,0,0,0,0.06647,0,0,0.2571,0,0,0,0,0.00303,0.01893,0,0,0,0,0,0,0,0,0,0,0,0,0.01255,0.00132,0,0,0,0,0.02784,0.23094,0,0,0,0.01704,0,0,0,0,0,0.65814,0.00073,0,0,0,0,0,0.01337,0,0,0.00467,0.03248,0,0,0,0,0.00224,0,0.04381,0,0,0
"Proteobacteria",0.20772,0.06074,0.15373,1.41668,0.1892,0.35004,0.1793,0.31488,1.60842,1.11544,1.02622,0.05048,0.95618,0.46331,0.1714,0.93988,0.64628,0.34335,1.75166,0.03649,2.21636,1.32242,2.29403,2.62356,0.29923,2.88153,0.20946,5.22815,0.02217,0.71897,0.33354,2.01823,0.99396,0.46347,0.05887,0.09425,1.21041,0.21164,0.00472,0.68044,0.07411,0.07267,2.23619,0.09164,2.2174,28.46463,0.50856,1.85382,0.00495,0.16449,2.10118,0.21064,1.99993,0.09281,22.26565,0.35402,0.3274,2.14646,3.84602,1.33833,0.00996,0.64989,1.40597,1.92843,7.98799,0.85422,0.85091,0.22717,0.34068,0.01231,0.06214,0.16966,0.59484,2.14894,0.02054,0.71495,0.57393,0.31234,1.01518,2.77489,0.11214,0.04689,0.00407,0.19962,0.70769,3.11359,0.60458,2.85986,0.74216,0.90432,0.07417,0.10291,0.06928,1.92774,0.76151,0.65232,1.62997,0.19755,0.2528,0.20956,0.77834,1.10804,0.04246,4.40195,2.51797,0.67579,4.25741,6.72168,0.36778,0.06674,28.29967,0.77331,0.60176,0.04122,1.47736,0.21986,2.30031,0.47469,0.78003,2.52186,0,0.04781,0.17464,0.92152,0.50261
"Spirochaetes",0,0,0,0,0,0,0,0.04091,0,0,0,0,0,0,0,0,0,0,0,0,0.03421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Synergistetes",0,0.00341,0.00095,0,0.53858,0.00075,0.01788,0,0.00102,0,0,0,0,0,0,0.00282,0,0.00163,0,0,0.00169,0,0,0,0.10272,0.00191,0.00164,0.0083,0,0,0.00122,0,0.00292,0,0.00078,0,0,0,0,0.20073,0,0,0,0,0,0,0,0,0,0,0,0.5844,0.00392,0,0,0,0,0,0,0,0,0,0,0.04147,0,0,0,0.01264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00058,0.00089,0,0,0,0,0,0,0.00082,0,0,0.01605,0,0,0.00056,0,0.00442,0,0,0,0,0.0066,0,0,0,0,0.00832,0.00624,0.02815,0,0,0,0.63658,0,0,0,0,0
"Unknown",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2409,0,0,0,0,0,0,0.12141,0,0,0,0,0.1211,0,0,0,0,0,0,0.0087,0,0.07712,0,0,0,0,0,0,0,0,0,1.89569,0,0,0,0,0,0,0.1081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Verrucomicrobia",0.00539,3.12304,0,0,12.57296,0.00269,0,0.53343,2.5686,10.21463,0.71338,2.10116,0.02112,1.19046,0.01732,4.99335,0.00263,0.00416,0,0,0.35777,0.02534,0,0.10349,0,11.39615,1.19357,0.06999,19.11455,6.21802,0.04023,0,0.0031,0.01859,0.03648,0,0.7635,0.00197,0.00731,10.95058,0,0.00171,0,0,2.20514,0,0.00532,4.18932,0.19671,0,0,4.98389,0.11338,3.56811,0.47784,0.55193,1.0903,4.44828,0,0,0,0,0.04539,1.65071,0.00383,0,2.82782,20.03888,0.19442,0.03795,0,0,0,0.81081,0,0,3.6738,0,0.01147,0.00292,0,0,0.5501,0.01108,0.04347,0,0.42768,0.00839,0.45639,0,1.33438,0.68272,0.9957,0.94082,0.05226,16.21407,0,0,0.08598,1.20106,2.34079,0.00013,0,1.2865,3.57463,0,0,0,3.0792,0,0.01838,0.28219,0,0.14693,0.00392,0.56803,42.50619,0.48379,8.2206,0.02579,0,0.36837,0,0.11474,0.77439
