"","SZAXPI003409.8","SZAXPI003410.3","SZAXPI003411.6","SZAXPI003412.1","SZAXPI003413.4","SZAXPI003414.3","SZAXPI003415.12","SZAXPI003416.4","SZAXPI003417.4","SZAXPI003418.8","SZAXPI003419.6","SZAXPI003420.4","SZAXPI003421.5","SZAXPI003422.11","SZAXPI003423.8","SZAXPI003424.12","SZAXPI003425.1","SZAXPI003426.11","SZAXPI003427.1","SZAXPI003428.6","SZAXPI003429.3","SZAXPI003430.5","SZAXPI003431.1","SZAXPI003432.12","SZAXPI003433.7","SZAXPI003434.7","SZAXPI003435.11","SZAXPI003436.7","SZAXPI003437.3","SZAXPI015209.133","SZAXPI015210.17","SZAXPI015211.166","SZAXPI015212.113","SZAXPI015213.15","SZAXPI015214.19","SZAXPI015215.20","SZAXPI015216.169","SZAXPI015217.140","SZAXPI015218.16","SZAXPI015219.129","SZAXPI015220.136","SZAXPI015221.142","SZAXPI015222.123","SZAXPI015223.158","SZAXPI015224.13","SZAXPI015225.18","SZAXPI015226.14","SZAXPI015227.13","SZAXPI015228.14","SZAXPI015229.15","SZAXPI015230.16","SZAXPI015231.17","SZAXPI015232.18","SZAXPI015233.19","SZAXPI015234.20","SZAXPI015235.21","SZAXPI015237.23","SZAXPI015238.24","SZAXPI015239.25","SZAXPI015240.26","SZAXPI015241.27","SZAXPI015242.30","SZAXPI015243.31","SZAXPI015244.32","SZAXPI015245.33","SZAXPI015246.34","SZAXPI015247.35","SZAXPI015248.36","SZAXPI015249.37","SZAXPI015250.39","SZAXPI015251.41","SZAXPI015252.43","SZAXPI015253.44","SZAXPI015254.45","SZAXPI015255.46","SZAXPI015256.47","SZAXPI015257.56","SZAXPI015258.57","SZAXPI015259.62","SZAXPI015260.74","SZAXPI015261.75","SZAXPI015262.79","SZAXPI015263.84","SZAXPI015264.87","SZAXPI015265.88","SZAXPI015266.89","SZAXPI015267.102","SZAXPI015268.109","SZAXPI015269.94","SZAXPI015270.90","SZAXPI015271.93","SZAXPI015272.108","SZAXPI015273.95","SZAXPI015274.111","SZAXPI017451.16","SZAXPI017452.17","SZAXPI017453.19","SZAXPI017454.20","SZAXPI017455.21","SZAXPI017456.23","SZAXPI017457.24","SZAXPI017458.25","SZAXPI017459.26","SZAXPI017460.27","SZAXPI017461.32","SZAXPI017462.33","SZAXPI017463.36","SZAXPI017464.37","SZAXPI017465.43","SZAXPI017466.84","SZAXPI017467.87","SZAXPI017468.88","SZAXPI017580.90","SZAXPI017581.93","SZAXPI017582.94","SZAXPI017583.102","SZAXPI017584.108","SZAXPI017585.109","SZAXPI017586.111","SZAXPI017587.113","SZAXPI017588.123","SZAXPI017589.133","SZAXPI017590.136","SZAXPI017591.140","SZAXPI017592.142","SZAXPI017593.158","SZAXPI017594.166","SZAXPI017595.169"
"Actinomycetia",1.4193,0.5956,32.04111,2.79956,15.22775,0.05187,10.45341,20.8327,0.13356,0.07288,9.52197,0.30056,33.33129,1.74561,1.35897,12.04103,0.10354,0.18491,1.94628,0.01273,11.77789,14.77294,1.12541,0.59814,3.12778,22.8705,15.56308,36.63033,5.11991,0.35887,2.763,18.92334,7.75918,0.58753,0.23228,0.03123,0.03036,0.21208,6.15599,0.06317,1.17989,2.39327,1.01901,7.79041,7.87743,6.49873,0.08643,1.22698,1.25685,0.24058,1.08253,0.91128,0.46413,5.12593,19.52039,0.07414,0.36769,0.80457,6.93441,4.64554,0.77168,2.73514,1.69709,2.72985,0.88234,4.22386,0.25815,4.70614,26.199,16.45816,3.42078,7.47974,1.62207,9.99231,0.09994,0.51427,6.79356,2.12295,5.29745,5.01329,0.34331,1.88903,2.23278,0,1.92079,0.37209,0,0.61055,0.09999,0.02821,1.10685,0.6138,3.12688,0.1026,0.02392,3.64197,1.66032,0.18458,8.37116,3.24514,0.01839,4.3822,13.42392,3.23553,2.26663,0.58951,8.06782,9e-04,14.20486,3.74309,0.0516,0.38703,0.01704,9.68802,0.67379,1.02677,0.06119,0.01975,0.12395,3.47364,2.45354,2.54964,6.3853,0.02703,0.59578,1.67304,0.07804,8.67695
"Coriobacteriia",3.47617,0.65261,14.74674,3.64115,1.09243,1.17073,6.46501,0.28646,0.20028,0.79574,0.81262,0.53983,0.51786,2.39546,0.90348,6.01531,1.69789,0.57486,4.0147,0.00173,2.71454,1.25218,0.47735,0.87296,1.23129,1.23229,3.12866,2.06355,7.15014,0.08453,9.21021,11.43568,0.64963,0.099,5.91695,3.84369,4.01169,0.53098,8.67731,0.07208,1.5182,1.93815,1.2161,3.30355,2.77803,4.10696,0.10067,1.97742,6.98371,0.4649,2.4302,0.27226,0.13309,2.19769,6.22254,0.94825,1.1748,1.26527,0.06008,0.30378,0.86115,1.89071,0.17812,1.37803,0.19081,1.39841,0.25828,1.09954,1.98336,4.72909,0.38722,2.9104,2.68642,0.40125,0.58129,0.02023,2.66516,0.40752,2.28928,1.50436,0.20724,0.20099,0.86479,2.22493,0.41036,0.16083,0.52374,0.60389,1.37838,0.30227,0.83113,0.05896,1.24582,0.11848,0.02602,1.7467,2.13266,1.6849,9.66557,1.95539,0.39731,2.06772,5.65681,2.15638,0.63558,0.36268,3.56829,0.14751,2.28174,8.06513,0.69142,3.10321,1.5659,3.78978,0.90137,1.42636,0.39006,0.03038,0.24328,0.60222,0.95312,0.92948,10.91542,1.83758,13.14564,0.99233,3.08402,11.44645
"Saccharomycetes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03514,0,0,0,0,0,0,0,0,0,0.01191,0,0.10081,0,0,0,0,0,0,0.02644,0,0,0,0,0.00017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00985,0,0,0,0,0,0,0,0,0.00223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroidia",14.3811,37.73944,5.14467,23.34858,28.75565,80.32476,3.31236,50.84957,42.91362,39.38825,68.69947,63.44383,26.60222,22.07771,50.64873,4.88173,53.32915,47.25209,62.00865,4.93808,56.8576,42.76823,65.0504,1.59772,65.87104,39.61834,24.72084,20.21303,2.62518,83.23994,34.23554,29.60921,1.95977,48.37323,64.43535,47.3723,31.37852,37.30674,27.43834,11.32343,63.04942,18.29776,37.01062,13.5514,1.19462,40.14795,50.10972,10.12778,66.82334,0.10029,33.61017,75.20725,56.12022,10.25954,14.34391,42.48554,76.49463,19.60777,90.20141,66.45153,10.40357,22.45005,23.92869,12.22297,61.68464,7.0923,42.17738,6.06588,12.23188,18.05659,62.73532,32.79895,4.74019,44.9465,31.96803,74.02315,14.22252,13.70655,18.64088,14.45165,71.44716,47.22835,49.09663,47.83804,45.41545,49.98678,6.05048,56.07503,41.26407,48.58318,24.16948,58.17353,16.72899,32.78061,55.78835,18.21521,42.95764,20.93612,5.43569,7.60078,53.3085,24.15797,12.31991,35.86732,61.75176,59.82084,56.3929,61.88711,15.05319,50.56564,71.61676,63.51526,60.48774,11.30256,80.11839,76.74585,84.78573,68.79794,42.05923,29.78078,46.19021,63.64158,0.2208,12.21505,2.08615,38.94153,16.90311,10.35348
"Chlamydiia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Methanobacteria",0.03291,0,21.18772,0.00262,0,0.0012,0,0,0,0,0,3.72272,0.04309,0,0,0.01804,0,0.03144,0,0,0,0,0,0,0,0,0,0.02073,0,0,0,0,0,0,0,0,0,3.24366,0,0,0.27447,0,0,1.16343,0,0,0,0,0,0,0.58094,0,0,0,0,0.4664,0,0,0,0.0095,0,0.10318,0,0,0.00545,0.05351,0,0,0,0,1.05117,0.39793,0,0,0,0,0,0,0,0,0,0,0,2.82252,0,0,0,2.09153,0,0,0,0,0,0,0,0,0,0.04452,0,0,3.89139,0.00246,0,0,0.06469,0,7.96256,0,0,0.00843,0,0.01031,0,0,0,0.00798,0,0,0,0,0.00724,0,0.07343,0,0,0.01292,0,0
"Bacilli",0.519,0.3,1.04583,0.76151,0.06953,0.05576,2.41989,0.1787,0.00884,5.06152,0.70364,0.72328,0.31923,1.66297,1.55135,0.29384,0.11809,0.41085,0.12891,0.02297,3.10772,0.12155,0.31725,0.13791,1.69785,1.7744,2.18013,0.16548,7.16056,0.20267,1.9852,0.377,3.86813,0.16325,0.81605,0.25062,0.39644,0.26283,1.06083,1.55442,2.03726,0.28386,0.11765,1.21002,0.95235,0.0082,0.3979,0.22924,2.50616,0.16808,0.18704,0.22308,0.74555,0.34193,0.43252,0.94257,0.10947,0.15757,0.31724,0.16184,0.12182,0.52902,0.32831,1.05306,0.135,0.15477,0.39162,0.63906,0.71888,0.89464,0.48378,1.40954,1.39429,0.2104,0.17394,0.0361,0.25713,7.54626,2.65748,6.37612,0.18194,0.01974,0.04342,0.02564,0.03596,0.38285,0.40507,0.27386,0.07469,0.03737,0.62182,1.0644,13.15017,0.20809,0.97537,0.4622,0.23702,18.59803,35.58961,7.31603,0.13645,1.30314,4.36163,0.53879,1.91899,0.07499,0.06817,0.06104,0.25312,0.48201,0.17454,0.16379,0.07292,2.25305,0.11859,0.1722,0.19339,0.22797,1.72624,0.8182,0.48719,0.14213,0.22988,0.17684,0.95452,0.62965,0.66516,1.86955
"Clostridia",24.78231,37.08504,21.03566,55.4141,36.23306,12.88125,66.99012,20.28567,17.37978,14.90963,13.64859,22.40815,32.87978,48.92027,20.88469,61.18277,30.201,10.22834,13.60161,11.42787,13.76816,21.11496,22.70742,15.46943,22.21105,26.94692,32.71294,27.40533,70.31627,5.95808,47.08387,17.29673,72.18025,36.95795,9.00137,36.27176,48.98895,28.02993,35.96055,80.50786,24.1292,74.59487,26.24007,64.5704,73.7957,31.46212,37.69832,75.8864,18.54514,2.10601,58.79521,11.41703,24.37563,40.58376,46.21844,44.7272,11.61188,39.29956,0.6634,22.42572,81.39536,63.32429,17.32135,72.91383,32.43766,84.58876,44.2536,82.31958,47.46742,47.03901,23.37957,46.29149,79.38128,37.4388,55.64055,16.71305,69.0347,64.26543,54.84978,27.27829,22.23981,44.77186,34.13852,36.06677,47.77427,42.53525,16.73907,33.78395,51.12104,48.86739,59.74836,37.29718,46.93397,57.14853,10.40182,75.13574,28.46781,32.64358,24.9312,60.46291,40.00503,60.02762,47.41209,53.33726,10.81407,30.43613,16.50761,32.69682,31.73263,21.15891,20.91746,27.13682,34.38214,41.89156,11.07505,17.90219,7.52324,17.2804,43.18993,40.95705,37.27309,22.64268,38.36989,83.84983,71.32365,35.76899,75.8937,18.87639
"Erysipelotrichia",0.40789,0.34005,1.18692,0.99683,0.24294,0.11589,0.12036,1.04365,0.01877,0.10964,0.00071,0.01945,0.28783,0.57605,1.34139,1.94864,0.36872,0.17206,1.12897,0.14895,0.02131,6.4621,0.03488,0.01615,0.15429,1.21573,6.11245,1.39351,0.58581,0.04545,0.08086,0.9312,0.13053,0.09027,0.64728,0.53929,0.0987,0.06268,0.62246,2.46177,0.07008,0.11846,0.02356,0.08217,1.89358,0.65806,0.2875,1.27678,0.05455,0.0124,2.31699,0.16701,1.29601,0.14231,0.45269,0.34294,1.10672,0.02767,0.00164,0.59451,0.10755,0.61186,0.00685,0.4493,0.54538,0.30835,0.1076,0.19949,0.04403,6.4302,0.11269,0.11118,0.32941,1.17572,0.00205,0.13446,0.30919,2.6475,0.45703,0.16007,0.1189,0.04079,0.2536,0.60702,0.08668,0.05384,0.09759,0.12864,1.6701,0.02172,3.07576,0.00173,0.04936,0.08575,0.99659,0.17059,0.47823,1.52962,2.49111,0.83298,0.0393,0.02526,0.51132,2.05783,0.04511,0.11631,0.52233,0.53284,0.08236,3.6311,0.00314,0.08567,0.21899,5.79718,0.80833,0.21006,0.39821,0.16349,0.32086,0.8099,0.47222,0.04813,0.59677,0.04599,0.33017,0.17158,0.03137,0.63495
"Negativicutes",2.93896,0.93472,0.64017,1.43901,2.84164,0.04633,0.37274,5.06844,1.17122,2.18026,3.52448,5.86803,1.78345,6.05894,22.49198,0.13774,1.40022,1.02062,3.51767,6.9591,8.46959,13.04076,7.85809,0.81739,2.4391,4.16398,0.91114,5.27125,0.27153,8.26484,3.23303,17.61201,10.17597,6.88549,0.00686,10.09474,0.75403,2.35006,8.21333,0.36968,6.26313,0.52371,27.16674,7.61992,10.43877,0.10316,6.14248,0.4754,3.51411,0.33362,0.22459,7.10578,5.17025,38.09865,0.19622,7.20576,2.7755,2.71401,1.11129,1.37575,0.08134,6.32066,6.15687,1.73338,2.75736,0.3013,0.73308,3.59981,9.35304,0.70508,1.58602,7.63415,2.85011,1.72467,0.59714,5.72389,0.61503,7.68754,12.5184,0.688,3.39625,3.53965,9.74133,5.55404,1.11605,5.67139,2.09109,1.97239,0.05469,1.44941,4.1493,2.63158,17.09323,0.42954,2.079,0.36523,0.70977,0.35427,13.21875,2.20993,0.54265,4.96176,15.6642,1.43637,6.29326,1.89489,0.85786,2.50431,0,4.84982,5.17637,1.91767,2.43941,0.69806,1.97421,1.36548,1.44495,1.00303,5.34869,15.22484,2.09085,9.47617,3.86192,0.81988,0.00889,19.10274,2.30322,3.81895
