"","SZAXPI003409.8","SZAXPI003410.3","SZAXPI003411.6","SZAXPI003412.1","SZAXPI003413.4","SZAXPI003414.3","SZAXPI003415.12","SZAXPI003416.4","SZAXPI003417.4","SZAXPI003418.8","SZAXPI003419.6","SZAXPI003420.4","SZAXPI003421.5","SZAXPI003422.11","SZAXPI003423.8","SZAXPI003424.12","SZAXPI003425.1","SZAXPI003426.11","SZAXPI003427.1","SZAXPI003428.6","SZAXPI003429.3","SZAXPI003430.5","SZAXPI003431.1","SZAXPI003432.12","SZAXPI003433.7","SZAXPI003434.7","SZAXPI003435.11","SZAXPI003436.7","SZAXPI003437.3","SZAXPI015209.133","SZAXPI015210.17","SZAXPI015211.166","SZAXPI015212.113","SZAXPI015213.15","SZAXPI015214.19","SZAXPI015215.20","SZAXPI015216.169","SZAXPI015217.140","SZAXPI015218.16","SZAXPI015219.129","SZAXPI015220.136","SZAXPI015221.142","SZAXPI015222.123","SZAXPI015223.158","SZAXPI015224.13","SZAXPI015225.18","SZAXPI015226.14","SZAXPI015227.13","SZAXPI015228.14","SZAXPI015229.15","SZAXPI015230.16","SZAXPI015231.17","SZAXPI015232.18","SZAXPI015233.19","SZAXPI015234.20","SZAXPI015235.21","SZAXPI015237.23","SZAXPI015238.24","SZAXPI015239.25","SZAXPI015240.26","SZAXPI015241.27","SZAXPI015242.30","SZAXPI015243.31","SZAXPI015244.32","SZAXPI015245.33","SZAXPI015246.34","SZAXPI015247.35","SZAXPI015248.36","SZAXPI015249.37","SZAXPI015250.39","SZAXPI015251.41","SZAXPI015252.43","SZAXPI015253.44","SZAXPI015254.45","SZAXPI015255.46","SZAXPI015256.47","SZAXPI015257.56","SZAXPI015258.57","SZAXPI015259.62","SZAXPI015260.74","SZAXPI015261.75","SZAXPI015262.79","SZAXPI015263.84","SZAXPI015264.87","SZAXPI015265.88","SZAXPI015266.89","SZAXPI015267.102","SZAXPI015268.109","SZAXPI015269.94","SZAXPI015270.90","SZAXPI015271.93","SZAXPI015272.108","SZAXPI015273.95","SZAXPI015274.111","SZAXPI017451.16","SZAXPI017452.17","SZAXPI017453.19","SZAXPI017454.20","SZAXPI017455.21","SZAXPI017456.23","SZAXPI017457.24","SZAXPI017458.25","SZAXPI017459.26","SZAXPI017460.27","SZAXPI017461.32","SZAXPI017462.33","SZAXPI017463.36","SZAXPI017464.37","SZAXPI017465.43","SZAXPI017466.84","SZAXPI017467.87","SZAXPI017468.88","SZAXPI017580.90","SZAXPI017581.93","SZAXPI017582.94","SZAXPI017583.102","SZAXPI017584.108","SZAXPI017585.109","SZAXPI017586.111","SZAXPI017587.113","SZAXPI017588.123","SZAXPI017589.133","SZAXPI017590.136","SZAXPI017591.140","SZAXPI017592.142","SZAXPI017593.158","SZAXPI017594.166","SZAXPI017595.169"
"Actinobaculum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01106,0,0,0,0,0,0,0,0,0,0,0,0,0.0066,0,0,0,0.00064,0,0,0,0,0,0,0,0,0,0,0,0.00117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces",0.00598,0,0.03869,0.01358,0.00077,0,0.04796,0,0,0.00209,0.00108,0.01823,0,0.13636,0,0.03743,0,0,0.00083,0,0.00662,0.01234,0,0.00135,0.00139,0,0.00322,0.00715,0.36279,0.00078,0.05088,0.00087,0.00655,0,0.0249,0,0.01365,0,0.00127,0.05889,0,0.00115,0,0.00152,0.04168,0,0.0026,0,0.01767,0.01161,0.0044,0,0.00257,0.04052,0,0,0,0,0,0.00687,0,0,0,0,0,0,0,0.00117,0,0,0.00331,0.00349,0.00354,0,0,0,0.00481,0,0.0031,0.00371,0,0,0,0,0,0.00167,0,0,0,0,0,0,0.00027,0,0.00941,0.0013,0,0.00713,0.04174,0.01451,0,0.00093,0.01296,0,0.00536,0,0,0,0.01998,0.00135,0,0,0,0.0105,0,0,0,0,0,0,0.00383,0.00451,0.02118,0,0.0297,0,0.0011,0.1029
"Fannyhessea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pauljensenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Schaalia",0.17067,0,0.06534,0.00236,0,0,0.06086,0.00162,0,0.00367,0,0.00396,0,0.02052,0,0.02975,0,0,0,0,0.00499,0,0,0,0.00183,0,0.00242,0,0.08749,0,0.00213,0,0.00169,0,0.00144,0,0.00029,0,0,0,0,8e-05,0,0.00327,0.00193,0,0,0,0.0025,0.00355,0.00118,0,0,0.00641,0,0,0,0,9e-05,0.0025,0,0,0,7e-04,0,0,0.00224,0,0,0.0014,0,0,0.00015,0,0,0,0,0.00042,0,0.01121,0,0,0,0,0,0,0,0,0,0,0,0,0.01019,0,0.00102,0.00438,1.66032,0.0057,0.00297,0,0,0,0,0,0,0,0,0,0.02148,0.00429,0,0.01182,0,0.00187,0.00223,0,0,0,0,0,0.00291,0,0.00859,0,0.01484,0,0,0.00466
"Aeriscardovia",0,0,0.0077,0,0.00371,0,0,0.00259,0,0,0.00243,0,0.01854,0,0,0,0,0,0,0,0.01348,0,0,0,0,0,0.01145,0.03289,0.00118,0,0.00123,0.00373,0.00119,0,0,0,0,0,0,0,0,0,0,0,0.00655,0,0,0,0,0,0,0,0,0.00072,0.005,0,0,0,0.00176,0,0,0,0,0,0,0,0,0.00264,0.0062,0.00192,0,0.00312,0,0.00186,0,0,0,0.00103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00227,0,0,0.00122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00145,0,0,0,0,0
"Alloscardovia",0,0,0.01044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00621,0,0,0,0.02647,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium",1.24265,0.5956,31.91894,2.78192,15.22327,0.05187,10.34141,20.80267,0.13356,0.03923,9.51846,0.11602,33.31275,1.55748,1.35897,11.91442,0.10354,0.18491,1.94545,0.01263,11.74936,14.7606,1.12541,0.59679,3.12403,22.86543,15.54044,36.59029,4.55764,0.35809,2.70876,18.91874,7.72818,0.58753,0.09157,0.03123,0.01642,0.21208,6.10424,0,1.13592,2.38687,1.01901,7.78562,7.81424,6.49611,0.08383,1.14609,1.2312,0.22038,1.07695,0.91128,0.46156,5.06568,19.5127,0.06368,0.36769,0.80457,6.93057,4.63617,0.76599,2.73514,1.67148,2.72295,0.88182,4.22079,0.23684,4.69384,26.19112,16.45448,3.41589,7.47313,1.61838,9.98889,0.08779,0.51427,6.78229,2.10066,5.29164,4.97904,0.29691,1.88903,2.22966,0,1.92079,0.36867,0,0.61055,0.09711,0.02821,1.10644,0.6138,3.07464,0.09639,0.01349,3.63394,0,0.12727,8.21737,3.16023,0.01839,4.38005,13.34105,3.15232,2.25698,0.58877,8.06782,9e-04,14.1634,3.73124,0.02723,0.37521,0.01704,9.64918,0.67156,1.02213,0.06119,0.01975,0.00207,3.46614,2.41041,2.54513,6.34649,0,0.54687,1.66877,0.07535,8.56939
"Gardnerella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parascardovia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01783,0,0,0.0317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
