"","SZAXPI003409.8","SZAXPI003410.3","SZAXPI003411.6","SZAXPI003412.1","SZAXPI003413.4","SZAXPI003414.3","SZAXPI003415.12","SZAXPI003416.4","SZAXPI003417.4","SZAXPI003418.8","SZAXPI003419.6","SZAXPI003420.4","SZAXPI003421.5","SZAXPI003422.11","SZAXPI003423.8","SZAXPI003424.12","SZAXPI003425.1","SZAXPI003426.11","SZAXPI003427.1","SZAXPI003428.6","SZAXPI003429.3","SZAXPI003430.5","SZAXPI003431.1","SZAXPI003432.12","SZAXPI003433.7","SZAXPI003434.7","SZAXPI003435.11","SZAXPI003436.7","SZAXPI003437.3","SZAXPI015209.133","SZAXPI015210.17","SZAXPI015211.166","SZAXPI015212.113","SZAXPI015213.15","SZAXPI015214.19","SZAXPI015215.20","SZAXPI015216.169","SZAXPI015217.140","SZAXPI015218.16","SZAXPI015219.129","SZAXPI015220.136","SZAXPI015221.142","SZAXPI015222.123","SZAXPI015223.158","SZAXPI015224.13","SZAXPI015225.18","SZAXPI015226.14","SZAXPI015227.13","SZAXPI015228.14","SZAXPI015229.15","SZAXPI015230.16","SZAXPI015231.17","SZAXPI015232.18","SZAXPI015233.19","SZAXPI015234.20","SZAXPI015235.21","SZAXPI015237.23","SZAXPI015238.24","SZAXPI015239.25","SZAXPI015240.26","SZAXPI015241.27","SZAXPI015242.30","SZAXPI015243.31","SZAXPI015244.32","SZAXPI015245.33","SZAXPI015246.34","SZAXPI015247.35","SZAXPI015248.36","SZAXPI015249.37","SZAXPI015250.39","SZAXPI015251.41","SZAXPI015252.43","SZAXPI015253.44","SZAXPI015254.45","SZAXPI015255.46","SZAXPI015256.47","SZAXPI015257.56","SZAXPI015258.57","SZAXPI015259.62","SZAXPI015260.74","SZAXPI015261.75","SZAXPI015262.79","SZAXPI015263.84","SZAXPI015264.87","SZAXPI015265.88","SZAXPI015266.89","SZAXPI015267.102","SZAXPI015268.109","SZAXPI015269.94","SZAXPI015270.90","SZAXPI015271.93","SZAXPI015272.108","SZAXPI015273.95","SZAXPI015274.111","SZAXPI017451.16","SZAXPI017452.17","SZAXPI017453.19","SZAXPI017454.20","SZAXPI017455.21","SZAXPI017456.23","SZAXPI017457.24","SZAXPI017458.25","SZAXPI017459.26","SZAXPI017460.27","SZAXPI017461.32","SZAXPI017462.33","SZAXPI017463.36","SZAXPI017464.37","SZAXPI017465.43","SZAXPI017466.84","SZAXPI017467.87","SZAXPI017468.88","SZAXPI017580.90","SZAXPI017581.93","SZAXPI017582.94","SZAXPI017583.102","SZAXPI017584.108","SZAXPI017585.109","SZAXPI017586.111","SZAXPI017587.113","SZAXPI017588.123","SZAXPI017589.133","SZAXPI017590.136","SZAXPI017591.140","SZAXPI017592.142","SZAXPI017593.158","SZAXPI017594.166","SZAXPI017595.169"
"Actinomycetales",0.17665,0,0.10403,0.01594,0.00077,0,0.10882,0.00162,0,0.00576,0.00108,0.02219,0,0.15688,0,0.07841,0,0,0.00083,0,0.01161,0.01234,0,0.00135,0.00322,0,0.00564,0.00715,0.45688,0.00078,0.05301,0.00087,0.00888,0,0.02634,0,0.01394,0,0.00127,0.05889,0,0.00123,0,0.00479,0.04478,0,0.0026,0,0.02017,0.01516,0.00558,0,0.00257,0.04693,0,0,0,0,9e-05,0.00937,0,0,0,7e-04,0,0,0.02034,0.00117,0,0.0014,0.00331,0.00349,0.00369,0,0,0,0.00481,0.00042,0.0031,0.01492,0,0,0,0,0,0.00167,0,0,0,0,0,0,0.01046,0,0.01043,0.00568,1.66032,0.01283,0.04471,0.01451,0,0.00093,0.01296,0,0.00536,0,0,0,0.04146,0.00564,0,0.01182,0,0.01237,0.00223,0,0,0,0,0,0.00674,0.00451,0.02977,0,0.04454,0,0.0011,0.10756
"Bifidobacteriales",1.24265,0.5956,31.93708,2.78192,15.22698,0.05187,10.34459,20.80526,0.13356,0.03923,9.52089,0.11602,33.33129,1.55824,1.35897,11.95176,0.10354,0.18491,1.94545,0.01263,11.76284,14.7606,1.12541,0.59679,3.12403,22.86543,15.55189,36.62318,4.57058,0.35809,2.70999,18.92247,7.72937,0.58753,0.09298,0.03123,0.01642,0.21208,6.10424,0.00062,1.13592,2.39204,1.01901,7.78562,7.82079,6.49611,0.08383,1.14609,1.23213,0.2224,1.07695,0.91128,0.46156,5.0664,19.5177,0.06368,0.36769,0.80457,6.93233,4.63617,0.76599,2.73514,1.67148,2.72295,0.88182,4.22079,0.23684,4.69648,26.19732,16.4564,3.41747,7.47625,1.61838,9.99075,0.09994,0.51427,6.78229,2.10169,5.29164,4.97904,0.29691,1.88903,2.23109,0,1.92079,0.36867,0,0.61055,0.09711,0.02821,1.10644,0.6138,3.07464,0.09639,0.01349,3.63394,0,0.13473,8.32491,3.19411,0.01839,4.38127,13.3946,3.15232,2.25698,0.58877,8.06782,9e-04,14.1634,3.73745,0.02723,0.37521,0.01704,9.67565,0.67156,1.02677,0.06119,0.01975,0.00207,3.46614,2.41041,2.54513,6.34794,0,0.54687,1.66877,0.07535,8.56939
"Corynebacteriales",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01728,0,0,0,0,0,0,0,0,0,0,0.00366,0,0,0,0,0,0,0,0,0,0.00086,0,0,0,0.00181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00156,0,0,0,0,0.00091,0,0,0,0,0,0.08321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01267,0.00272,0,0,0
"Micrococcales",0,0,0,0,0,0,0,0.02582,0,0.02789,0,0.16235,0,0.02609,0,0,0,0,0,1e-04,0.00344,0,0,0,0.00053,0.00507,0.00555,0,0.07235,0,0,0,0.02093,0,0.11296,0,0,0,0.05048,0,0.04397,0,0,0,0.01186,0.00262,0,0.08089,0.00455,0.00216,0,0,0,0.01079,0.00269,0.01046,0,0,0.00199,0,0.00569,0,0.02561,0.0062,0.00052,0.00307,0.00097,0.00849,0.00168,0.00036,0,0,0,0.00156,0,0,0.00573,0.02084,0.00271,0.01933,0.0464,0,0.00169,0,0,0.00175,0,0,0.00288,0,0.00041,0,0.04022,0.00621,0,0.00235,0,0.03611,0.00154,0.00041,0,0,0.00067,0,0.00429,0.00074,0,0,0,0,0.02437,0,0,0,0,0,0,0,0.12188,0.0075,0.03639,0,0.00759,0.01436,0.00165,0.00427,0.00159,0
"Propionibacteriales",0,0,0,0.0017,0,0,0,0,0,0,0,0,0,0,0,0.01086,0,0,0,0,0,0,0,0,0,0,0,0,0.00282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03611,0,0,0.01569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coriobacteriales",2.577,0.04604,13.13196,2.41078,0.9025,0.00925,5.89325,0,0.18128,0.74282,0.69634,0.44006,0.44171,2.03662,0.20191,3.68457,0.00396,0.39351,3.82872,0.00173,2.67611,1.25218,0.29289,0.81588,0.84908,0.00292,2.34012,1.35903,6.25039,0.08139,9.17806,10.76262,0.00108,0.0354,5.87878,3.82703,3.74582,0.37781,8.53595,0.00329,1.44117,1.77097,1.0247,3.02576,2.77479,3.93983,0.07865,1.79806,6.9281,0.45779,1.78399,0.21123,0,1.54032,4.48675,0.92159,0.89997,1.08189,0,0.17367,0.64717,1.83842,0.00891,1.04384,0.19025,0,0.10874,0.86001,1.70576,3.9731,0.08312,2.86171,2.01474,0.24613,0.50602,0,1.76672,0.35735,2.19637,1.25962,0.20623,0.00145,0.81121,2.13962,0.27437,0.15467,0.29074,0.59955,1.23073,0.28676,0.54387,0.04726,1.23422,0.01032,0.00988,1.30222,0.86886,1.36619,9.53747,1.46722,0.02011,1.79853,5.3032,1.58173,0.6332,0.23165,3.27273,0,0.00338,7.68288,0.65881,3.07434,1.30655,3.57843,0.74147,1.40019,0.36567,0,0.15336,0.44752,0.7351,0.88501,10.16706,1.50991,12.81247,0.9663,2.79665,10.94849
"Eggerthellales",0.89917,0.60657,1.61478,1.23037,0.18993,1.16148,0.57176,0.28646,0.019,0.05292,0.11628,0.09977,0.07615,0.35884,0.70157,2.33074,1.69393,0.18135,0.18598,0,0.03843,0,0.18446,0.05708,0.38221,1.22937,0.78854,0.70452,0.89975,0.00314,0.03215,0.67306,0.64855,0.0636,0.03817,0.01666,0.26587,0.15317,0.14136,0.06879,0.07703,0.16718,0.1914,0.27779,0.00324,0.16713,0.02202,0.17936,0.05561,0.00711,0.64621,0.06103,0.13309,0.65737,1.73579,0.02666,0.27483,0.18338,0.06008,0.13011,0.21398,0.05229,0.16921,0.33419,0.00056,1.39841,0.14954,0.23953,0.2776,0.75599,0.3041,0.04869,0.67168,0.15512,0.07527,0.02023,0.89844,0.05017,0.09291,0.24474,0.00101,0.19954,0.05358,0.08531,0.13599,0.00616,0.233,0.00434,0.14765,0.01551,0.28726,0.0117,0.0116,0.10816,0.01614,0.44448,1.2638,0.31871,0.1281,0.48817,0.3772,0.26919,0.35361,0.57465,0.00238,0.13103,0.29556,0.14751,2.27836,0.38225,0.03261,0.02887,0.25935,0.21135,0.1599,0.02617,0.02439,0.03038,0.08992,0.1547,0.21802,0.04447,0.74836,0.32767,0.33317,0.02603,0.28737,0.49796
"Saccharomycetales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03514,0,0,0,0,0,0,0,0,0,0.01191,0,0.10081,0,0,0,0,0,0,0.02644,0,0,0,0,0.00017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00985,0,0,0,0,0,0,0,0,0.00223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroidales",14.3811,37.73944,5.14467,23.34858,28.75565,80.32476,3.31236,50.84957,42.91362,39.38825,68.69947,63.44383,26.60222,22.07771,50.64873,4.88173,53.32915,47.25209,62.00865,4.93808,56.8576,42.76823,65.0504,1.59772,65.87104,39.61834,24.72084,20.21303,2.62518,83.23994,34.23554,29.60921,1.95977,48.37323,64.43535,47.3723,31.37852,37.30674,27.43834,11.32343,63.04942,18.29776,37.01062,13.5514,1.19462,40.14795,50.10972,10.12778,66.82334,0.10029,33.61017,75.20725,56.12022,10.25954,14.34391,42.48554,76.49463,19.60777,90.20141,66.45153,10.40357,22.45005,23.92869,12.22297,61.68464,7.0923,42.17738,6.06588,12.23188,18.05659,62.73532,32.79895,4.74019,44.9465,31.96803,74.02315,14.22252,13.70655,18.64088,14.45165,71.44716,47.22835,49.09663,47.83804,45.41545,49.98678,6.05048,56.07503,41.26407,48.58318,24.16948,58.17353,16.72899,32.78061,55.78835,18.21521,42.95764,20.93612,5.43569,7.60078,53.3085,24.15797,12.31991,35.86732,61.75176,59.82084,56.3929,61.88711,15.05319,50.56564,71.61676,63.51526,60.48774,11.30256,80.11839,76.74585,84.78573,68.79794,42.05923,29.78078,46.19021,63.64158,0.2208,12.21505,2.08615,38.94153,16.90311,10.35348
"Chlamydiales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
