"","SZAXPI003409.8","SZAXPI003410.3","SZAXPI003411.6","SZAXPI003412.1","SZAXPI003413.4","SZAXPI003414.3","SZAXPI003415.12","SZAXPI003416.4","SZAXPI003417.4","SZAXPI003418.8","SZAXPI003419.6","SZAXPI003420.4","SZAXPI003421.5","SZAXPI003422.11","SZAXPI003423.8","SZAXPI003424.12","SZAXPI003425.1","SZAXPI003426.11","SZAXPI003427.1","SZAXPI003428.6","SZAXPI003429.3","SZAXPI003430.5","SZAXPI003431.1","SZAXPI003432.12","SZAXPI003433.7","SZAXPI003434.7","SZAXPI003435.11","SZAXPI003436.7","SZAXPI003437.3","SZAXPI015209.133","SZAXPI015210.17","SZAXPI015211.166","SZAXPI015212.113","SZAXPI015213.15","SZAXPI015214.19","SZAXPI015215.20","SZAXPI015216.169","SZAXPI015217.140","SZAXPI015218.16","SZAXPI015219.129","SZAXPI015220.136","SZAXPI015221.142","SZAXPI015222.123","SZAXPI015223.158","SZAXPI015224.13","SZAXPI015225.18","SZAXPI015226.14","SZAXPI015227.13","SZAXPI015228.14","SZAXPI015229.15","SZAXPI015230.16","SZAXPI015231.17","SZAXPI015232.18","SZAXPI015233.19","SZAXPI015234.20","SZAXPI015235.21","SZAXPI015237.23","SZAXPI015238.24","SZAXPI015239.25","SZAXPI015240.26","SZAXPI015241.27","SZAXPI015242.30","SZAXPI015243.31","SZAXPI015244.32","SZAXPI015245.33","SZAXPI015246.34","SZAXPI015247.35","SZAXPI015248.36","SZAXPI015249.37","SZAXPI015250.39","SZAXPI015251.41","SZAXPI015252.43","SZAXPI015253.44","SZAXPI015254.45","SZAXPI015255.46","SZAXPI015256.47","SZAXPI015257.56","SZAXPI015258.57","SZAXPI015259.62","SZAXPI015260.74","SZAXPI015261.75","SZAXPI015262.79","SZAXPI015263.84","SZAXPI015264.87","SZAXPI015265.88","SZAXPI015266.89","SZAXPI015267.102","SZAXPI015268.109","SZAXPI015269.94","SZAXPI015270.90","SZAXPI015271.93","SZAXPI015272.108","SZAXPI015273.95","SZAXPI015274.111","SZAXPI017451.16","SZAXPI017452.17","SZAXPI017453.19","SZAXPI017454.20","SZAXPI017455.21","SZAXPI017456.23","SZAXPI017457.24","SZAXPI017458.25","SZAXPI017459.26","SZAXPI017460.27","SZAXPI017461.32","SZAXPI017462.33","SZAXPI017463.36","SZAXPI017464.37","SZAXPI017465.43","SZAXPI017466.84","SZAXPI017467.87","SZAXPI017468.88","SZAXPI017580.90","SZAXPI017581.93","SZAXPI017582.94","SZAXPI017583.102","SZAXPI017584.108","SZAXPI017585.109","SZAXPI017586.111","SZAXPI017587.113","SZAXPI017588.123","SZAXPI017589.133","SZAXPI017590.136","SZAXPI017591.140","SZAXPI017592.142","SZAXPI017593.158","SZAXPI017594.166","SZAXPI017595.169"
"Actinobacteria",4.89547,1.24821,46.78785,6.44071,16.32018,1.2226,16.91842,21.11916,0.33384,0.86862,10.33459,0.84039,33.84915,4.14107,2.26245,18.05634,1.80143,0.75977,5.96098,0.01446,14.49243,16.02512,1.60276,1.4711,4.35907,24.10279,18.69174,38.69388,12.27005,0.4434,11.97321,30.35902,8.40881,0.68653,6.14923,3.87492,4.04205,0.74306,14.8333,0.13525,2.69809,4.33142,2.23511,11.09396,10.65546,10.60569,0.1871,3.2044,8.24056,0.70548,3.51273,1.18354,0.59722,7.32362,25.74293,1.02239,1.54249,2.06984,6.99449,4.94932,1.63283,4.62585,1.87521,4.10788,1.07315,5.62227,0.51643,5.80568,28.18236,21.18725,3.808,10.39014,4.30849,10.39356,0.68123,0.5345,9.45872,2.53047,7.58673,6.51765,0.55055,2.09002,3.09757,2.22493,2.33115,0.53292,0.52374,1.21444,1.47837,0.33048,1.93798,0.67276,4.3727,0.22108,0.04994,5.38867,3.79298,1.86948,18.03673,5.20053,0.4157,6.44992,19.08073,5.39191,2.90221,0.95219,11.63611,0.14841,16.4866,11.80822,0.74302,3.49024,1.58294,13.4778,1.57516,2.45313,0.45125,0.05013,0.36723,4.07586,3.40666,3.47912,17.30072,1.86461,13.74142,2.66537,3.16206,20.1234
"Ascomycota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03514,0,0,0,0,0,0,0,0,0,0.01191,0,0.10081,0,0,0,0,0,0,0.02644,0,0,0,0,0.00017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00985,0,0,0,0,0,0,0,0,0.00223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroidetes",14.3811,37.73944,5.14467,23.34858,28.75565,80.32476,3.31236,50.84957,42.91362,39.38825,68.69947,63.44383,26.60222,22.07771,50.64873,4.88173,53.32915,47.25209,62.00865,4.93808,56.8576,42.76823,65.0504,1.59772,65.87104,39.61834,24.72084,20.21303,2.62518,83.23994,34.23554,29.60921,1.95977,48.37323,64.43535,47.3723,31.37852,37.30674,27.43834,11.32343,63.04942,18.29776,37.01062,13.5514,1.19462,40.14795,50.10972,10.12778,66.82334,0.10029,33.61017,75.20725,56.12022,10.25954,14.34391,42.48554,76.49463,19.60777,90.20141,66.45153,10.40357,22.45005,23.92869,12.22297,61.68464,7.0923,42.17738,6.06588,12.23188,18.05659,62.73532,32.79895,4.74019,44.9465,31.96803,74.02315,14.22252,13.70655,18.64088,14.45165,71.44716,47.22835,49.09663,47.83804,45.41545,49.98678,6.05048,56.07503,41.26407,48.58318,24.16948,58.17353,16.72899,32.78061,55.78835,18.21521,42.95764,20.93612,5.43569,7.60078,53.3085,24.15797,12.31991,35.86732,61.75176,59.82084,56.3929,61.88711,15.05319,50.56564,71.61676,63.51526,60.48774,11.30256,80.11839,76.74585,84.78573,68.79794,42.05923,29.78078,46.19021,63.64158,0.2208,12.21505,2.08615,38.94153,16.90311,10.35348
"Chlamydiae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euryarchaeota",0.03291,0,21.18772,0.00262,0,0.0012,0,0,0,0,0,3.72272,0.04309,0,0,0.01804,0,0.03144,0,0,0,0,0,0,0,0,0,0.02073,0,0,0,0,0,0,0,0,0,3.24366,0,0,0.27447,0,0,1.16343,0,0,0,0,0,0,0.58094,0,0,0,0,0.4664,0,0,0,0.0095,0,0.10318,0,0,0.00545,0.05351,0,0,0,0,1.05117,0.39793,0,0,0,0,0,0,0,0,0,0,0,2.82252,0,0,0,2.09153,0,0,0,0,0,0,0,0,0,0.04452,0,0,3.89139,0.00246,0,0,0.06469,0,7.96256,0,0,0.00843,0,0.01031,0,0,0,0.00798,0,0,0,0,0.00724,0,0.07343,0,0,0.01292,0,0
"Firmicutes",32.05635,42.44008,26.03869,63.75293,42.50382,15.85311,69.95689,27.04043,18.92011,22.74097,17.87742,29.4917,35.86237,58.40011,46.31722,63.92386,34.24933,12.11063,18.37716,18.56719,25.37633,40.73977,31.05635,16.44333,26.75643,34.10103,53.84634,38.91857,78.34925,14.55835,52.40654,38.42219,86.38303,45.28319,10.6106,47.21721,56.05831,32.42485,51.12991,84.89373,33.54278,77.01826,53.84366,74.04997,87.22641,34.28722,44.98287,78.74668,24.61996,2.62462,62.15875,18.99301,31.58744,79.16665,47.81544,53.31794,15.62041,42.214,2.09375,26.97031,82.6003,71.06082,26.1366,76.90605,36.07586,85.38223,47.15269,87.21945,58.50076,59.34758,25.98632,55.6518,87.34678,40.54959,56.6434,22.63699,75.57859,82.6564,70.48269,34.50248,25.95507,49.13425,45.14463,44.18006,49.1401,48.99892,19.38042,37.05215,54.8204,50.72762,72.2056,41.11184,77.25206,57.89047,14.45278,76.13886,33.19738,54.23313,76.24663,72.56823,41.07768,66.87519,67.94924,57.816,19.09266,36.75173,23.38798,36.75623,36.19618,33.66594,27.14961,29.62321,37.3084,52.10063,14.00787,19.89921,12.04065,19.05474,55.84539,57.82109,40.67572,32.32085,43.20149,85.27464,78.70807,57.47009,79.64084,25.30826
"Fusobacteria",0,0.40064,0.07395,0.0272,0,0,0,0.35092,0.27815,0.05461,0.00553,0,0,2.55086,0.01697,0,0,0,7.6776,1.61452,0.00981,0,0.09836,0,0.00356,0.05638,0.23877,0,0.01821,1.07923,0.00866,0.10639,0,0.05955,13.92729,0,0.00396,0.18199,1.10827,0.02676,0.00111,0.05178,6.11701,0.0014,0,0,0.37931,0,0.01657,0,0,0,1.8804,0,0,0,2.45641,0,0,0.00058,0,0,0,0,0,0,0,0,0,0.08682,0,0,0,0.20936,0.93137,2.40636,0,0,0.01127,0.00494,0,0,0,0,0,0,0,0,0,0,0,0,0.13906,0,0,0.00839,0.01813,0.58849,0,0.14741,0,0.00529,0,0,1.3833,0.0199,0.37511,1.05464,0,0.3196,0,0.19737,0.13637,0.28247,1.12733,0.48756,0.02672,0.62741,0.8021,0.06465,0.09885,0.09393,0,0,0,0.00482,0.10578,0.83844
"Lentisphaerae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00231,0,0.00554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00038,0,0,0.00281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Proteobacteria",23.04619,7.17544,0.41713,1.51454,0.69754,2.59384,9.66974,0.63052,37.53364,36.60119,3.07189,2.45091,3.60921,12.73192,0.64173,0.25326,10.53095,39.72257,1.77237,2.85145,3.17161,0.29799,1.66347,80.47047,2.7093,1.66959,1.43167,1.30551,6.53682,0.67907,1.26563,1.31341,3.14421,5.57476,4.67351,1.46411,0.71911,0.37314,4.61437,3.53653,0.31813,0.21611,0.76418,0.0669,0.84163,3.37907,2.39206,7.40041,0.2642,96.56654,0.08098,1.87382,9.8147,3.23571,7.3338,2.69735,3.87438,36.09182,0.71032,1.06387,5.34426,1.71549,48.04352,6.72014,1.05652,1.83894,9.51196,0.89158,1.07124,0.92603,4.68211,0.71129,3.58397,3.88148,9.26879,0.15704,0.66068,0.86024,3.26649,44.42118,1.722,1.54734,0.59475,2.84532,3.11152,0.47664,74.00611,3.55544,1.71714,0.16055,1.62834,0.0164,1.44522,9.0984,29.70901,0.22148,9.50925,22.21794,0.14887,14.46601,0.86538,2.47731,0.59954,0.85784,7.69887,2.45536,0.16538,0.11253,0.34624,1.37176,0.47289,3.1314,0.41946,3.13342,3.16788,0.36356,1.27579,8.87695,0.91657,7.63402,9.61109,0.44752,39.00097,0.47875,3.29981,0.84749,0.15582,42.81919
"Spirochaetes",0,0,0,0,0.00112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Synergistetes",0.01365,0.00121,0,0,0.05141,0,0,0,0.00304,0,0,0.01374,0,0.00478,0,0,0,0.05633,0.0168,0,0,0,0,0.00057,0.2715,0,0.21532,0.27642,0,0,0,0.03188,0,0,0,0.00348,1.0845,0.34477,0.38871,0.05681,0.00629,0,0.02071,0.01232,0.00512,0,0.01927,0,0,0,0,0,0,0,0,0.00093,0.00167,0,0,0.00438,0.00409,0,9e-04,0.00238,0,0.00679,0,0,0,0.09903,0.00096,0.00075,0,0.01946,0.00093,0.0041,0.00923,0.00043,0,0.03021,0.01291,0,0.0039,0.05737,0,0,0,0,0.06376,0,0.00963,0,0,0,0,0,0.53098,0,0,0,0.37424,0,0,0,0.01756,0,0.00642,0.02197,0.06833,0.10072,0,0,0.02088,0.29935,0,0,1.3977,0,0,0,0,0,0.02184,0,0,0.01624,0.00057,0.17965
"Verrucomicrobia",25.51215,10.95862,0.01264,4.83142,11.62145,0.00418,0.00211,0.00181,0.00617,0.33465,0.00123,0.0155,0.02354,0.00677,0.00993,12.81751,0.08789,0.06117,4.14194,72.0143,0.00373,0.15604,0.00038,0.00513,0.00037,0.45011,0.75381,0.45155,0.10861,0,0,0.00444,0,0,0,0.00553,6.48586,25.20702,0.26393,0,0,0.05885,0,0,0.02756,11.29907,1.9207,0.47713,0,0,0.02642,2.73754,0,0,4.70809,0,0,0,0,0.38938,0,0,0.01184,0,0.07532,0.00275,0.64126,0,0,0.21172,1.73223,0.0244,0,0,0.49902,0.22326,0,0.24189,0,0,0.28022,0,2.04924,0,0,0,0.03147,0,0.61764,0.08313,0.0251,0,0,0,0,0,9.96896,0.00515,0,0,0,0,0,0,7.08438,0,0,0,28.94276,2.08047,0.00153,0,0.02727,19.32638,0,0.00182,0.0063,2.58959,0,0.24423,0,0,0.02509,0.12942,1.67161,0,0,0.03676
