"","MG100208","MG100207","MG100206","MG100205","MG100204","MG100203","MG100202","MG100201","MG100200","MG100199","MG100198","MG100196","MG100195","MG100194","MG100193","MG100192","MG100191","MG100190","MG100189","MG100188","MG100187","MG100186","MG100185","MG100184","MG100182","MG100181","MG100180","MG100179","MG100178","MG100177","MG100176","MG100175","MG100174","MG100173","MG100172","MG100171","MG100170","MG100169","MG100168","MG100167","MG100166","MG100165","MG100164","MG100163","MG100162","MG100161","MG100160","MG100159","MG100158","MG100157","MG100156","MG100155","MG100154","MG100153","MG100152","MG100151","MG100150","MG100149","MG100148","MG100147","MG100146","MG100145","MG100144","MG100143","MG100142","MG100141","MG100140","MG100139","MG100138","MG100137","MG100136","MG100134","MG100133","MG100132","MG100131","MG100130","MG100129","MG100128","MG100127","MG100126","MG100125"
"Actinobaculum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05296,0,0,0,0,0,0,0,0,0,0,0,0.28225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces",0,0.13054,0,0.3077,0,0,0,0.08993,0.06948,0.16767,0,0.03049,0.04432,0,0,0,0.59202,0.01159,0,0,0,0,0,0.00609,0.08437,0,0.2002,0,0.01351,0,0.0123,0.09878,0,0,0.00672,0,0,0,0.29293,0,0.08172,0,0,0,0,0.13145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01269,0,0,0,0.01367,0,0.18791,0.02895,0,0,0,0.02916,0,0.03325
"Schaalia",0,0,0,0.00488,0,0,0,0.01103,0.08629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06696,0,0,0,0,0.02188,0,0.01912,0,0,0,0,0.04887,0.07999,0,0,0,0,0,0,0,0.02353,0,0,0,0.02999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00257,0.47263,0.02274,0,0,0,0,0.01747,0,0.1079
"Trueperella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05829,0,0,0,0,0,0,0
"Aeriscardovia",0,0,0,0,0,0,0,0,0,0,0,0.02812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium",0,0,35.80953,0.0297,2.75269,6.60309,19.12423,0,0,0.01421,2.95713,34.10651,1.73683,0,14.5368,0,0,0,0,0,78.20376,0,1.61666,20.44854,1.89656,0,1.71099,0,7.99503,13.19574,0,30.04766,0,6.56474,0.26945,0,6.77621,41.13176,57.77258,4.37116,0,0.06908,0,36.43415,14.23225,14.87207,10.13531,0,0.70755,48.21434,14.66715,4.32924,0,0,6.58672,7.31025,0.32433,27.22602,29.73815,28.31648,4.90697,2.43378,1.77361,6.09727,0,0.74203,4.03215,4.56578,0,13.43161,0,0,16.72464,0,46.59807,4.12886,12.62047,3.10217,9.31638,0,8.0156
"Lawsonella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rothia",0,0,0,0.06244,0,0,0,0,0,0,0,0,0.49265,0,0.08573,0,0.11536,0,0,0,0,0,0,0,0,0,0.08592,0,0,0,0,0.17424,0,0.10335,0,0,0,0,0.00274,0,0,0,0,0,0,0,0,0.08909,0,0.00798,0,0,0,0,0,0,0,0,0.11432,0.00934,0.04257,0,0,0,0,0,0,0,0,0,0,0,0,0.09093,0,0,0,0,0,0.56125,0.24743
"Propionibacterium",0,0,0,0,0,0.03163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03334,0.01914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18189,0,0
"Atopobium",0.11197,0,0,0,0,0,0,0,0,0,0,0,0.09018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
