"","MG100208","MG100207","MG100206","MG100205","MG100204","MG100203","MG100202","MG100201","MG100200","MG100199","MG100198","MG100196","MG100195","MG100194","MG100193","MG100192","MG100191","MG100190","MG100189","MG100188","MG100187","MG100186","MG100185","MG100184","MG100182","MG100181","MG100180","MG100179","MG100178","MG100177","MG100176","MG100175","MG100174","MG100173","MG100172","MG100171","MG100170","MG100169","MG100168","MG100167","MG100166","MG100165","MG100164","MG100163","MG100162","MG100161","MG100160","MG100159","MG100158","MG100157","MG100156","MG100155","MG100154","MG100153","MG100152","MG100151","MG100150","MG100149","MG100148","MG100147","MG100146","MG100145","MG100144","MG100143","MG100142","MG100141","MG100140","MG100139","MG100138","MG100137","MG100136","MG100134","MG100133","MG100132","MG100131","MG100130","MG100129","MG100128","MG100127","MG100126","MG100125"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii",21.37791,0,0,5.41226,0.39321,34.32865,4.23673,2.67358,0,4.76626,0,7.61699,0,0,14.18952,4.88926,0.04383,0.10756,11.29844,0,0,0,1.32018,0,0,2.36431,12.62572,0,12.45615,0,0,0.73726,14.39496,0,7.27317,13.13146,14.41751,2.415,0,0,0,1.82796,15.87201,0,0,0,0,0,14.78219,2.93924,0,0,5.89242,5.07992,2.40119,0,3.67099,0,0,0,6.87282,0,0,15.13664,0,14.57186,3.86119,0,4.16979,4.83862,1.89702,0,1.13729,5.75258,0.2725,3.08023,0,0,0,0,15.69948
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques",0,5.57596,3.49315,0,3.28219,0.98838,1.04156,4.06303,2.48657,9.79867,2.28958,0,0,0.88986,1.98895,2.94905,0,11.38975,6.29956,2.62642,0,0,0,0,2.33332,2.45764,8.97403,5.73237,0.54537,0,0,0,1.30755,0,24.11453,0.28325,5.94256,2.00104,0,8.76543,5.9745,4.86378,0.97349,0.6895,0.04434,0,0,0,0,0,9.27249,12.98922,0,2.35496,10.04529,0,0,10.15715,0,11.89512,2.98672,0,0,0.49668,0,2.20576,1.99894,0,15.27961,1.11698,0.96993,38.96846,0.71753,0,5.46973,1.09542,0,3.17245,7.69361,2.07401,11.52564
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena",0,4.39659,0.84285,0,4.88256,0,3.77168,0.88782,12.22971,0,0,11.1747,3.45236,2.94879,2.27732,0.46158,2.39715,0.69817,5.05327,10.25072,0,0,1.66215,2.88307,1.89521,2.02146,1.61767,2.56381,3.272,0,0,0,0.21403,4.07918,4.32088,0.97466,3.0044,2.35299,0,4.21271,1.86443,0,0.12478,4.1744,0,0,0,7.17031,11.18687,1.92817,8.42546,3.67797,2.14387,0.02602,9.71888,0,0,2.66466,0.6494,2.37145,6.51279,0.00494,1.43132,1.37257,0,3.45127,2.65355,0,0,1.77514,2.22586,1.59427,9.25922,0,6.19013,0.34679,0,0,6.18333,9.42841,9.4483
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Eubacterium_rectale",0,2.15366,2.02039,4.51875,1.44157,0,0,2.61471,0.5432,11.33454,1.50841,0,0,0,7.43292,0.60915,0,0,4.81871,0,0,0,5.28619,19.35509,1.26541,0,9.52691,0,4.57636,16.98817,27.31084,0,0,5.14065,4.53074,8.40212,15.06948,4.73013,0,13.30801,2.2871,1.49323,0,7.66045,0.5635,5.46527,4.55767,3.75053,0,0,0.01284,2.52614,8.73662,5.88138,0.19522,23.15136,0.47729,0.85455,0.3826,0.23786,6.59455,0.0726,38.06318,5.78736,0,1.61926,39.36465,15.6966,0,0.21244,5.43923,0.80572,0.01073,0,1.28238,4.66504,0,1.19411,1.62502,0,8.38377
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Fusicatenibacter|s__Fusicatenibacter_saccharivorans",0,32.2266,3.00788,2.4548,1.73857,1.19779,0,2.30932,0,2.98067,17.42702,5.99515,0,1.31157,4.51164,8.39812,4.87656,3.48943,3.82251,0.81234,0,8.93304,2.40497,9.22359,3.12008,0.96013,15.27119,7.95201,0.70301,5.36623,7.45466,0,0.8793,12.30654,13.97116,1.87677,6.65586,0.20213,0,2.97804,29.52846,0.12808,0.57716,1.08153,0,2.96103,10.95433,8.60592,0,0.10637,11.68813,26.89169,7.02842,3.97587,2.0471,11.39883,0,1.39411,0,1.97008,5.09257,1.72083,2.47551,2.05627,0,3.28524,5.7855,1.09136,4.71071,0.83772,12.05118,0.99222,2.35135,0.18214,3.9066,2.426,4.80508,2.93191,26.58014,15.70895,5.7506
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii",0,5.59468,2.80786,0,3.66904,0.48379,3.72387,3.59421,4.01028,12.36117,3.15826,0,0.2735,0.10385,5.32082,6.0597,0,6.70839,4.97561,4.05685,0,0,2.33528,0.77906,4.87278,5.30843,4.56972,16.17445,3.04807,8.05391,0.80025,6.72016,0.36523,0.41381,8.93029,0.76533,5.60879,5.26243,0,3.56905,4.06285,0.07852,0.32038,3.50866,6.22949,3.26129,0.88158,0,0,0,4.275,4.01341,1.62999,2.44853,4.32717,0.20804,0.1571,7.30857,0,6.65347,5.09054,5.22974,0.867,1.60147,0,0.83909,0.0997,0.40995,12.44284,0.58383,8.5812,0.07128,1.13638,0,0,1.69649,4.18752,0.50433,4.70346,1.58051,4.64971
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus",4.03973,2.62079,4.50654,2.27405,8.25525,1.51065,7.86073,33.94653,0,10.97482,5.0423,11.31384,0,0.35287,3.48332,8.88557,14.22904,49.94631,13.36463,31.06005,0,0,0.14731,4.67892,37.98136,0.63982,6.57268,9.77865,1.45562,16.94351,6.76734,11.362,1.94847,4.00192,6.19232,2.29872,3.39026,1.08941,8.74847,9.48783,3.85211,0.15356,2.5027,17.03584,0.38262,0.6122,10.56484,46.06762,2.45641,8.41956,8.00819,3.65634,1.1464,0.8925,0.62365,16.33783,0.75397,8.84201,13.52562,1.13977,4.47235,8.16531,0.55696,4.46763,0,3.33101,1.72098,12.31972,15.38765,1.26281,2.28959,6.78625,9.49303,0.69755,7.44108,0.58888,6.83894,3.13215,2.99539,8.36079,4.46583
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_hominis",0,0.00592,0.02457,0.4523,2.25111,0.081,0,0,0,3.51561,0.33762,0,0,0,0.90949,1.59146,0,0,0,0.63895,0,0,0,0,0.09992,0,0.93819,0.03423,2.62324,0.96059,1.95373,0.09389,0,0,0,0.04821,0.08999,0.10273,0,0.64203,1.41202,4.01447,0,0,0,0.30189,3.25734,0,0,0.05705,0.80698,0,0.60528,2.77729,0,0,1.5158,0,0,0,13.47025,0,0.13711,0.08442,0,1.02532,0,0.02518,0,1.40675,0,0,8.00433,0.73025,0.43255,1.33176,4.68457,0.3028,0.15914,0,4.233
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes",0,8.22138,1.52286,11.1289,2.50809,0.34253,0,1.03507,0,0,4.86451,0,0.76852,0.59531,2.22887,0,0,0.21926,3.54067,0.89826,0,0,1.01095,0,0,0.04334,2.28268,2.94543,2.41068,0,3.39378,0,0.00622,0,0.85466,0.56614,0.65968,3.69714,0,3.53775,4.95196,0.32375,0,0,0,12.2201,0,7.44414,1.28374,1.28243,8.31709,4.76616,0.39275,2.52625,14.06877,3.08812,0,1.14217,0,0.00706,0.95579,0.29193,0.27124,1.01661,0,1.37138,0,4.9738,1.4068,0,0,3.46112,3.51489,0,5.71171,0.30162,2.33459,0,0.76387,0.29424,4.04715
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis",0,0,29.15502,0,0,1.1715,0.25468,0,0,0,0,24.68653,0.02142,0,4.41237,0,0,0,0,0,0,0,0,1.4913,0,0,0,0,0,0,0,0,0,0,0,0,4.84435,23.02296,57.75555,0,0,0,0,0,8.18563,0,0,0,0,0,0,0,0,0,4.35711,0,0,0,0,0,4.27871,0.01331,1.77361,0,0,0,0,0,0,13.29799,0,0,10.27062,0,25.35287,0,11.99774,0.23418,7.39675,0,3.74924
