"","LILT_GF06_16","LILT_GF12_16","LILT_GF15_16","LILT_GF16_T017","LILT_GF17_16","LILT_GF18_T016","LILT_VF00TL_16","LILT_VF02_T016","LILT_VF04_16","LILT_VF06_16","LILT_VF07_16","LILT_VF100_T016","LILT_VF102_T017","LILT_VF107_16","LILT_VF114_T017","LILT_VF120_16","LILT_VF145_T017","LILT_VF154_T017","LILT_VF166_T017","LILT_VF174_T017","LILT_VF176_T017","LILT_VF192_T017","LILT_VF197_T017","LILT_VF29_16","LILT_VF30_16","LILT_VF31_16","LILT_VF32_T016","LILT_VF35_16","LILT_VF37_16","LILT_VF38_16","LILT_VF40_16","LILT_VF43_16","LILT_VF47_16","LILT_VF50_16","LILT_VF55_T017","LILT_VF56_16","LILT_VF60_T016","LILT_VF65_16","LILT_VF66_T017","LILT_VF69_16","LILT_VF70_16","LILT_VF71_16","LILT_VF73_16","LILT_VF77_16","LILT_VF84_16","LILT_VF90_16","LILT_VF95_16","LILT_VF97_16","LILT_VF270_T017","LILT_VF207_T017","LILT_VF234_T017","LILT_VF217_T017","LILT_VF273_T017","LILT_VF208_T017","LILT_VF281_T017","LILT_VF172_T017","LILT_VF216_T017","LILT_VF232_T017","LILT_VF264_T017","LILT_VF251_T017","LILT_VF259_T016","LILT_VF255_T016","LILT_VF170_T016","LILT_VF206_T016","LILT_VF212_T016","LILT_VF214_T016","LILT_VF261_T016","LILT_VF262_T016","LILT_VF263_T016","LILT_VF265_T016","LILT_VF279_T016","LILT_VF300_T016","LILT_VF301_T016","LILT_VF10_T016","LILT_VF140_T016","LILT_VF171_T016","LILT_VF18_T016","LILT_VF189_T016","LILT_VF28_T016","LILT_VF82_T016"
"Actinomycetaceae",0.00154,0,0,0,0.03773,0.11341,0.02443,0,0.08903,0,0,0.01052,0,0.27372,0.00894,0.00331,0,0.26136,0,0,0,0.06692,0.01398,0,0.2566,0.00344,0,0,0,0.02556,0,0,0.0117,0,0,0.07195,0,0,0,0.00539,0,0,1.87856,0,0,0.04208,0.01037,0.14622,0,0.00129,0,0.23662,0.33947,0.00469,0.00145,0,0.00404,0,0.00649,0,0,0.01486,0,0.27439,0,0,0,0.03026,0.05765,0,0,0.06211,0.05536,0,0,0.01049,0,0,0,0
"Bifidobacteriaceae",0.0058,2.37414,0.56585,2.86643,1.58676,2.94412,3.29129,5.62522,47.24743,7.43318,2.5162,2.81523,0.05653,0.04738,0.35583,15.04189,0.41338,39.85506,0.10031,2.04779,0,2.54202,0.7999,1.14164,5.22662,44.5882,0.55839,6.97773,0.0835,13.19745,0,0.00357,1.88004,0.08529,0.56654,0.8635,0,0.42886,0,8.04057,0,0.10184,0.16713,0.99802,0.05092,0,0.08085,0,1.09224,0,1.41064,0.12134,0.00242,0.00105,0.10078,0.18127,0.11416,0,0.36687,1.12618,0.37958,4.30299,0,0.16847,1.95402,26.02061,0.84704,8.77093,14.91181,0.68942,0.02305,5.90843,5.21735,8.26086,5.86888,2.94435,5.43423,19.5627,1.39596,0.23544
"Corynebacteriaceae",0,0,0,0,0,0.01118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00123,0,0,0,0,0,0.01595,0,0,0,0,0,0,0,0,0,0,0,0,0.00277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lawsonellaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Micrococcaceae",0.00039,0,0,0.00573,0.09808,0.24221,0,0.00266,0.09451,0.01155,0,0.36126,0,0.86007,0,0,0,0.07107,0,0,0,0,0,0,0.00713,0,0,0,0,0,0,0,0,0,0,0.00259,0,0.05897,0,0.0726,0,0,0,0.00524,0.00404,0.00084,0,0.02625,0,0.00142,0,0,0,0,0,0,0.03222,0,0.00108,0,0,0.0049,0,0.07504,0,0.01096,0,0.00263,0.00628,0,0,0.06607,0.07208,0,0,0.01593,0,0,0,0
"Propionibacteriaceae",0,0,0,0,0,0.00189,0,0.0129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01255,0,0,0,0.00946,0,0,0.00293,0,0,0,0.00276,0,0,0,0,0,0,0,0,0,0.08698,0,0.01304,0,0.08808,0,0,0.00883,0,0,0,0,0,0,0.00431,0,0,0,0,0,0,0,0,0,0,0,0.01711,0.00251,0,0,0
"Atopobiaceae",0,0.00753,0,1.12166,0,1.59319,0,0.02602,0.42204,0.00165,0,0,0,0.04098,0,0,0,0,1.12652,0,0,0,0,0,0,0.03283,0,0,0.24454,0,0,0,0,0,0,0,0,0,0,4.64734,0,0,0,0.00207,0,0,0,0,0,0,0.00068,0,0,0,0,0,0,0,0,0,0,0,0.00154,0.00069,0,0,0,0,0,0,0,0.00058,0,0.0449,0,0,0,0.06429,0,0
"Coriobacteriaceae",0,0,0.49896,0.49505,0.32403,64.87778,2.70661,0.50589,3.47413,0.82091,4.76275,0.84381,0.22628,4.35844,0,0.71315,0.62721,0.00266,0.22529,0.48626,0.28861,0.25917,0.10994,0.14312,1.82314,1.87851,2.19974,1.21837,4.80644,2.75741,0.0959,0.02364,2.68432,0.70031,0,0.36535,0.00364,0.41044,4.17933,2.30165,0.09429,0,0.14509,0.1883,0,0,0.94924,0,0.77866,0.85379,0.24541,0,0,0,0.21242,0.16389,0,0.12333,0.82848,0.26768,0.08968,0.6552,0.17075,0,0.17443,0,0.4378,7.05511,8.43622,1.58557,0.02195,1.21383,1.34824,1.68367,0.6725,4.66325,1.63405,5.26826,0.23095,0.6166
"Eggerthellaceae",0.72615,0.16263,0.13431,0,0.62543,1.81413,0.01354,0.52359,0.09463,0.49019,0.35676,0.80277,0,0.0718,0,0.13124,0.06202,0,0.9272,0.0759,0.05357,0.15018,0.0463,0.60316,0.28346,0.42877,0.23949,0.11812,1.77725,0.02024,0.07597,0,0.49691,0.11949,0.81108,0.10054,0.06364,0.02354,0.57437,0.11379,0.00689,0.13399,0.33858,0.00541,0.01982,0.39139,0.14279,0.02234,0.02944,0.28867,0.32707,0,0.19615,0,0.21528,0.0301,0,0.02644,0.01654,0.01019,0.41096,0.16437,0.07383,0,0.0903,0,0.05673,0.34332,0.69397,0.65392,0.02057,0.08475,0.06867,0,0.08602,0.05883,0.12789,0.33136,0.79724,0
"Bacteroidaceae",0.31594,78.47547,5.03644,18.37675,23.71682,0.31608,14.20921,1.02647,7.82239,50.3889,8.80619,19.60469,29.07801,22.26493,28.79235,8.5179,26.28209,0.00029,17.37981,14.34478,28.82636,25.5753,18.02702,35.899,22.20421,4.93408,37.61383,34.14453,5.09618,25.26184,17.75739,2.30888,53.62573,28.0156,38.64669,41.48865,28.59272,8.90848,35.75417,14.56654,8.72209,47.45325,18.71537,20.88901,43.55855,66.42774,69.60807,45.40207,24.07523,18.51086,25.64444,0,13.88911,0.0016,61.11019,13.30123,0,11.36863,47.90585,36.5221,38.57879,11.12161,14.03174,48.64127,29.05345,0,5.80235,9.78477,7.40415,26.51862,68.17644,25.02709,26.03692,12.53804,2.66067,28.71982,50.32285,15.30755,33.57515,2.82262
"Barnesiellaceae",0,0,0.2243,6.3556,1.27059,0,0.56432,0.01606,0,0.03539,0.00157,0.4698,0.47129,0,0,0.47575,0.30546,0,0,0,2.69248,0.07446,0.35819,0.82162,0.55129,0.01635,0.66144,0.826,7e-04,2.49144,3.30641,0.67528,0.63075,0.93386,0,0,3.08231,0.1517,0.30703,0.32965,1.5179,0.02159,1.82707,0.6857,0.44437,0,1.7336,0.0356,0.68445,0.06071,3.42527,0,0.14631,0,0.17206,0.00723,0,0.51936,0.50141,1.38449,3.26867,0.71919,3.06922,2.39822,1.95369,0,0,0.49248,0.36691,0.22504,0.11848,0.21767,0.12942,4.85579,0.36826,0,0,0.10683,0.81041,0.12414
