"","LILT_GF06_16","LILT_GF12_16","LILT_GF15_16","LILT_GF16_T017","LILT_GF17_16","LILT_GF18_T016","LILT_VF00TL_16","LILT_VF02_T016","LILT_VF04_16","LILT_VF06_16","LILT_VF07_16","LILT_VF100_T016","LILT_VF102_T017","LILT_VF107_16","LILT_VF114_T017","LILT_VF120_16","LILT_VF145_T017","LILT_VF154_T017","LILT_VF166_T017","LILT_VF174_T017","LILT_VF176_T017","LILT_VF192_T017","LILT_VF197_T017","LILT_VF29_16","LILT_VF30_16","LILT_VF31_16","LILT_VF32_T016","LILT_VF35_16","LILT_VF37_16","LILT_VF38_16","LILT_VF40_16","LILT_VF43_16","LILT_VF47_16","LILT_VF50_16","LILT_VF55_T017","LILT_VF56_16","LILT_VF60_T016","LILT_VF65_16","LILT_VF66_T017","LILT_VF69_16","LILT_VF70_16","LILT_VF71_16","LILT_VF73_16","LILT_VF77_16","LILT_VF84_16","LILT_VF90_16","LILT_VF95_16","LILT_VF97_16","LILT_VF270_T017","LILT_VF207_T017","LILT_VF234_T017","LILT_VF217_T017","LILT_VF273_T017","LILT_VF208_T017","LILT_VF281_T017","LILT_VF172_T017","LILT_VF216_T017","LILT_VF232_T017","LILT_VF264_T017","LILT_VF251_T017","LILT_VF259_T016","LILT_VF255_T016","LILT_VF170_T016","LILT_VF206_T016","LILT_VF212_T016","LILT_VF214_T016","LILT_VF261_T016","LILT_VF262_T016","LILT_VF263_T016","LILT_VF265_T016","LILT_VF279_T016","LILT_VF300_T016","LILT_VF301_T016","LILT_VF10_T016","LILT_VF140_T016","LILT_VF171_T016","LILT_VF18_T016","LILT_VF189_T016","LILT_VF28_T016","LILT_VF82_T016"
"Actinobaculum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces",0.00102,0,0,0,0.02774,0.08929,0.02443,0,0.0727,0,0,0.00486,0,0.26099,0.00894,0.00331,0,0.07732,0,0,0,0,0,0,0.00502,0.00344,0,0,0,0,0,0,0.00818,0,0,0.07195,0,0,0,0.00539,0,0,0,0,0,0.04019,0.01037,0.14622,0,0.00129,0,0.23662,0.13121,0.00469,0.00145,0,0,0,0.00649,0,0,0.01486,0,0.24588,0,0,0,0.03026,0.05293,0,0,0.03882,0.0236,0,0,0.00846,0,0,0,0
"Actinotignum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fannyhessea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gleimia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Schaalia",0.00052,0,0,0,0.00999,0.02412,0,0,0.01633,0,0,0.00566,0,0.01273,0,0,0,0.18404,0,0,0,0.06692,0.01398,0,0.00165,0,0,0,0,0.02556,0,0,0.00352,0,0,0,0,0,0,0,0,0,1.87856,0,0,0.00189,0,0,0,0,0,0,0,0,0,0,0.00404,0,0,0,0,0,0,0.00335,0,0,0,0,0.00472,0,0,0.02329,0.03176,0,0,0.00203,0,0,0,0
"Aeriscardovia",0,0,0,0,0,0,0,0.00693,0,0,0,0,0,0,0,0,0,0.00301,0,0,0,0,0,0,0,0.00488,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0
"Alloscardovia",0,0,0,0,0,0,0,0,0.01935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00432,0,0,0,0,0,0,0,0,0,0,0,0.00093,0,0,0,0,0.00484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium",0.0058,2.36961,0.56585,2.86643,1.58676,2.89703,3.28811,5.61829,47.22808,7.43318,2.5162,2.81443,0.05653,0.04503,0.33667,15.04189,0.41338,39.85205,0.10031,2.04779,0,2.54202,0.7999,1.14164,4.94442,44.58332,0.55839,6.97773,0.0835,13.19745,0,0.00357,1.88004,0.08529,0.56654,0.8635,0,0.42886,0,8.03221,0,0.10184,0.16713,0.99802,0.05092,0,0.08085,0,1.09224,0,1.41064,0.11251,0.00242,0.00105,0.10078,0.18127,0.10363,0,0.36687,1.12618,0.37958,4.30299,0,8e-04,1.95402,26.02061,0.84704,8.77093,14.91156,0.68942,0.01698,5.88624,5.19797,8.26086,5.86888,2.94435,5.43423,19.5627,1.39496,0.23544
"Gardnerella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parascardovia",0,0,0,0,0,0,0.00318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scardovia",0,0.00453,0,0,0,0.04709,0,0,0,0,0,8e-04,0,0.00235,0.01916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0079,0,0,0,0,0.00569,0,0,0,0,0,0,0.16767,0,0,0,0,0.00025,0,0.00607,0.02219,0.01938,0,0,0,0,0,0,0
"Corynebacterium",0,0,0,0,0,0.01118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00123,0,0,0,0,0,0.01595,0,0,0,0,0,0,0,0,0,0,0,0,0.00277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lawsonella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rothia",0.00039,0,0,0.00573,0.09808,0.24221,0,0.00266,0.09451,0.01155,0,0.36126,0,0.86007,0,0,0,0.07107,0,0,0,0,0,0,0.00713,0,0,0,0,0,0,0,0,0,0,0.00259,0,0.05897,0,0.0726,0,0,0,0.00524,0.00404,0.00084,0,0.02625,0,0.00142,0,0,0,0,0,0,0.03222,0,0.00108,0,0,0.0049,0,0.07504,0,0.01096,0,0.00263,0.00628,0,0,0.06607,0.07208,0,0,0.01593,0,0,0,0
"Cutibacterium",0,0,0,0,0,0.00043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031,0,0,0,0.00946,0,0,0.00293,0,0,0,0.00276,0,0,0,0,0,0,0,0,0,0.08698,0,0.01304,0,0.08808,0,0,0.00883,0,0,0,0,0,0,0.00352,0,0,0,0,0,0,0,0,0,0,0,0.01711,0.00251,0,0,0
"Propionibacterium",0,0,0,0,0,0.00146,0,0.0129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atopobium",0,0,0,0,0,0.52292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lancefieldella",0,0,0,0,0,0.03064,0,0,0,0,0,0,0,0.04067,0,0,0,0,0.48625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00069,0,0,0,0,0,0,0,0.00058,0,0,0,0,0,0,0,0
"Olsenella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tractidigestivibacter",0,0.00753,0,1.12166,0,1.03963,0,0.02602,0.42204,0.00165,0,0,0,0.00031,0,0,0,0,0.00682,0,0,0,0,0,0,0.03283,0,0,0.24454,0,0,0,0,0,0,0,0,0,0,4.64734,0,0,0,0.00207,0,0,0,0,0,0,0.00068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0449,0,0,0,0.06429,0,0
"Collinsella",0,0,0.49896,0.49505,0.32403,64.71058,2.65541,0.50589,3.4718,0.8093,4.75339,0.84381,0.22628,4.35844,0,0.71315,0.62721,0.00266,0.22529,0.48626,0.28861,0.25917,0.10994,0.12954,1.82314,1.87745,2.19974,1.21837,4.80259,2.75741,0.0959,0.02364,2.6812,0.70031,0,0.36535,0.00364,0.41044,4.17781,2.30086,0.09429,0,0.14509,0.1883,0,0,0.94924,0,0.77866,0,0.24541,0,0,0,0.21242,0.16389,0,0.12333,0.82848,0.26768,0.08859,0.6552,0.17075,0,0.17443,0,0.4378,7.05397,8.43228,1.58557,0.02195,1.21383,1.34824,1.65159,0.6725,4.66214,1.63377,5.26143,0.19239,0.6166
"Enorma",0,0,0,0,0,0.1672,0.0512,0,0.00233,0.01161,0.00936,0,0,0,0,0,0,0,0,0,0,0,0,0.01358,0,0.00106,0,0,0.00385,0,0,0,0.00312,0,0,0,0,0,0.00152,0.00079,0,0,0,0,0,0,0,0,0,0.85379,0,0,0,0,0,0,0,0,0,0,0.00109,0,0,0,0,0,0,0.00114,0.00394,0,0,0,0,0.03208,0,0.00111,0.00028,0.00683,0.03856,0
"Adlercreutzia",0.02538,0,0,0,0.48687,0.01378,0.01354,0,0.00403,0.40082,0.0063,0,0,0,0,0.1244,0,0,0,0.02016,0.03293,0,0,0.13078,0.17303,0,0.01829,0.04368,0.19487,0.02024,0.05969,0,0.40673,0,0.61586,0,0.04223,0.00057,0.18714,0.03657,0,0,0.1457,0,0.01928,0,0,0,0,0,0.25522,0,0,0,0,0.00871,0,0,0,0.01019,0,0.00718,0.07383,0,0.08003,0,0,0.0863,0.25318,0,0,0.06363,0.05719,0,0.04603,0,0.00332,0.01218,0.20486,0
"Denitrobacterium",0.00051,0,0,0,0,0.03945,0,0,0.00325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eggerthella",0,0.13959,0.00215,0,0.10197,1.34029,0,0,0.00511,0,0,0,0,0,0,0,0,0,0.05126,0.00391,0.02064,0,0,0,0.03077,0,0,0,0.79539,0,0.00709,0,0.07355,0.06202,0.16103,0.00058,0.01888,0,0.30353,0,0,0.11269,0.15026,0,0,0.32199,0.06523,0.01887,0,0.25094,0.04708,0,0.16789,0,0.17543,0.01933,0,0,0.008,0,0.34925,0.10803,0,0,0,0,0.04763,0.13497,0.24269,0,0.01511,0,0,0,0,0.05007,0.07542,0,0.00444,0
"Gordonibacter",0.70026,0.02304,0.00122,0,0.03659,0.36727,0,0,0.08224,0.04278,0,0,0,0,0,0,0,0,0.00517,0.00151,0,0,0,0,0.01048,0.00382,0,0.07444,0.78495,0,0.00919,0,0.01663,0.05747,0.03419,0,0.00253,0.02297,0.0837,0,0,0.0213,0.04262,0,0.00054,0.0694,0.00685,0.00347,0,0.03773,0.02477,0,0.02826,0,0.03985,0.00206,0,0,0.00854,0,0.06171,0.04916,0,0,0.01027,0,0.0091,0.12205,0.1981,0,0.00546,0.00054,0,0,0.03999,0.00876,0.04915,0.00135,0.00221,0
"Slackia",0,0,0.13094,0,0,0.05334,0,0.52359,0,0.04659,0.35046,0.80277,0,0.0718,0,0.00684,0.06202,0,0.87077,0.05032,0,0.15018,0.0463,0.47238,0.06918,0.42495,0.2212,0,0,0,0,0,0,0,0,0.09996,0,0,0,0.07722,0.00689,0,0,0.00541,0,0,0.07071,0,0.02944,0,0,0,0,0,0,0,0,0.02644,0,0,0,0,0,0,0,0,0,0,0,0.65392,0,0.02058,0.01148,0,0,0,0,0.31783,0.58573,0
"Bacteroides",0.31594,67.77627,1.75993,14.97084,13.58786,0.27941,6.0399,0.19566,3.80995,24.86358,7.58062,13.64691,16.55108,1.90706,3.82074,3.68552,21.65508,0.00029,11.63748,10.72817,15.3479,18.81662,12.44804,19.07988,17.48868,2.95767,26.18755,24.33118,4.51955,17.86974,9.34326,1.0001,16.36019,26.17069,20.95385,2.0622,16.0492,6.72893,27.08007,5.39608,7.72588,34.5299,10.6853,13.40267,35.00118,29.57608,39.11885,11.55198,11.18507,13.28406,17.09693,0,13.65678,0.0016,43.37755,1.72725,0,7.24853,44.14722,27.03219,27.3482,5.56307,9.57848,22.5729,22.82836,0,5.80235,4.26877,3.59139,13.75832,54.50952,16.35181,16.58188,10.92021,1.79854,8.82675,20.77306,9.21455,17.83763,1.81679
