"","MMRS11288076ST.27.0.0","MMRS11664448ST.27.0.0","MMRS11932626ST.27.0.0","MMRS12272136ST.27.0.0","MMRS14379078ST.27.0.0","MMRS14602194ST.27.0.0","MMRS15137911ST.27.0.0","MMRS16644320ST.27.0.0","MMRS17603756ST.27.0.0","MMRS17963147ST.27.0.0","MMRS18295921ST.27.0.0","MMRS20257302ST.27.0.0","MMRS21365932ST.27.0.0","MMRS24340226ST.27.0.0","MMRS25211151ST.27.0.0","MMRS25641480ST.27.0.0","MMRS29805707ST.27.0.0","MMRS31306426ST.27.0.0","MMRS32573774ST.27.0.0","MMRS33294861ST.27.0.0","MMRS34525504ST.27.0.0","MMRS34569532ST.27.0.0","MMRS35808664ST.27.0.0","MMRS36405092ST.27.0.0","MMRS38861560ST.27.0.0","MMRS38954404ST.27.0.0","MMRS39415781ST.27.0.0","MMRS39582183ST.27.0.0","MMRS40913371ST.27.0.0","MMRS41266697ST.27.0.0","MMRS41711735ST.27.0.0","MMRS42570301ST.27.0.0","MMRS42780924ST.27.0.0","MMRS43563715ST.27.0.0","MMRS43939546ST.27.0.0","MMRS44197125ST.27.0.0","MMRS44203591ST.27.0.0","MMRS44587603ST.27.0.0","MMRS47662059ST.27.0.0","MMRS47685461ST.27.0.0","MMRS48639115ST.27.0.0","MMRS51307502ST.27.0.0","MMRS51410669ST.27.0.0","MMRS51728985ST.27.0.0","MMRS51737257ST.27.0.0","MMRS54246132ST.27.0.0","MMRS54316675ST.27.0.0","MMRS55294627ST.27.0.0","MMRS56137463ST.27.0.0","MMRS57276462ST.27.0.0","MMRS57569834ST.27.0.0","MMRS59699117ST.27.0.0","MMRS61683006ST.27.0.0","MMRS62192467ST.27.0.0","MMRS62376181ST.27.0.0","MMRS62666492ST.27.0.0","MMRS64281211ST.27.0.0","MMRS64281551ST.27.0.0","MMRS65205033ST.27.0.0","MMRS65742083ST.27.0.0","MMRS65862658ST.27.0.0","MMRS65945127ST.27.0.0","MMRS66868025ST.27.0.0","MMRS67096717ST.27.0.0","MMRS67247116ST.27.0.0","MMRS67690541ST.27.0.0","MMRS68630931ST.27.0.0","MMRS68910755ST.27.0.0","MMRS71238091ST.27.0.0","MMRS71762412ST.27.0.0","MMRS72802364ST.27.0.0","MMRS72980899ST.27.0.0","MMRS73787048ST.27.0.0","MMRS77018926ST.27.0.0","MMRS77321055ST.27.0.0","MMRS77487595ST.27.0.0","MMRS78791111ST.27.0.0","MMRS79893829ST.27.0.0","MMRS80093644ST.27.0.0","MMRS81130264ST.27.0.0","MMRS81135225ST.27.0.0","MMRS81194191ST.27.0.0","MMRS81671217ST.27.0.0","MMRS84085284ST.27.0.0","MMRS84159866ST.27.0.0","MMRS84954772ST.27.0.0","MMRS85382779ST.27.0.0","MMRS85438660ST.27.0.0","MMRS85548821ST.27.0.0","MMRS86168210ST.27.0.0","MMRS86178473ST.27.0.0","MMRS86958796ST.27.0.0","MMRS87723283ST.27.0.0","MMRS88581325ST.27.0.0","MMRS90191266ST.27.0.0","MMRS91297590ST.27.0.0","MMRS92544445ST.27.0.0","MMRS92546335ST.27.0.0","MMRS92727331ST.27.0.0","MMRS93508324ST.27.0.0","MMRS93621581ST.27.0.0","MMRS94549160ST.27.0.0","MMRS95277876ST.27.0.0","MMRS95479054ST.27.0.0","MMRS95674036ST.27.0.0","MMRS96422329ST.27.0.0","MMRS97052561ST.27.0.0","MMRS97307143ST.27.0.0","MMRS97327636ST.27.0.0","MMRS99045180ST.27.0.0"
"Actinomycetia",0.0034,0.00589,1.17084,0.12225,0.69501,0.00634,0.08395,2.8975,0.03129,0.00418,0.42715,0.0487,0.12208,0.00749,0.05412,1.72626,0.19823,0.06126,0.04601,1.12727,0.23787,0.25756,0.03924,6.30171,1.48433,0.20144,0.01158,0.79565,0.48934,0.00181,0.68349,0.03685,0.03734,0.73518,0.00884,3.95501,0.28409,0.18572,0.04788,0.44507,0.88274,0.37395,1.23286,0.86404,0,0.09867,2.08237,8.10244,0.2682,0.03294,0.30172,0.0012,0.00125,0.10117,0.26642,0.21596,0,0.01158,1.57202,0.02413,0.03357,0.01848,0.02822,28.49699,1.35821,0.02163,0.48563,0,0.04762,0.01346,0.01698,2.03934,1.61557,0.01954,0.79191,0.11448,0.23901,0.01125,0.14166,1.56706,0.06777,0,0.01689,1.94296,0.16254,0.00088,0.15676,0.00503,0.01847,0.00775,0.08544,3.36753,0.00172,9.55452,4.2867,0.00621,0.69795,5.84754,0.08073,3.70237,0.00262,2.26894,2.68483,1.24547,0.41161,1.07247,0.0642,10.52705,0.00031,0
"Coriobacteriia",0.69619,0.46475,1.2306,0.499,0.52249,0.4666,1.1569,2.12355,1.0822,0.54446,1.03055,1.4159,0.5021,0.59311,0.14983,1.75102,0.12009,1.14814,0.97566,0.37703,0.71662,1.85004,0.1446,0.71647,0.85324,0.18447,1.24182,0.49509,2.50595,0.16563,0.53849,2.08787,0.42664,1.03741,2.78029,1.49427,0.4867,1.7611,0.44925,0.15966,1.00787,3.39786,1.34013,0.02238,0.48,2.26785,1.46562,0.17043,1.87681,1.32153,2.47723,0.17228,1.52161,1.30914,1.22702,0.64177,0.16341,0.90156,1.43812,0.13747,0.64517,1.10299,5.27333,3.96734,0.66626,1.03588,1.24382,0.19723,2.11081,0.86674,0.73591,2.92757,0.90054,6.64358,0.69055,0.98922,2.57432,0.07903,5.80903,0.31169,0.4178,1.39087,1.07848,3.17627,0.58954,0.46026,0.98622,0.17528,2.06095,4.49083,0.37991,0.82657,0.72417,2.08062,0.37885,0.7577,0.13222,0.1116,4.7584,0.59533,0.5243,0.97228,1.63381,1.77378,1.08827,1.79241,1.87566,4.93821,1.17716,0.28831
"Saccharomycetes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00339,0,0,0,0,0,0,0,0,0,0
"Bacteroidia",46.16691,42.28582,42.05116,55.7392,40.13785,42.3287,39.3441,39.1672,76.5906,53.37073,61.30799,41.53782,50.16396,64.63058,55.63458,38.80344,42.1154,82.82156,39.81339,62.16006,70.8927,41.4193,62.61229,26.00541,38.40952,45.14015,55.20605,34.3812,50.91208,65.9137,38.533,55.0546,76.17386,52.22102,30.98545,57.60778,86.01966,43.50072,41.81233,62.34482,29.1871,34.91786,31.51597,0.29755,40.3208,64.28576,55.73574,61.8093,63.4655,27.97223,72.74844,75.34384,70.17432,47.60751,55.70055,50.78823,75.65016,72.39754,47.64168,32.25947,33.64183,0.11945,31.12615,30.0266,52.30272,31.8149,55.03091,78.38494,54.85455,56.6269,55.33706,49.47722,26.44372,25.5297,35.85642,21.60843,51.63294,43.90104,43.13645,58.32337,73.28921,74.53371,35.27531,64.25398,22.56435,64.45568,39.39916,64.40936,59.86698,20.44549,30.01115,45.61871,63.06062,28.19122,40.09997,46.1313,67.10161,74.46909,51.92541,48.09466,48.21608,26.92345,19.0636,33.38786,74.08481,41.98558,72.12626,35.71276,47.21239,63.76728
"Thermoplasmata",0,0,0,0,0,0,1.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91552,0,0,0,0,0,0,0,0.09003,0
"Methanobacteria",0,0.05009,0,0.00221,0,0.00058,3.39812,0,0,0.13338,0,0.88116,0.39729,0,0,4.64882,0,0,0.32069,0,0.18862,1.12579,0.01469,0,0,2.75236,0,0.03172,0,0,0,0,0,0.05547,0,0,0,0,0.4861,0,0,0.1614,0.2375,0,0.68604,0.01197,1.21133,0,0,0.41986,0,0,0,0,0,0.21937,0,0,0.00858,0.03554,0.26687,0,0,0,0.00142,0.29751,0,0,0,0.90192,0.00794,1.12226,0,0.02557,0.00592,1.52852,0,0,19.18022,0,0,0,0.03643,0,1.95705,0.21921,0,0,0.03036,0.02388,0,0,0,1.837,0.50711,0,0,0,0,0.30245,2.90989,0.42637,1.45428,0,0,0,0.41988,0,2.6477,0
"Bacilli",1.10607,0.27631,0.07515,0.09359,0.28346,0.15476,0.8851,7.37642,2.81858,0.62352,0.62255,0.25756,0.64107,0.4639,0.34156,0.08314,1.05652,0.03117,0.71101,0.05765,0.37298,0.03208,3.02515,0.18599,0.10908,0.23954,0.16814,0.09482,0.22741,0.04537,0.27591,0.3297,0.04244,0.37848,0.15443,0.54773,0.03477,5.05412,0.21748,0.01308,0.42047,0,0.38294,55.69143,0.00743,0.25723,0.88987,0.0687,0.43828,1.54805,0.79219,0.02392,0.06492,0.57779,1.32964,0.51078,0.96184,0.08529,7.18223,0.10878,4.3348,0.3051,0.00184,0.1398,0.23859,0.82474,0.10717,0.02675,0.33751,0.25488,0.09188,0.48915,0.1326,0.01698,1.274,0.03498,0.1714,0.01219,0.57634,1.42179,0.01774,0.16222,0.17956,0.48063,0.08124,0.02271,0.15498,0.22635,0.30932,0,1.40468,1.71578,0.00548,0.06211,0.26115,0.11407,0.05867,0.31248,0.01956,0.50817,0.24178,0.89668,0.80643,0.26212,2.30075,0.28754,0.47668,0.00397,0.0625,0.0126
"Clostridia",49.67086,53.3724,47.41068,40.6652,55.70328,53.08234,35.53011,43.57904,14.54375,42.12222,33.02729,40.80194,45.20235,28.33306,34.19979,45.68111,53.61164,12.49123,52.31018,33.35286,22.51335,50.1544,19.81939,65.29645,56.21504,45.82056,39.00739,62.25431,37.69162,23.13821,27.93351,37.59251,18.00611,42.72894,59.70894,21.97634,11.08537,41.11221,35.69738,35.01849,66.88641,34.86522,61.08739,0.6531,52.96311,28.38249,30.85293,21.19185,31.00829,61.67327,19.46204,22.36143,24.47481,31.09091,38.86517,43.62353,10.56134,22.40325,33.31652,48.55322,55.93804,87.62965,57.69806,27.47285,39.41638,62.8716,41.32995,16.95604,36.94145,35.36881,30.89807,22.2927,67.69769,61.39932,56.54219,63.00426,40.65334,49.18021,20.07875,32.72995,21.52436,20.40761,58.8017,25.08958,70.57556,31.71799,52.36221,25.17069,33.25173,47.82398,63.27806,40.92116,31.21748,51.08556,50.26931,46.85675,21.8007,17.21463,36.23588,40.43374,40.78296,57.28221,54.46863,60.12483,15.13849,47.9135,22.89002,46.74522,39.71068,31.88052
"Erysipelotrichia",0.06759,0.26398,0.73241,0.19095,0.2659,0.15478,4.6945,0.09941,0.15445,0.23962,0.08616,6.44988,0.12549,0.84598,0.5231,0.32014,0.13442,0.1258,0.17412,0.01422,0.97982,1.12325,0.06471,0.16251,0.48231,0.21481,1.22594,0.06776,2.43293,0.10964,0.09191,0.3682,0.83753,0.04932,1.80381,7.7217,0.20992,0.15584,0.15553,0.43344,0.24336,0.10346,0.92525,5.86117,0.65552,0.27072,0.34908,0.99514,0.13472,2.16874,0.21271,0.8397,1.00057,5.73777,0.45644,0.11631,1.45598,0.89798,0.82522,0.01012,0.12458,1.78177,0.15917,3.45535,1.75325,0.53807,0.12946,1.81549,0.57099,0.12626,3.72747,2.28881,0.27064,0.03345,0.53657,1.64075,0.88128,0.05845,4.68213,0.20941,1.84587,0.66989,1.2436,2.11131,0.9935,1.0809,0.52058,6.28012,1.68466,0.04895,0.28367,0.12641,0.11933,0.61158,1.50809,2.04865,0.24972,1.0493,0.11164,0.17848,0.68906,0.19103,0.67082,0.07,0.63902,0.08138,0.02984,0.11477,5.95707,0.24612
"Negativicutes",0.34751,0.33009,0,1.94123,1.39815,1.48091,0.58689,2.80663,4.49512,1.44887,2.74007,1.87392,0.26493,4.54221,1.47948,4.06814,0.62864,0.90441,1.41464,0.07507,3.16465,1.13197,1.02673,0.29586,0.20656,0.94296,1.89182,0.25973,3.13032,0.59976,0.36659,0.00324,1.93057,2.40431,1.17143,0.53635,0.48604,4.47712,1.71717,1.15722,0.70209,2.59795,1.31413,2.77327,2.44514,2.38326,3.61552,4.24316,0.72312,3.68182,1.42579,0.51518,0.02395,0.8543,1.36701,0.53999,2.13169,1.55529,6.39982,0.79342,3.51884,0.6281,2.26042,0.52644,3.07924,0.24467,0.9284,1.03268,0.00043,0.7542,3.51565,11.01408,0.41101,1.88147,2.73639,1.70954,3.70377,0.95936,0.23635,1.18714,2.49197,1.38258,2.60647,0.74722,1.42258,1.10602,1.95769,3.4598,0.91687,6.31201,0.83622,2.42943,2.09231,2.71523,1.96273,1.57315,1.81718,0.54566,0.49433,2.38733,3.02466,0.63302,2.83012,1.4885,3.21298,1.05721,0.15659,0.0566,0.08234,1.74533
