"","MMRS11288076ST.27.0.0","MMRS11664448ST.27.0.0","MMRS11932626ST.27.0.0","MMRS12272136ST.27.0.0","MMRS14379078ST.27.0.0","MMRS14602194ST.27.0.0","MMRS15137911ST.27.0.0","MMRS16644320ST.27.0.0","MMRS17603756ST.27.0.0","MMRS17963147ST.27.0.0","MMRS18295921ST.27.0.0","MMRS20257302ST.27.0.0","MMRS21365932ST.27.0.0","MMRS24340226ST.27.0.0","MMRS25211151ST.27.0.0","MMRS25641480ST.27.0.0","MMRS29805707ST.27.0.0","MMRS31306426ST.27.0.0","MMRS32573774ST.27.0.0","MMRS33294861ST.27.0.0","MMRS34525504ST.27.0.0","MMRS34569532ST.27.0.0","MMRS35808664ST.27.0.0","MMRS36405092ST.27.0.0","MMRS38861560ST.27.0.0","MMRS38954404ST.27.0.0","MMRS39415781ST.27.0.0","MMRS39582183ST.27.0.0","MMRS40913371ST.27.0.0","MMRS41266697ST.27.0.0","MMRS41711735ST.27.0.0","MMRS42570301ST.27.0.0","MMRS42780924ST.27.0.0","MMRS43563715ST.27.0.0","MMRS43939546ST.27.0.0","MMRS44197125ST.27.0.0","MMRS44203591ST.27.0.0","MMRS44587603ST.27.0.0","MMRS47662059ST.27.0.0","MMRS47685461ST.27.0.0","MMRS48639115ST.27.0.0","MMRS51307502ST.27.0.0","MMRS51410669ST.27.0.0","MMRS51728985ST.27.0.0","MMRS51737257ST.27.0.0","MMRS54246132ST.27.0.0","MMRS54316675ST.27.0.0","MMRS55294627ST.27.0.0","MMRS56137463ST.27.0.0","MMRS57276462ST.27.0.0","MMRS57569834ST.27.0.0","MMRS59699117ST.27.0.0","MMRS61683006ST.27.0.0","MMRS62192467ST.27.0.0","MMRS62376181ST.27.0.0","MMRS62666492ST.27.0.0","MMRS64281211ST.27.0.0","MMRS64281551ST.27.0.0","MMRS65205033ST.27.0.0","MMRS65742083ST.27.0.0","MMRS65862658ST.27.0.0","MMRS65945127ST.27.0.0","MMRS66868025ST.27.0.0","MMRS67096717ST.27.0.0","MMRS67247116ST.27.0.0","MMRS67690541ST.27.0.0","MMRS68630931ST.27.0.0","MMRS68910755ST.27.0.0","MMRS71238091ST.27.0.0","MMRS71762412ST.27.0.0","MMRS72802364ST.27.0.0","MMRS72980899ST.27.0.0","MMRS73787048ST.27.0.0","MMRS77018926ST.27.0.0","MMRS77321055ST.27.0.0","MMRS77487595ST.27.0.0","MMRS78791111ST.27.0.0","MMRS79893829ST.27.0.0","MMRS80093644ST.27.0.0","MMRS81130264ST.27.0.0","MMRS81135225ST.27.0.0","MMRS81194191ST.27.0.0","MMRS81671217ST.27.0.0","MMRS84085284ST.27.0.0","MMRS84159866ST.27.0.0","MMRS84954772ST.27.0.0","MMRS85382779ST.27.0.0","MMRS85438660ST.27.0.0","MMRS85548821ST.27.0.0","MMRS86168210ST.27.0.0","MMRS86178473ST.27.0.0","MMRS86958796ST.27.0.0","MMRS87723283ST.27.0.0","MMRS88581325ST.27.0.0","MMRS90191266ST.27.0.0","MMRS91297590ST.27.0.0","MMRS92544445ST.27.0.0","MMRS92546335ST.27.0.0","MMRS92727331ST.27.0.0","MMRS93508324ST.27.0.0","MMRS93621581ST.27.0.0","MMRS94549160ST.27.0.0","MMRS95277876ST.27.0.0","MMRS95479054ST.27.0.0","MMRS95674036ST.27.0.0","MMRS96422329ST.27.0.0","MMRS97052561ST.27.0.0","MMRS97307143ST.27.0.0","MMRS97327636ST.27.0.0","MMRS99045180ST.27.0.0"
"Actinomyces",0.0034,0.004,0,0.00124,0.00992,0.00415,0.03786,0,0.00105,0.00418,0.03937,0,0.00022,0.00345,0.0025,0.005,0,0,0,0.00196,0,0,9e-04,0,8e-04,0,0.01145,0,0,0,0,0,0.00406,0.01158,0.00794,0,0,0.02433,0.00588,0,0.02591,0,0,0.52535,0,0.00567,0.00017,0,0,0.00266,0,0.0012,0,0.08228,0.03062,0,0,0,0.10535,0,0.00619,0.01747,0.0097,0,0,0.01257,0,0,0.0018,0,0.00515,0.10729,0,0.00479,0,0,0.00115,0.00267,0.06115,0.00398,0.00073,0,0,0.00065,4e-04,0.00088,0,0.00272,0.00873,0,0,0.00551,0,0,0,0.0022,0,0,0.00946,0.00075,0.00047,0,0,0,0.00915,0,0,0,0.00031,0
"Fannyhessea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Schaalia",0,0.00127,0,0.00013,0.0031,0.00191,0.01668,0,0,0,0.00872,0,0,0.00278,0.00203,0,0,0,0.00377,0,0,0,0,0,0.00118,0,0.00013,0,9e-05,0.00181,0,0.00191,0.0029,0.00501,9e-04,0.00209,0,0.00775,0,0,0.0053,0.00857,0,0,0,0.03155,0.00173,0,0.00038,0.00344,0,0,0.00125,0.00668,0.00139,0,0,0,0.03004,0,0.00701,0.00101,0.00713,0.01331,0,0.0081,0,0,0.00096,0,0,0.00393,0,0,0.00147,0,0,0,0.01026,0.00046,0.00054,0,0.00256,0.00462,0.00227,0,0,0.00231,0,0,0.00661,0,0,0,0,0,0.00125,0,0,0,0.00215,0,0,0,0.00868,0.00468,0.03384,0.00381,0,0
"Aeriscardovia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02251,0.00065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00182,0,0,0.00226,0.00271,0,0,0,0.00153,0,0
"Alloscardovia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01083,0,0,0,0,0,0,0,0,0,0,0.00198,0,0,0,0,0,0,0,0,0,0,0.0025,0,0,0,0,0,0,0,0.00582,0,0,0,0,0,0,0,0,0,0,0,0,0.00172,0,0,0,0,0.00981,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium",0,0,1.17084,0.12088,0.68199,0.00028,0.02941,2.88884,0.00505,0,0.34604,0.0487,0.1061,0.00126,0.04959,1.69341,0.19781,0.06126,0.03731,1.12531,0.23787,0.25756,0.03834,6.30057,1.48235,0.20144,0,0.79565,0.48925,0,0.66971,0.03389,0.03038,0.70866,0,3.95292,0.28409,0.08036,0.042,0.44507,0.85153,0.34357,1.23286,0.12856,0,0.06145,2.07896,8.10244,0.26782,0.01139,0.29964,0,0,0,0.21732,0.21596,0,0.00442,1.41047,0.01402,0.01228,0,8e-04,28.46117,1.35756,0,0.48563,0,0.04312,0.01346,0.01161,1.9255,1.61557,0.00488,0.79044,0.11448,0.23491,0.00858,0.06626,1.5568,0.0665,0,0.01433,1.93769,0.15651,0,0.15676,0,0.00899,0.00264,0.07765,3.35786,0,9.55452,4.2867,0.00401,0.6967,5.83491,0.07127,3.69473,0,2.26894,2.68257,1.24276,0.36787,1.06779,0.02986,10.52171,0,0
"Gardnerella",0,0,0,0,0,0,0,0,0.00158,0,0,0,0,0,0,0.0156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parascardovia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scardovia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00204,0,0,0,0,0,0,0,0,0,0.00075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corynebacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
