"","MMRS11288076ST.27.0.0","MMRS11664448ST.27.0.0","MMRS11932626ST.27.0.0","MMRS12272136ST.27.0.0","MMRS14379078ST.27.0.0","MMRS14602194ST.27.0.0","MMRS15137911ST.27.0.0","MMRS16644320ST.27.0.0","MMRS17603756ST.27.0.0","MMRS17963147ST.27.0.0","MMRS18295921ST.27.0.0","MMRS20257302ST.27.0.0","MMRS21365932ST.27.0.0","MMRS24340226ST.27.0.0","MMRS25211151ST.27.0.0","MMRS25641480ST.27.0.0","MMRS29805707ST.27.0.0","MMRS31306426ST.27.0.0","MMRS32573774ST.27.0.0","MMRS33294861ST.27.0.0","MMRS34525504ST.27.0.0","MMRS34569532ST.27.0.0","MMRS35808664ST.27.0.0","MMRS36405092ST.27.0.0","MMRS38861560ST.27.0.0","MMRS38954404ST.27.0.0","MMRS39415781ST.27.0.0","MMRS39582183ST.27.0.0","MMRS40913371ST.27.0.0","MMRS41266697ST.27.0.0","MMRS41711735ST.27.0.0","MMRS42570301ST.27.0.0","MMRS42780924ST.27.0.0","MMRS43563715ST.27.0.0","MMRS43939546ST.27.0.0","MMRS44197125ST.27.0.0","MMRS44203591ST.27.0.0","MMRS44587603ST.27.0.0","MMRS47662059ST.27.0.0","MMRS47685461ST.27.0.0","MMRS48639115ST.27.0.0","MMRS51307502ST.27.0.0","MMRS51410669ST.27.0.0","MMRS51728985ST.27.0.0","MMRS51737257ST.27.0.0","MMRS54246132ST.27.0.0","MMRS54316675ST.27.0.0","MMRS55294627ST.27.0.0","MMRS56137463ST.27.0.0","MMRS57276462ST.27.0.0","MMRS57569834ST.27.0.0","MMRS59699117ST.27.0.0","MMRS61683006ST.27.0.0","MMRS62192467ST.27.0.0","MMRS62376181ST.27.0.0","MMRS62666492ST.27.0.0","MMRS64281211ST.27.0.0","MMRS64281551ST.27.0.0","MMRS65205033ST.27.0.0","MMRS65742083ST.27.0.0","MMRS65862658ST.27.0.0","MMRS65945127ST.27.0.0","MMRS66868025ST.27.0.0","MMRS67096717ST.27.0.0","MMRS67247116ST.27.0.0","MMRS67690541ST.27.0.0","MMRS68630931ST.27.0.0","MMRS68910755ST.27.0.0","MMRS71238091ST.27.0.0","MMRS71762412ST.27.0.0","MMRS72802364ST.27.0.0","MMRS72980899ST.27.0.0","MMRS73787048ST.27.0.0","MMRS77018926ST.27.0.0","MMRS77321055ST.27.0.0","MMRS77487595ST.27.0.0","MMRS78791111ST.27.0.0","MMRS79893829ST.27.0.0","MMRS80093644ST.27.0.0","MMRS81130264ST.27.0.0","MMRS81135225ST.27.0.0","MMRS81194191ST.27.0.0","MMRS81671217ST.27.0.0","MMRS84085284ST.27.0.0","MMRS84159866ST.27.0.0","MMRS84954772ST.27.0.0","MMRS85382779ST.27.0.0","MMRS85438660ST.27.0.0","MMRS85548821ST.27.0.0","MMRS86168210ST.27.0.0","MMRS86178473ST.27.0.0","MMRS86958796ST.27.0.0","MMRS87723283ST.27.0.0","MMRS88581325ST.27.0.0","MMRS90191266ST.27.0.0","MMRS91297590ST.27.0.0","MMRS92544445ST.27.0.0","MMRS92546335ST.27.0.0","MMRS92727331ST.27.0.0","MMRS93508324ST.27.0.0","MMRS93621581ST.27.0.0","MMRS94549160ST.27.0.0","MMRS95277876ST.27.0.0","MMRS95479054ST.27.0.0","MMRS95674036ST.27.0.0","MMRS96422329ST.27.0.0","MMRS97052561ST.27.0.0","MMRS97307143ST.27.0.0","MMRS97327636ST.27.0.0","MMRS99045180ST.27.0.0"
"Actinomycetales",0.0034,0.00527,0,0.00137,0.01302,0.00606,0.05454,0,0.00105,0.00418,0.04809,0,0.00022,0.00623,0.00453,0.01725,0,0,0.00377,0.00196,0,0,9e-04,0,0.00198,0,0.01158,0,9e-05,0.00181,0,0.00191,0.00696,0.01659,0.00884,0.00209,0,0.03375,0.00588,0,0.03121,0.00857,0,0.52535,0,0.03722,0.0019,0,0.00038,0.0061,0,0.0012,0.00125,0.08896,0.03201,0,0,0,0.13539,0,0.0132,0.01848,0.01683,0.01331,0,0.02067,0,0,0.00276,0,0.00515,0.11122,0,0.00479,0.00147,0,0.00115,0.00267,0.07141,0.00444,0.00127,0,0.00256,0.00527,0.00267,0.00088,0,0.00503,0.00873,0,0.00661,0.00551,0,0,0,0.0022,0.00125,0,0.00946,0.00075,0.00262,0,0,0,0.01783,0.00468,0.03384,0.00381,0.00031,0
"Bifidobacteriales",0,0,1.17084,0.12088,0.68199,0.00028,0.02941,2.88884,0.00663,0,0.34604,0.0487,0.1061,0.00126,0.04959,1.70901,0.19781,0.06126,0.03731,1.12531,0.23787,0.25756,0.03834,6.30171,1.48235,0.20144,0,0.79565,0.48925,0,0.66971,0.03389,0.03038,0.70866,0,3.95292,0.28409,0.08036,0.042,0.44507,0.85153,0.34357,1.23286,0.12856,0,0.06145,2.08047,8.10244,0.26782,0.02222,0.29964,0,0,0,0.21732,0.21596,0,0.00442,1.41047,0.01402,0.01426,0,8e-04,28.48368,1.35821,0,0.48563,0,0.04312,0.01346,0.01161,1.928,1.61557,0.01475,0.79044,0.11448,0.23491,0.00858,0.0683,1.56262,0.0665,0,0.01433,1.93769,0.15651,0,0.15676,0,0.00974,0.00264,0.07765,3.35786,0.00172,9.55452,4.2867,0.00401,0.6967,5.84472,0.07127,3.69655,0,2.26894,2.68483,1.24547,0.36787,1.06779,0.02986,10.52324,0,0
"Corynebacteriales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00022,0,0,0,0,0,0,0,0.00195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Micrococcales",0,0.00062,0,0,0,0,0,0.00866,0.02361,0,0.03302,0,0.01576,0,0,0,0.00042,0,0.00493,0,0,0,0,0,0,0,0,0,0,0,0.01378,0.00105,0,0.00993,0,0,0,0.07161,0,0,0,0.02181,0,0.21013,0,0,0,0,0,0.00462,0.00208,0,0,0.01221,0.01709,0,0,0,0.02616,0.01011,0.00611,0,0.01059,0,0,0.00096,0,0,0.00174,0,0,0.00012,0,0,0,0,0.00295,0,0,0,0,0,0,0,0.00203,0,0,0,0,0.00047,0,0.00416,0,0,0,0,0,0.00282,0,0.00507,0,0,0,0,0.02591,0,5e-04,0,0,0
"Propionibacteriales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00133,0,0,0,0,0.00464,0.00118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coriobacteriales",0.54337,0.36285,0.94397,0.42048,0.28667,0.19104,0.0141,2.06616,0.81318,0.43642,0.78726,1.14296,0.1749,0.37556,0,1.5581,0.00037,1.11875,0.88951,0.20485,0.50283,1.24234,0.13868,0,0.68436,0.13982,0.64373,0.48724,0.95349,0,0,1.69382,0.37965,0.93294,2.32669,0.966,0.43252,1.35239,0.37745,0,0.54833,0.41027,1.29049,0.02238,0.29217,1.80864,1.34785,0,1.76401,1.16865,2.297,0,1.15645,0.89298,0.86512,0.45784,0,0.7969,1.35199,0.02693,0.22233,0.0101,4.12568,3.35731,0.64759,0.79839,1.1864,0.12164,1.72962,0.78696,0.48809,2.27394,0.0032,5.95326,0.00045,0.8886,2.01462,0,3.76021,0.00339,0.37743,0.85525,1.00592,2.58107,0.56484,0.32097,0.88648,0,1.85183,3.1023,0.00446,0.59825,0.65674,1.98408,0.30476,0.00143,0,0.0379,0.01225,0.53584,0.39971,0.86277,1.43912,1.71606,1.03817,1.31733,1.68127,3.13026,0.00103,0
"Eggerthellales",0.15282,0.1019,0.28663,0.07852,0.23582,0.27556,1.1428,0.05739,0.26902,0.10804,0.24329,0.27294,0.3272,0.21755,0.14983,0.19292,0.11972,0.02939,0.08615,0.17218,0.21379,0.6077,0.00592,0.71647,0.16888,0.04465,0.59809,0.00785,1.55246,0.16563,0.53849,0.39405,0.04699,0.10447,0.4536,0.52827,0.05418,0.40871,0.0718,0.15966,0.45954,2.98759,0.04964,0,0.18783,0.45921,0.11777,0.17043,0.1128,0.15288,0.18023,0.17228,0.36516,0.41616,0.3619,0.18393,0.16341,0.10466,0.08613,0.11054,0.42284,1.09289,1.14765,0.61003,0.01867,0.23749,0.05742,0.07559,0.38119,0.07978,0.24782,0.65363,0.89734,0.69032,0.6901,0.10062,0.5597,0.07903,2.04882,0.3083,0.04037,0.53562,0.07256,0.5952,0.0247,0.13929,0.09974,0.17528,0.20912,1.38853,0.37545,0.22832,0.06743,0.09654,0.07409,0.75627,0.13222,0.0737,4.74615,0.05949,0.12459,0.10951,0.19469,0.05772,0.0501,0.47508,0.19439,1.80795,1.17613,0.28831
"Saccharomycetales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00339,0,0,0,0,0,0,0,0,0,0
"Bacteroidales",46.16691,42.28582,42.05116,55.7392,40.13785,42.3287,39.3441,39.1672,76.5906,53.37073,61.30799,41.53782,50.16396,64.63058,55.63458,38.80344,42.1154,82.82156,39.81339,62.16006,70.8927,41.4193,62.61229,26.00541,38.40952,45.14015,55.20605,34.3812,50.91208,65.9137,38.533,55.0546,76.17386,52.22102,30.98545,57.60778,86.01966,43.50072,41.81233,62.34482,29.1871,34.91786,31.51597,0.29755,40.3208,64.28576,55.73574,61.8093,63.4655,27.97223,72.74844,75.34384,70.17432,47.60751,55.70055,50.78823,75.65016,72.39754,47.64168,32.25947,33.64183,0.11945,31.12615,30.0266,52.30272,31.8149,55.03091,78.38494,54.85455,56.6269,55.33706,49.47722,26.44372,25.5297,35.85642,21.60843,51.63294,43.90104,43.13645,58.32337,73.28921,74.53371,35.27531,64.25398,22.56435,64.45568,39.39916,64.40936,59.86698,20.44549,30.01115,45.61871,63.06062,28.19122,40.09997,46.1313,67.10161,74.46909,51.92541,48.09466,48.21608,26.92345,19.0636,33.38786,74.08481,41.98558,72.12626,35.71276,47.21239,63.76728
"Candidatus Gastranaerophilales",0,0,0,0,0,0,0,0,0,0.13417,0,0,0,0,0,0,0,0,0.00478,0,0,0.02282,0,0,0,0,0,0.03877,0,0,0,0,0,0.07698,0,0,0,0,0,0,0,0.00765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099,0,0,0,0,0,0,0,0,0
"Methanomassiliicoccales",0,0,0,0,0,0,1.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91552,0,0,0,0,0,0,0,0.09003,0
"Methanobacteriales",0,0.05009,0,0.00221,0,0.00058,3.39812,0,0,0.13338,0,0.88116,0.39729,0,0,4.64882,0,0,0.32069,0,0.18862,1.12579,0.01469,0,0,2.75236,0,0.03172,0,0,0,0,0,0.05547,0,0,0,0,0.4861,0,0,0.1614,0.2375,0,0.68604,0.01197,1.21133,0,0,0.41986,0,0,0,0,0,0.21937,0,0,0.00858,0.03554,0.26687,0,0,0,0.00142,0.29751,0,0,0,0.90192,0.00794,1.12226,0,0.02557,0.00592,1.52852,0,0,19.18022,0,0,0,0.03643,0,1.95705,0.21921,0,0,0.03036,0.02388,0,0,0,1.837,0.50711,0,0,0,0,0.30245,2.90989,0.42637,1.45428,0,0,0,0.41988,0,2.6477,0
"Bacillales",0.00133,0.01602,0,0,0.00937,0.00348,0.03173,0.01331,0,0,0.02014,0,0,0.00311,0.01098,0,0.00653,0.00696,0.02004,0,0,0,0.0043,0.0067,0,0,0.00255,0,0,0,0,0,0.0082,0,0.00168,0.38103,0,0.00941,0.00176,0,0.01475,0,0,0.06365,0,0,0.07485,0,0,0.01102,0,0,0.00448,0.11565,0.00793,0,0,0,0.97942,0.00287,0.01451,0.00388,0,0.01494,0.00062,0.05108,0.01014,0,0,0,0.00308,0.03697,0,0,0.00863,0,0,0,0.02616,0.00976,0,0.05226,0.00469,0.0063,0.00603,0.00174,0,0,0,0,0.01704,0,0,0.00553,0,0,0,0,0,0.00343,0,0,0,0,0.02603,0.00109,0.30808,0,0.00304,0.00211
"Lactobacillales",1.10474,0.26029,0.07515,0.09359,0.27409,0.15128,0.85337,7.36311,2.81858,0.62352,0.60241,0.25756,0.64107,0.46079,0.33058,0.08314,1.04999,0.02421,0.69097,0.05765,0.37298,0.03208,3.02085,0.17929,0.10908,0.23954,0.16559,0.09482,0.22741,0.04537,0.27591,0.3297,0.03424,0.37848,0.15275,0.1667,0.03477,5.04471,0.21572,0.01308,0.40572,0,0.38294,55.62778,0.00743,0.25723,0.81502,0.0687,0.43828,1.53703,0.79219,0.02392,0.06044,0.46214,1.32171,0.51078,0.96184,0.08529,6.20281,0.10591,4.32029,0.30122,0.00184,0.12486,0.23797,0.77366,0.09703,0.02675,0.33751,0.25488,0.0888,0.45218,0.1326,0.01698,1.26537,0.03498,0.1714,0.01219,0.55018,1.41203,0.01774,0.10996,0.17487,0.47433,0.07521,0.02097,0.15498,0.22635,0.30932,0,1.38764,1.71578,0.00548,0.05658,0.26115,0.11407,0.05867,0.31248,0.01956,0.50474,0.24178,0.89668,0.80643,0.26212,2.27472,0.28645,0.1686,0.00397,0.05946,0.01049
"Eubacteriales",49.67086,53.3724,47.41068,40.6652,55.70328,53.08234,35.53011,43.57904,14.54375,42.12222,33.02729,40.80194,45.20235,28.33306,34.19979,45.68111,53.61164,12.49123,52.31018,33.35286,22.51335,50.1544,19.81939,65.29645,56.21504,45.82056,39.00739,62.25431,37.69162,23.13821,27.93351,37.59251,18.00611,42.72894,59.70894,21.97634,11.08537,41.11221,35.69738,35.01849,66.88641,34.86522,61.08739,0.6531,52.96311,28.38249,30.85293,21.19185,31.00829,61.67327,19.46204,22.36143,24.47481,31.09091,38.86517,43.62353,10.56134,22.40325,33.31652,48.55322,55.93804,87.62965,57.69806,27.47285,39.41638,62.8716,41.32995,16.95604,36.94145,35.36881,30.89807,22.2927,67.69769,61.39932,56.54219,63.00426,40.65334,49.18021,20.07875,32.72995,21.52436,20.40761,58.8017,25.08958,70.57556,31.71799,52.36221,25.17069,33.25173,47.82398,63.27806,40.92116,31.21748,51.08556,50.26931,46.85675,21.8007,17.21463,36.23588,40.43374,40.78296,57.28221,54.46863,60.12483,15.13849,47.9135,22.89002,46.74522,39.71068,31.88052
"Erysipelotrichales",0.06759,0.26398,0.73241,0.19095,0.2659,0.15478,4.6945,0.09941,0.15445,0.23962,0.08616,6.44988,0.12549,0.84598,0.5231,0.32014,0.13442,0.1258,0.17412,0.01422,0.97982,1.12325,0.06471,0.16251,0.48231,0.21481,1.22594,0.06776,2.43293,0.10964,0.09191,0.3682,0.83753,0.04932,1.80381,7.7217,0.20992,0.15584,0.15553,0.43344,0.24336,0.10346,0.92525,5.86117,0.65552,0.27072,0.34908,0.99514,0.13472,2.16874,0.21271,0.8397,1.00057,5.73777,0.45644,0.11631,1.45598,0.89798,0.82522,0.01012,0.12458,1.78177,0.15917,3.45535,1.75325,0.53807,0.12946,1.81549,0.57099,0.12626,3.72747,2.28881,0.27064,0.03345,0.53657,1.64075,0.88128,0.05845,4.68213,0.20941,1.84587,0.66989,1.2436,2.11131,0.9935,1.0809,0.52058,6.28012,1.68466,0.04895,0.28367,0.12641,0.11933,0.61158,1.50809,2.04865,0.24972,1.0493,0.11164,0.17848,0.68906,0.19103,0.67082,0.07,0.63902,0.08138,0.02984,0.11477,5.95707,0.24612
"Acidaminococcales",0.17982,0.00062,0,1.94123,0.95122,1.48091,0.53824,2.43293,4.39493,1.33005,2.43773,1.87392,0,4.50226,1.46457,4.06814,0.62822,0.79196,1.00576,0,3.11139,1.13197,0.32901,0.00441,0.03551,0.94296,1.10047,0.03845,3.1273,0.59976,0.12064,0.00115,1.93057,2.35052,1.06935,0.41134,0.4717,4.35206,1.67294,1.15722,0.51013,2.59795,1.31413,0,2.44514,2.35363,3.22414,4.24316,0.70473,2.96416,0.37901,0.51518,0.02395,0.83067,1.35163,0.22757,1.23346,1.52897,4.43894,0.51519,2.10131,0,2.26042,0.40727,3.07009,0.00198,0,1.03268,0.00043,0.75075,3.30114,10.53862,0.00614,1.88147,0.1082,1.70954,3.65428,0.95936,0.22083,0,2.38277,0.02905,2.59432,0,1.30574,1.10602,1.75476,3.4466,0.91687,6.31201,0,2.20167,2.07726,2.71523,1.94119,1.57315,1.81186,0,0.49433,2.38733,3.02466,0,0.49944,0.25609,1.83823,0,0,0.00494,0,1.74533
"Selenomonadales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48552,1.02501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9284,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06623,0.43047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00109,0,0.4869,0,0,0,0
"Veillonellales",0.16769,0.32947,0,0,0.44693,0,0.04865,0.3737,0.10019,0.11882,0.30234,0,0.26493,0.03995,0.01491,0,0.00042,0.11245,0.40888,0.07507,0.05326,0,0.69772,0.29145,0.17105,0,0,0.22128,0.00302,0,0.24595,0.00209,0,0.05379,0.10208,0.12501,0.01434,0.12506,0.04423,0,0.19196,0,0,2.77327,0,0.02963,0.39138,0,0.01839,0.23214,0.02177,0,0,0.02363,0.01538,0.31242,0.89823,0.02632,1.96088,0.27823,1.41753,0.6281,0,0.11917,0.00915,0.24269,0,0,0,0.00345,0.21451,0.47546,0.40487,0,2.62819,0,0.04949,0,0.01552,1.18714,0.04297,0.92306,0.01215,0.74722,0.11684,0,0.20293,0.0132,0,0,0.83622,0.22776,0.01505,0,0.02154,0,0.00532,0.54566,0,0,0,0.63302,2.33068,0.23132,1.37475,0.57031,0.15659,0.05166,0.08234,0
"Tissierellales",0,0,0,0,0,0.11025,0.17568,0,0,0,0.01223,0,0,0,0.01738,0.00065,0,0,0.00084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.64631,0,0,0,0,0,0,0,0,0,0,0.05452,0,0,0,0,0,0,0,0,0,0,0,0.06091,0,0,0,0,0.09818,0,0,0,0,0,0,0.21423,0,0,0,0.02839,0.07719,0,0,0.26687,0,0,0.24228,0.00474,0,0,0,0.0011,0,0,0,0,0.00103,0,0,0.00385,0,0,0,0,0,0,0,0,0,0,0,0.26075,0,1.41505,0
