"","MMRS11288076ST.27.0.0","MMRS11664448ST.27.0.0","MMRS11932626ST.27.0.0","MMRS12272136ST.27.0.0","MMRS14379078ST.27.0.0","MMRS14602194ST.27.0.0","MMRS15137911ST.27.0.0","MMRS16644320ST.27.0.0","MMRS17603756ST.27.0.0","MMRS17963147ST.27.0.0","MMRS18295921ST.27.0.0","MMRS20257302ST.27.0.0","MMRS21365932ST.27.0.0","MMRS24340226ST.27.0.0","MMRS25211151ST.27.0.0","MMRS25641480ST.27.0.0","MMRS29805707ST.27.0.0","MMRS31306426ST.27.0.0","MMRS32573774ST.27.0.0","MMRS33294861ST.27.0.0","MMRS34525504ST.27.0.0","MMRS34569532ST.27.0.0","MMRS35808664ST.27.0.0","MMRS36405092ST.27.0.0","MMRS38861560ST.27.0.0","MMRS38954404ST.27.0.0","MMRS39415781ST.27.0.0","MMRS39582183ST.27.0.0","MMRS40913371ST.27.0.0","MMRS41266697ST.27.0.0","MMRS41711735ST.27.0.0","MMRS42570301ST.27.0.0","MMRS42780924ST.27.0.0","MMRS43563715ST.27.0.0","MMRS43939546ST.27.0.0","MMRS44197125ST.27.0.0","MMRS44203591ST.27.0.0","MMRS44587603ST.27.0.0","MMRS47662059ST.27.0.0","MMRS47685461ST.27.0.0","MMRS48639115ST.27.0.0","MMRS51307502ST.27.0.0","MMRS51410669ST.27.0.0","MMRS51728985ST.27.0.0","MMRS51737257ST.27.0.0","MMRS54246132ST.27.0.0","MMRS54316675ST.27.0.0","MMRS55294627ST.27.0.0","MMRS56137463ST.27.0.0","MMRS57276462ST.27.0.0","MMRS57569834ST.27.0.0","MMRS59699117ST.27.0.0","MMRS61683006ST.27.0.0","MMRS62192467ST.27.0.0","MMRS62376181ST.27.0.0","MMRS62666492ST.27.0.0","MMRS64281211ST.27.0.0","MMRS64281551ST.27.0.0","MMRS65205033ST.27.0.0","MMRS65742083ST.27.0.0","MMRS65862658ST.27.0.0","MMRS65945127ST.27.0.0","MMRS66868025ST.27.0.0","MMRS67096717ST.27.0.0","MMRS67247116ST.27.0.0","MMRS67690541ST.27.0.0","MMRS68630931ST.27.0.0","MMRS68910755ST.27.0.0","MMRS71238091ST.27.0.0","MMRS71762412ST.27.0.0","MMRS72802364ST.27.0.0","MMRS72980899ST.27.0.0","MMRS73787048ST.27.0.0","MMRS77018926ST.27.0.0","MMRS77321055ST.27.0.0","MMRS77487595ST.27.0.0","MMRS78791111ST.27.0.0","MMRS79893829ST.27.0.0","MMRS80093644ST.27.0.0","MMRS81130264ST.27.0.0","MMRS81135225ST.27.0.0","MMRS81194191ST.27.0.0","MMRS81671217ST.27.0.0","MMRS84085284ST.27.0.0","MMRS84159866ST.27.0.0","MMRS84954772ST.27.0.0","MMRS85382779ST.27.0.0","MMRS85438660ST.27.0.0","MMRS85548821ST.27.0.0","MMRS86168210ST.27.0.0","MMRS86178473ST.27.0.0","MMRS86958796ST.27.0.0","MMRS87723283ST.27.0.0","MMRS88581325ST.27.0.0","MMRS90191266ST.27.0.0","MMRS91297590ST.27.0.0","MMRS92544445ST.27.0.0","MMRS92546335ST.27.0.0","MMRS92727331ST.27.0.0","MMRS93508324ST.27.0.0","MMRS93621581ST.27.0.0","MMRS94549160ST.27.0.0","MMRS95277876ST.27.0.0","MMRS95479054ST.27.0.0","MMRS95674036ST.27.0.0","MMRS96422329ST.27.0.0","MMRS97052561ST.27.0.0","MMRS97307143ST.27.0.0","MMRS97327636ST.27.0.0","MMRS99045180ST.27.0.0"
"Actinobacteria",0.69959,0.47064,2.40144,0.62125,1.2175,0.47294,1.24085,5.02105,1.11349,0.54864,1.4577,1.4646,0.62418,0.6006,0.20395,3.47728,0.31832,1.2094,1.02167,1.5043,0.95449,2.1076,0.18384,7.01818,2.33757,0.38591,1.2534,1.29074,2.99529,0.16744,1.22198,2.12472,0.46398,1.77259,2.78913,5.44928,0.77079,1.94682,0.49713,0.60473,1.89061,3.77181,2.57299,0.88642,0.48,2.36652,3.54799,8.27287,2.14501,1.35447,2.77895,0.17348,1.52286,1.41031,1.49344,0.85773,0.16341,0.91314,3.01014,0.1616,0.67874,1.12147,5.30155,32.46433,2.02447,1.05751,1.72945,0.19723,2.15843,0.8802,0.75289,4.96691,2.51611,6.66312,1.48246,1.1037,2.81333,0.09028,5.95069,1.87875,0.48557,1.39087,1.09537,5.11923,0.75208,0.46114,1.14298,0.18031,2.07942,4.49858,0.46535,4.1941,0.72589,11.63514,4.66555,0.76391,0.83017,5.95914,4.83913,4.2977,0.52692,3.24122,4.31864,3.01925,1.49988,2.86488,1.93986,15.46526,1.17747,0.28831
"Ascomycota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00339,0,0,0,0,0,0,0,0,0,0
"Bacteroidetes",46.16691,42.28582,42.05116,55.7392,40.13785,42.3287,39.3441,39.1672,76.5906,53.37073,61.30799,41.53782,50.16396,64.63058,55.63458,38.80344,42.1154,82.82156,39.81339,62.16006,70.8927,41.4193,62.61229,26.00541,38.40952,45.14015,55.20605,34.3812,50.91208,65.9137,38.533,55.0546,76.17386,52.22102,30.98545,57.60778,86.01966,43.50072,41.81233,62.34482,29.1871,34.91786,31.51597,0.29755,40.3208,64.28576,55.73574,61.8093,63.4655,27.97223,72.74844,75.34384,70.17432,47.60751,55.70055,50.78823,75.65016,72.39754,47.64168,32.25947,33.64183,0.11945,31.12615,30.0266,52.30272,31.8149,55.03091,78.38494,54.85455,56.6269,55.33706,49.47722,26.44372,25.5297,35.85642,21.60843,51.63294,43.90104,43.13645,58.32337,73.28921,74.53371,35.27531,64.25398,22.56435,64.45568,39.39916,64.40936,59.86698,20.44549,30.01115,45.61871,63.06062,28.19122,40.09997,46.1313,67.10161,74.46909,51.92541,48.09466,48.21608,26.92345,19.0636,33.38786,74.08481,41.98558,72.12626,35.71276,47.21239,63.76728
"Candidatus Melainabacteria",0,0,0,0,0,0,0,0,0,0.13417,0,0,0,0,0,0,0,0,0.00478,0,0,0.02282,0,0,0,0,0,0.03877,0,0,0,0,0,0.07698,0,0,0,0,0,0,0,0.00765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099,0,0,0,0,0,0,0,0,0
"Candidatus Thermoplasmatota",0,0,0,0,0,0,1.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91552,0,0,0,0,0,0,0,0.09003,0
"Euryarchaeota",0,0.05009,0,0.00221,0,0.00058,3.39812,0,0,0.13338,0,0.88116,0.39729,0,0,4.64882,0,0,0.32069,0,0.18862,1.12579,0.01469,0,0,2.75236,0,0.03172,0,0,0,0,0,0.05547,0,0,0,0,0.4861,0,0,0.1614,0.2375,0,0.68604,0.01197,1.21133,0,0,0.41986,0,0,0,0,0,0.21937,0,0,0.00858,0.03554,0.26687,0,0,0,0.00142,0.29751,0,0,0,0.90192,0.00794,1.12226,0,0.02557,0.00592,1.52852,0,0,19.18022,0,0,0,0.03643,0,1.95705,0.21921,0,0,0.03036,0.02388,0,0,0,1.837,0.50711,0,0,0,0,0.30245,2.90989,0.42637,1.45428,0,0,0,0.41988,0,2.6477,0
"Firmicutes",51.80417,54.55448,49.51441,43.25122,58.44892,56.22817,42.71463,54.8744,22.0119,45.03964,36.75759,51.27206,47.06975,34.66407,37.6652,52.68986,56.16896,15.19754,56.12791,34.38472,27.07595,53.83199,23.99594,66.47726,58.86402,50.9243,43.17387,63.58796,44.7637,26.27707,29.82119,40.25221,20.84954,45.56105,63.03784,36.4165,11.89734,51.56485,39.55369,36.63379,68.7839,44.56918,64.83385,64.97897,56.6942,31.88511,37.08907,28.9809,32.39237,69.45387,22.3421,23.74023,27.16362,50.49099,42.32042,47.2939,17.54951,25.22964,48.33634,50.26543,64.27629,90.34462,62.84927,33.80819,45.07525,64.81855,43.04909,19.83391,39.37517,37.1235,39.0081,36.74553,70.4487,65.1223,61.31361,67.49257,45.41836,52.58628,27.24159,35.73776,25.89871,22.86606,63.13522,30.56282,73.41261,34.04037,56.23533,35.13696,36.44429,55.4794,66.24231,45.25392,33.87235,54.82126,54.452,52.1663,26.27435,19.21709,41.45675,45.6458,46.41442,63.93234,71.28996,63.4434,21.29124,49.56009,23.90795,47.99556,47.39646,35.80844
"Fusobacteria",0,0,0,0,0,0.00277,0.21985,0,0.00759,0,0.00366,0,0,0,0,0,0,0,0.00103,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48623,0,0.03468,0.05765,0,0,0,0,0,0.00359,0,0,0,0,0.15794,0.05521,1.01852,0,0,0,0,0.01546,0,0,0.00211,0,0.10648,0,0.03047,0.0391,0,0.01357,0,0,0,0.29524,0,0.00356,0.00707,0.01251,0,0,0,0.00073,0,0,0,0,0.21826,0.26255,0.00539,0,0,0,0,0,0,0,0,0,0,0,0.03823,0,0,0,0,0,0,0,0,0,0.0058,0,0.114,0,0.0161,0
"Lentisphaerae",0,0,0.00291,0.04362,0,0,0,0,0,0,0.00162,0,0,0,0,0.03636,0,0,0.1162,0,0,0.37792,0,0,0,0.00748,0,0.00934,0,0,0,0,0,0,0,0,0,0.00047,0,0,0,6e-04,0.10994,0,0,0.00817,0.01262,0,0,0.04611,0,0,0,0,0,0.00845,0,0,0,0.09565,0,0,0,0,0.049,0,0.00766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00017,0.0583,0,0,0,0,0,0,0,0.12503,0.00831,0,0,0,0,0.05166,0.01912,0,0,0,0,0.0131,0,0,0,0
"Proteobacteria",0.9008,2.618,2.94447,0.28284,0.18145,0.96,2.10934,0.72895,0.16474,0.76969,0.3294,2.21792,0.18813,0.09597,1.18269,0.20908,1.38224,0.67328,0.95878,1.41347,0.79649,0.17756,12.86305,0.48122,0.35716,0.48227,0.31776,0.23217,0.11542,6.5883,29.66329,0.27734,0.2347,0.04923,3.12287,0.4263,0.77272,2.86991,17.62508,0.41661,0.11581,7.33511,0.68634,33.4768,0.31663,1.20439,2.19592,0.84759,0.8579,0.69101,0.00264,0.74246,1.10632,0.4596,0.38211,0.15216,5.57388,1.42412,0.62368,16.71469,0.94576,3.18333,0.64371,0.83091,0.53878,1.97927,0.07335,1.24088,0.29032,0.84281,0.26508,0.526,0.5915,2.45,1.31854,3.35696,0.03564,0.0612,3.19157,4.05956,0.04384,0.53853,0.38038,0.02552,0.83552,0.62162,3.14046,0.27335,0.11514,18.54416,0.21852,2.08347,0.8895,0.07199,0.17863,0.89339,5.01731,0.24458,1.41237,0.45845,0.4504,1.69828,1.0678,0.11088,3.08969,2.51873,1.13422,0.7573,0.13634,0.13598
