"","CCIS00146684ST.4.0","CCIS00281083ST.3.0","CCIS02124300ST.4.0","CCIS02379307ST.4.0","CCIS02856720ST.4.0","CCIS03473770ST.4.0","CCIS03857607ST.4.0","CCIS05314658ST.4.0","CCIS06260551ST.3.0","CCIS07277498ST.4.0","CCIS07539127ST.4.0","CCIS07648107ST.4.0","CCIS08668806ST.3.0","CCIS09568613ST.4.0","CCIS10706551ST.3.0","CCIS10793554ST.4.0","CCIS11015875ST.4.0","CCIS11019776ST.4.0","CCIS11354283ST.4.0","CCIS11362406ST.4.0","CCIS11558985ST.4.0","CCIS12370844ST.4.0","CCIS12656533ST.4.0","CCIS13047523ST.4.0","CCIS14449628ST.4.0","CCIS15704761ST.4.0","CCIS15794887ST.4.0","CCIS16326685ST.4.0","CCIS16383318ST.4.0","CCIS16561622ST.4.0","CCIS17669415ST.4.0","CCIS19142497ST.3.0","CCIS20795251ST.4.0","CCIS21126322ST.4.0","CCIS21278152ST.4.0","CCIS22275061ST.4.0","CCIS22416007ST.4.0","CCIS22906510ST.20.0","CCIS22958137ST.20.0","CCIS23164343ST.4.0","CCIS24254057ST.4.0","CCIS24898163ST.4.0","CCIS25399172ST.4.0","CCIS27304052ST.3.0","CCIS27927933ST.4.0","CCIS28384594ST.4.0","CCIS29210128ST.4.0","CCIS29688262ST.20.0","CCIS31434951ST.20.0","CCIS32105356ST.4.0","CCIS32452666ST.4.0","CCIS33816588ST.4.0","CCIS34055159ST.4.0","CCIS34604008ST.4.0","CCIS35092938ST.4.0","CCIS35100175ST.4.0","CCIS36699628ST.4.0","CCIS36797902ST.4.0","CCIS37250421ST.4.0","CCIS38765456ST.20.0","CCIS40244499ST.3.0","CCIS41222843ST.4.0","CCIS41288781ST.4.0","CCIS41548810ST.4.0","CCIS41692898ST.4.0","CCIS41806458ST.4.0","CCIS44093303ST.4.0","CCIS44676181ST.4.0","CCIS44743950ST.4.0","CCIS44757994ST.4.0","CCIS45571137ST.3.0","CCIS45793747ST.4.0","CCIS46047672ST.4.0","CCIS46467422ST.4.0","CCIS47284573ST.4.0","CCIS47745468ST.4.0","CCIS48174381ST.4.0","CCIS48507077ST.4.0","CCIS48579360ST.4.0","CCIS48725289ST.4.0","CCIS50003399ST.4.0","CCIS50148151ST.4.0","CCIS50369211ST.20.0","CCIS50471204ST.4.0","CCIS50561855ST.4.0","CCIS51595129ST.4.0","CCIS51667829ST.4.0","CCIS52234160ST.4.0","CCIS52370277ST.4.0","CCIS53043478ST.4.0","CCIS53355328ST.4.0","CCIS53557295ST.4.0","CCIS54027808ST.4.0","CCIS55230578ST.4.0","CCIS55531770ST.4.0","CCIS56503244ST.3.0","CCIS58234805ST.4.0","CCIS59132091ST.4.0","CCIS59903910ST.4.0","CCIS61287323ST.4.0","CCIS62605362ST.3.0","CCIS62794166ST.4.0","CCIS63448910ST.4.0","CCIS63468405ST.4.0","CCIS63910149ST.4.0","CCIS64773582ST.4.0","CCIS64785924ST.20.0","CCIS65479369ST.4.0","CCIS70398272ST.4.0","CCIS71301801ST.4.0","CCIS71578391ST.4.0","CCIS72607085ST.4.0","CCIS74239020ST.4.0","CCIS74726977ST.3.0","CCIS76563044ST.4.0","CCIS76845094ST.20.0","CCIS77100899ST.4.0","CCIS77252613ST.4.0","CCIS78100604ST.4.0","CCIS78318719ST.4.0","CCIS79210440ST.3.0","CCIS80834637ST.4.0","CCIS81139242ST.4.0","CCIS81710917ST.20.0","CCIS81735969ST.20.0","CCIS81887263ST.4.0","CCIS82146115ST.4.0","CCIS82507866ST.3.0","CCIS82944710ST.20.0","CCIS83445808ST.4.0","CCIS83574003ST.4.0","CCIS83870198ST.4.0","CCIS84543192ST.4.0","CCIS85214191ST.3.0","CCIS87116798ST.4.0","CCIS87167916ST.4.0","CCIS87252800ST.4.0","CCIS87290971ST.4.0","CCIS87605453ST.4.0","CCIS88007743ST.4.0","CCIS88317640ST.4.0","CCIS90164298ST.4.0","CCIS90166425ST.4.0","CCIS90443472ST.4.0","CCIS90903952ST.3.0","CCIS91228662ST.4.0","CCIS93040568ST.20.0","CCIS94417875ST.3.0","CCIS94496512ST.4.0","CCIS94603952ST.4.0","CCIS95097901ST.4.0","CCIS95409808ST.4.0","CCIS96387239ST.4.0","CCIS98482370ST.3.0","CCIS98512455ST.4.0","CCIS98832363ST.4.0"
"Actinomycetia",9.68322,0,5.56224,0,0.75762,3.50567,0.76518,15.35455,0.13004,18.83148,4.98735,0.806,0.35029,12.38255,0.21863,0.23721,6.32374,12.74204,1.61052,6.09787,0,0,2.04414,0.0862,0.07088,0.38123,12.91229,11.13961,0.89332,0.59102,4.74657,0,41.13335,0.9189,0.36656,2.9142,8.35556,0.02367,0.10906,5.59156,0.089,1.35614,0.1458,0.05908,40.67797,0,0.43282,4.47499,1.49372,0.35177,0.3649,2.00706,0.19269,0.03818,2.9188,0.32229,9.64067,7.18034,0.02148,0.41979,0.00775,0.09718,17.84674,5.94677,9.53682,0.45099,0.03395,2.42548,0.33715,8.71853,0.19898,0.81302,0.05077,2.80792,5.98842,0.21338,0.37182,0.15854,0.04026,0.39222,10.49912,0.08437,0,0.02789,0.20897,1.12382,9.62315,0.64304,2.73607,2.04613,3.99016,16.24824,1.12444,0.70037,0.41099,0.05071,0.37417,5.11415,0.71836,0.05966,0.30911,0.4199,7.75148,1.22603,1.38764,0.22595,8.56047,8.38768,1.30709,0.1697,0.96463,0.6557,1.11323,0.084,1.36067,0.00662,5.27165,0.4573,4.69827,3.0718,0,0.18067,2.12959,33.93377,5.63685,1.35434,1.76437,0.15452,2.89929,0.80899,0.11693,2.39301,2.1279,0.02266,0.28337,0.1893,2.65539,0.06892,0.00262,10.73345,11.94759,13.75559,0.06647,0.38284,0,0.00279,4.81043,1.94809,8.20735,6.32551,3.66578,4.61579,9.23808,0.03731,0.06968,2.36978
"Coriobacteriia",0.3543,0.01803,2.40307,0.12503,0.80225,0.27213,2.1171,1.24499,0.8944,2.04156,2.29628,5.72521,0.06216,0.67859,0.05544,0.6144,1.51201,4.56892,2.1563,3.79792,0.14463,0.22422,2.04975,0.14437,0.68332,0.05351,6.1474,2.3021,3.1879,1.37296,2.86427,0,2.36418,0.11908,1.31329,1.59849,0.26914,2.43714,1.19136,1.82258,2.71849,4.17818,1.0083,0.02015,0.21233,1.45363,2.24881,6.52295,1.29406,1.11461,1.57629,1.01916,1.15464,0.99337,0.42932,0.41282,1.58379,2.86003,0.63506,1.92974,0.03768,0.66932,1.2039,0.06649,1.49997,0.49329,0.99581,1.12819,1.91075,1.19591,0.14509,1.25261,1.3653,1.14803,0.22164,0.05298,2.498,0.73419,0.4782,1.34852,0.25168,1.27241,42.65565,2.21136,0.76079,0.37458,2.54909,0.17509,0.4271,1.83661,0.82804,1.9048,4.87473,3.14198,0.38481,0,1.20647,3.02878,0.04435,2.59229,1.42871,1.21956,0.01473,0.83605,1.01526,0.47339,2.53072,3.89723,0.52772,0.06931,1.02343,0.33957,2.77196,1.21377,4.33798,0.2514,2.42939,3.7624,1.28324,1.51048,0.06154,0.59648,0.11742,5.79212,1.47995,0.19014,2.57346,0.02237,1.48192,1.27588,0.05521,0.61622,2.45069,0.00916,1.04761,3.5191,0.00731,1.19827,2.44743,3.85572,3.67515,3.25053,4.13041,1.06963,0,0.24866,0.39694,0.40322,4.46132,0.40837,5.02204,2.05413,2.41751,0.04604,1.61814,3.4749
"Saccharomycetes",0,0.00438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0156,0,0,0,0,0,0.00186,0,0,0,0,0,0.00195,0,0,0,0.00919,0,0,0,0,0,0,0,0.09528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03666,0,0,0,0.00514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00237,0,0,0,0,0
"Bacteroidia",21.86795,75.99279,20.19827,56.55994,26.58431,28.02409,15.18416,31.76989,16.8432,29.6481,45.20098,35.96772,37.54487,30.27124,38.90095,21.06823,34.36617,16.69704,25.42457,12.09094,78.41542,28.21133,27.11018,34.44292,62.68677,0.06672,26.98702,47.3313,34.53782,45.87201,15.92272,23.1712,9.72035,12.08527,17.55975,3.83556,27.73843,35.16782,44.11128,1.85371,67.53783,26.85364,53.64189,30.13411,0.33815,39.84655,63.89239,5.12503,13.70953,55.14653,29.31383,38.53138,8.02884,17.68597,22.54745,31.97136,3.2756,26.73848,23.63601,29.56098,63.85374,31.00667,25.56784,51.18637,19.98931,6.05951,76.64478,10.18205,38.01799,25.67415,39.68708,26.38604,45.31796,76.17989,30.42906,61.59725,27.9937,68.7843,41.31765,19.88801,19.11247,52.26404,0.06121,25.74816,75.31784,21.86674,23.56667,16.43159,57.43622,39.05621,31.05058,22.82193,28.9127,25.86709,40.73793,31.02585,25.62544,0.65172,26.58472,32.59805,28.41821,52.2979,37.30085,36.11938,20.9591,41.76022,10.62428,36.27276,33.09894,79.29489,29.68812,52.28064,16.71369,39.64125,34.35205,26.2469,34.09143,39.1969,21.16328,18.02765,40.51742,36.2669,24.43916,16.92251,22.9293,34.82516,4.1066,43.68681,19.24521,29.20303,72.83622,40.85781,61.68503,78.74096,44.17151,15.52318,65.7562,28.59077,64.14074,41.42562,17.72985,13.26397,54.34586,39.2909,59.64506,69.93131,34.09208,19.78455,23.04719,25.20813,22.77949,5.541,58.89831,39.0499,46.12775,33.57104
"Thermoplasmata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Methanobacteria",0,0.07253,0,0.05642,0,5.1902,0,0.32286,44.27099,0.00114,3.12886,0.09471,2.42658,0.90582,0,0.00125,1.18342,0.04967,2.00575,2.95461,0,0.0538,12.59757,0,0,0,0,0.01221,0,0,0.01162,0.28787,9.30693,2.92655,9.32377,0,0.37595,0,0.09111,0,0,0,0.18258,5.88584,0.00868,2.97714,0,0.0232,4.01393,2.58653,0.64611,20.11737,0,0,0,2.68892,0,28.92665,0,10.68266,0,3.26931,0,0.23034,0,7.42189,0,0,0.08457,0.04929,0.48421,0.7459,8.21083,0,4.96593,0,0.01218,0.03194,2.02427,0,0,0,0,0.75338,0,1.50711,0.87861,2.62914,0.07333,2.82798,10.58333,0.00473,0.07837,5.85757,0,1.58018,0.27084,1.7905,0,0.03849,2.32918,2.36569,0.01819,0.00286,0,1.86267,1.40784,0,0,0,1.45265,0,0.01322,2.91521,1.19803,0.00025,0,0.00283,0,1.94839,2.17292,0.0493,0,6.936,0,5.63788,0,0.30574,0.06392,0,0,0.01081,0.03502,0,13.77789,0.01757,0,0.06521,0,0,0.63665,3.25329,0.38996,0.08091,0.00177,0.00166,0,20.92451,0,0,0.00519,7.36038,0,0,0.03173,0.65793
"Bacilli",0.08253,0.47815,1.05651,0.73802,3.52966,4.56391,0.32069,0.22688,0.90287,0.91444,7.6317,5.87989,0.07061,2.35997,0.78422,9.82795,0.04392,2.01696,0.68111,10.61982,0.2204,0.16454,1.37596,0.70655,4.03115,2.28694,0.24965,0.29373,18.74616,1.79836,11.25571,0.17122,2.28718,2.79718,7.1661,2.30264,0,1.92237,0.6021,10.65751,0.23518,0,0.05336,0.41281,2.7882,0.05345,0.3922,19.41826,1.62222,0.67325,2.24909,1.88759,2.09881,1.59129,2.84719,6.14815,2.14078,0.19796,0.3968,1.279,2.02492,1.87427,0.53547,0.14106,1.16383,55.9783,0.25712,3.59576,7.0646,0,0.08859,5.80845,2.92195,0.08263,0.44963,0.25962,5.98641,1.06092,0.19975,0.87763,1.67354,3.25379,4.54312,3.73531,0.03712,2.22258,0.87254,3.86262,0.4441,0.2485,1.32719,0.2791,17.57386,4.51787,0.44435,1.47803,2.50983,4.23345,4.78441,7.81746,0.49093,1.90044,35.54931,3.08617,4.214,0.75882,4.58877,1.41198,3.24578,0.00158,1.1786,8.91063,2.1906,1.81892,0.45933,1.57581,1.17902,1.09043,0.72177,0.09103,2.74361,2.42107,0.78442,1.48836,3.21016,0.42741,2.65025,0.45695,5.30647,0.59506,0.11418,0.13072,0.25907,0.0179,4.44836,0,0.18269,10.45404,1.56846,2.12341,17.84448,4.02829,0.14365,0.13052,0.20883,2.83095,20.94197,0.4701,1.7806,1.77662,3.12724,0.74065,0.14962,1.02625,3.16209,0.30716
"Clostridia",60.29925,22.08875,67.55549,39.98702,62.2582,53.56938,76.75428,48.42603,21.98576,46.47563,32.80262,44.25551,57.871,32.80633,58.55086,67.72351,47.37761,51.41593,65.00502,57.59028,17.47602,32.16489,27.41445,63.56463,27.34126,51.75144,47.19199,23.80092,17.67071,46.05779,61.33324,75.39012,33.27577,77.20771,56.57908,87.67977,39.36904,47.62432,48.40845,75.83316,8.58211,35.15563,24.01811,57.13021,54.4131,50.30644,24.80525,59.92887,73.18813,37.57554,61.83251,23.06331,39.53659,78.31646,69.1572,43.98629,77.84168,23.40577,71.23425,51.54002,19.19452,60.21829,48.67725,37.95675,64.66226,26.98619,18.00694,78.95479,50.66652,16.38822,56.86204,62.56531,35.24042,19.17184,55.64938,29.38508,57.82131,25.60896,53.6042,75.18927,66.95494,33.24565,45.54082,61.01798,19.67415,68.32944,60.33887,66.25194,32.89944,44.72648,44.52643,54.57055,43.0086,52.60692,56.13578,62.916,21.9339,83.33908,64.00928,32.79299,61.98881,30.8788,17.36498,49.17804,69.4111,52.67342,63.39218,39.08943,58.71973,16.07935,62.8829,10.13015,65.18804,43.95991,48.38799,65.56145,54.25223,40.51745,69.44414,58.1726,44.65702,58.76849,68.36367,21.4719,63.06019,47.8771,88.16961,54.45217,69.86238,55.7476,24.24895,48.52521,26.17,13.95986,25.31379,18.04741,17.09805,57.7622,29.65328,33.16853,42.53462,54.60999,20.12545,50.752,37.61122,19.07738,35.53288,48.0173,59.5415,64.14896,57.4189,75.76842,24.21324,58.29734,43.59258,49.33707
"Erysipelotrichia",0.01231,0.08351,0.02429,0.00318,0.32811,0.20744,0.06089,0.00441,0.97688,0.45393,0.18157,0.97847,0.00069,2.23435,0.03421,0.02135,0.12961,0.17989,0.32861,1.58746,1.26988,0,5.43309,0.15741,0.7689,6.42369,3.4312,0.07598,4.92433,0.10223,0.19155,0.05188,0.2387,0.76243,0.35133,0.02692,22.34968,1.26162,0.2891,0.28326,0.40338,0,0.01731,0.20508,0.0357,0.04673,0.17377,3.46968,1.22671,0.07314,0.03587,4.11122,0.06031,0.08177,0.02122,0.46826,0.34244,0.80216,0.04442,0.58901,0.28193,0.21082,0.91869,0.02056,0.02704,0.09595,2.70616,0.02943,0.15953,0.18987,0.14179,0.27095,2.18025,0.02055,0,0.02103,1.47895,0.09872,1.01236,0.10399,0.09741,0.28683,6.07846,2.63789,0.00225,1.61171,0.30317,0.439,0.4302,1.72379,0.81704,0.73766,2.42735,1.68786,0.08877,0.00653,1.02889,0.12529,0.09728,0.73397,0.97013,2.58375,0.10112,0.88099,0.46092,0.41157,2.15482,0.82165,0.26801,2.27857,1.31361,4.23928,10.60207,4.02001,0.31025,0.57558,0.33013,5.93944,0.15779,1.25528,0.63298,0.14692,1.81956,4.04641,0.0133,3.85156,0.04517,0.19812,0,0.14557,0.00458,0.04544,0.10549,0.62566,3.07161,0,0.08315,0.15368,0.20425,0.80243,3.58565,0.41382,0.04392,0.18976,0,1.52246,3.3849,0.37322,0.21291,0.00079,0.1785,1.23218,0.04359,0.02683,0.2973,0.02932
"Negativicutes",2.37042,1.00458,2.18789,1.33801,0.262,0.71169,4.25134,0.42243,1.95086,0.27432,2.25366,2.13189,0.08042,1.56654,1.12183,0.22333,2.43443,5.60719,0.86774,0.26919,1.89897,0.58513,0.24051,0.10669,3.17406,32.14042,0.99158,3.17759,13.28067,1.61239,0.74577,0.2075,0.22125,0.07613,2.02092,0.55724,0.53724,2.77655,2.21187,0.05305,0.36232,0,4.58998,1.9299,0.79134,3.25678,4.83014,0.48885,0.79021,0.8064,0.72511,1.71228,2.89623,0.87338,0.65107,3.74934,0.17407,0.00858,0.1189,0.8332,2.24152,1.02928,0.48165,0.10399,1.28374,0.55404,1.02123,1.11614,0.36226,0.05197,2.01198,0.9561,0,0.4447,0.69346,1.92123,1.18635,2.07472,0.11222,0.4686,0.35302,9.2873,0.00411,1.4663,0.40774,1.2361,1.57117,1.9881,1.3619,0.44278,0.316,0.84549,1.03082,0.81936,1.1244,0.87619,2.49743,0.01759,2.12301,3.62202,1.30468,0.48752,0,1.85946,0.15185,0.8057,0.02286,1.96497,1.37617,1.53416,0.95254,4.27232,0.98815,4.97581,9.33007,2.93895,1.73693,5.77724,0.32372,5.25374,3.09045,0.12576,0.58657,2.255,1.02068,0.90528,0.19402,0,0.63379,5.79432,0.5406,0.38159,4.09868,3.62656,0.79169,19.54446,2.64933,0.71802,1.2758,0.08371,0.12544,5.4734,3.40902,2.84429,1.0395,2.8743,0.83125,0.36371,1.23063,0.46692,6.15292,0.16704,3.79397,1.31838,1.77526,3.27832
