"","CCIS00146684ST.4.0","CCIS00281083ST.3.0","CCIS02124300ST.4.0","CCIS02379307ST.4.0","CCIS02856720ST.4.0","CCIS03473770ST.4.0","CCIS03857607ST.4.0","CCIS05314658ST.4.0","CCIS06260551ST.3.0","CCIS07277498ST.4.0","CCIS07539127ST.4.0","CCIS07648107ST.4.0","CCIS08668806ST.3.0","CCIS09568613ST.4.0","CCIS10706551ST.3.0","CCIS10793554ST.4.0","CCIS11015875ST.4.0","CCIS11019776ST.4.0","CCIS11354283ST.4.0","CCIS11362406ST.4.0","CCIS11558985ST.4.0","CCIS12370844ST.4.0","CCIS12656533ST.4.0","CCIS13047523ST.4.0","CCIS14449628ST.4.0","CCIS15704761ST.4.0","CCIS15794887ST.4.0","CCIS16326685ST.4.0","CCIS16383318ST.4.0","CCIS16561622ST.4.0","CCIS17669415ST.4.0","CCIS19142497ST.3.0","CCIS20795251ST.4.0","CCIS21126322ST.4.0","CCIS21278152ST.4.0","CCIS22275061ST.4.0","CCIS22416007ST.4.0","CCIS22906510ST.20.0","CCIS22958137ST.20.0","CCIS23164343ST.4.0","CCIS24254057ST.4.0","CCIS24898163ST.4.0","CCIS25399172ST.4.0","CCIS27304052ST.3.0","CCIS27927933ST.4.0","CCIS28384594ST.4.0","CCIS29210128ST.4.0","CCIS29688262ST.20.0","CCIS31434951ST.20.0","CCIS32105356ST.4.0","CCIS32452666ST.4.0","CCIS33816588ST.4.0","CCIS34055159ST.4.0","CCIS34604008ST.4.0","CCIS35092938ST.4.0","CCIS35100175ST.4.0","CCIS36699628ST.4.0","CCIS36797902ST.4.0","CCIS37250421ST.4.0","CCIS38765456ST.20.0","CCIS40244499ST.3.0","CCIS41222843ST.4.0","CCIS41288781ST.4.0","CCIS41548810ST.4.0","CCIS41692898ST.4.0","CCIS41806458ST.4.0","CCIS44093303ST.4.0","CCIS44676181ST.4.0","CCIS44743950ST.4.0","CCIS44757994ST.4.0","CCIS45571137ST.3.0","CCIS45793747ST.4.0","CCIS46047672ST.4.0","CCIS46467422ST.4.0","CCIS47284573ST.4.0","CCIS47745468ST.4.0","CCIS48174381ST.4.0","CCIS48507077ST.4.0","CCIS48579360ST.4.0","CCIS48725289ST.4.0","CCIS50003399ST.4.0","CCIS50148151ST.4.0","CCIS50369211ST.20.0","CCIS50471204ST.4.0","CCIS50561855ST.4.0","CCIS51595129ST.4.0","CCIS51667829ST.4.0","CCIS52234160ST.4.0","CCIS52370277ST.4.0","CCIS53043478ST.4.0","CCIS53355328ST.4.0","CCIS53557295ST.4.0","CCIS54027808ST.4.0","CCIS55230578ST.4.0","CCIS55531770ST.4.0","CCIS56503244ST.3.0","CCIS58234805ST.4.0","CCIS59132091ST.4.0","CCIS59903910ST.4.0","CCIS61287323ST.4.0","CCIS62605362ST.3.0","CCIS62794166ST.4.0","CCIS63448910ST.4.0","CCIS63468405ST.4.0","CCIS63910149ST.4.0","CCIS64773582ST.4.0","CCIS64785924ST.20.0","CCIS65479369ST.4.0","CCIS70398272ST.4.0","CCIS71301801ST.4.0","CCIS71578391ST.4.0","CCIS72607085ST.4.0","CCIS74239020ST.4.0","CCIS74726977ST.3.0","CCIS76563044ST.4.0","CCIS76845094ST.20.0","CCIS77100899ST.4.0","CCIS77252613ST.4.0","CCIS78100604ST.4.0","CCIS78318719ST.4.0","CCIS79210440ST.3.0","CCIS80834637ST.4.0","CCIS81139242ST.4.0","CCIS81710917ST.20.0","CCIS81735969ST.20.0","CCIS81887263ST.4.0","CCIS82146115ST.4.0","CCIS82507866ST.3.0","CCIS82944710ST.20.0","CCIS83445808ST.4.0","CCIS83574003ST.4.0","CCIS83870198ST.4.0","CCIS84543192ST.4.0","CCIS85214191ST.3.0","CCIS87116798ST.4.0","CCIS87167916ST.4.0","CCIS87252800ST.4.0","CCIS87290971ST.4.0","CCIS87605453ST.4.0","CCIS88007743ST.4.0","CCIS88317640ST.4.0","CCIS90164298ST.4.0","CCIS90166425ST.4.0","CCIS90443472ST.4.0","CCIS90903952ST.3.0","CCIS91228662ST.4.0","CCIS93040568ST.20.0","CCIS94417875ST.3.0","CCIS94496512ST.4.0","CCIS94603952ST.4.0","CCIS95097901ST.4.0","CCIS95409808ST.4.0","CCIS96387239ST.4.0","CCIS98482370ST.3.0","CCIS98512455ST.4.0","CCIS98832363ST.4.0"
"Actinomycetaceae",0.02228,0,0.05835,0,0.0367,0.04802,0.00623,0.00329,0.00307,0.00844,0.01441,0.03235,0,0.0292,0,0.18627,0.00369,0.09359,0.02874,0.0586,0,0,0.00982,0.02226,0.04163,0.00834,0.14583,0,0.06239,0.01515,0.21386,0,0,0.0146,0.00976,0.01261,0.0038,0.01378,0.01617,0.00524,0.04257,1.34883,0,0,0.02608,0,0.00531,0.16645,0,0.00659,0.03303,0.75197,0.04954,0.02075,0.04022,0.10922,0.02297,0.07562,0.00777,0.01716,0,0.03814,0.10361,0,0.01768,0.01957,0.02145,0.02402,0.18198,0,0,0.02784,0.00166,0,0.00775,0.00429,0.02112,0,0,0,0.00684,0.04794,0,0.0192,0,0,0.00792,0.03379,0.01485,0,0.01774,0.01512,0.08764,0.00288,0,0,0.17367,0.03309,0.00819,0.03642,0,0.02168,0.11076,0.00999,0,0.01107,0.00103,0.00988,0.01402,0,0.028,0,0.02563,0.03544,0.00136,0.00212,0.00916,0.01273,0.00604,0.02742,0,0.0223,0.0151,0.12661,0.02383,0.01786,0.00499,0,0,0.00208,0.0085,0.01466,0.00188,0,0.03158,0,0,0.01552,0,0.03187,0.14899,0.00364,0,0.00373,0,0,0,0,0,0.01884,0.02824,0.12858,0,0,0.06968,0.02979
"Bifidobacteriaceae",9.65288,0,5.40612,0,0.70649,3.39657,0.75851,15.28811,0.11201,18.82304,4.83954,0.76937,0.35029,12.35099,0.21863,0.01438,6.31769,12.44895,1.56691,6.03927,0,0,2.03308,0.06394,0.00534,0.37266,12.43603,11.13961,0.80267,0.57574,4.51532,0,41.10767,0.82548,0.3568,2.90159,8.35176,0.00989,0.08195,5.34014,0.04241,0,0.1458,0.05908,40.65189,0,0.41564,3.5871,1.49372,0.32933,0.27853,1.25509,0.11863,0.00988,2.87114,0.14067,9.61253,7.10472,0.00903,0.40052,0,0.05904,17.74313,5.94677,9.51914,0.43142,0.00929,2.4005,0.14989,8.71794,0.19898,0.76991,0.04911,2.80792,5.98067,0.20439,0.17735,0.15854,0.04026,0.39222,10.49072,0.00236,0,0.00869,0.20897,1.12382,9.61424,0.60563,2.72089,2.04613,3.97242,16.23132,0.90024,0.69153,0.41099,0.05071,0.2005,5.05517,0.64999,0.01841,0.30884,0.36043,7.63669,1.21035,1.38764,0.21168,8.55944,8.3778,1.09403,0.1697,0.91665,0.6557,1.07988,0.0431,1.35931,0.0045,5.26249,0.44457,4.69223,3.02907,0,0.15708,2.11449,33.60532,5.60304,1.32414,1.75877,0.15452,2.89929,0.78096,0.1038,2.37835,2.12602,0.02266,0.24111,0.16222,2.65539,0.03467,0.00262,10.70158,11.77009,13.75029,0.06647,0.33605,0,0,4.81043,1.94809,8.20735,6.30667,3.63403,4.48586,9.23808,0.03731,0,2.33999
"Corynebacteriaceae",0,0,0,0,0,0.01698,0,0,0,0,0.13028,0,0,0,0,0.00641,0,0,0,0,0,0,0,0,0,0,0.2935,0,0.00158,0,0,0,0,0.07865,0,0,0,0,0.00895,0.15998,0,0,0,0,0,0,0,0.00415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00059,0,0.00086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00483,0.00027,0,0,0,0,0,0,0,0.18445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1973,0,0,0.00061,0,0,0,0,0,0,0,0,0,0,0.00031,0,0,0,0.00086,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brevibacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microbacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Micrococcaceae",0.00806,0,0,0,0.01443,0.0441,0.00044,0.06315,0.01496,0,0.00312,0,0,0.00236,0,0.03015,0.00236,0.14746,0,0,0,0,0,0,0.02391,0.00023,0.03693,0,0.02597,0,0.01399,0,0,0.00017,0,0,0,0,0.00199,0,0.00402,0.00509,0,0,0,0,0.00325,0.0043,0,0,0.05334,0,0.02452,0.00755,0.00744,0.0724,0.00517,0,0.00468,0.00211,0.00775,0,0,0,0,0,0.00321,0.00096,0.00528,0,0,0.01441,0,0,0,0.0047,0.17335,0,0,0,0.00156,0.03407,0,0,0,0,0.00099,0.00235,0.00033,0,0,0,0.12631,0.00596,0,0,0,0.02589,0.06018,0,0,0,0.00403,0.00569,0,0.0032,0,0,0.01459,0,0.00149,0,0.00136,0.00546,0,0,0,0,0,0.01531,0,0.00129,0,0.00454,0.00998,0,0,0,0,0.0059,0.00463,0,0,0,0.00179,0.02708,0,0.01778,0,0,0.02851,8e-04,0,0,0,0.00279,0,0,0,0,0,0.00135,0,0,0,0
"Tropherymataceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00326,0,0,0.01585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Propionibacteriaceae",0,0,0.09777,0,0,0,0,0,0,0,0,0.00428,0,0,0,0,0,0.05204,0.01487,0,0,0,0.00124,0,0,0,0,0,0.00071,0.00013,0.0034,0,0.02568,0,0,0,0,0,0,0.00508,0,0.00222,0,0,0,0,0.00536,0.71299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00127,0,0,0,0.0018,0.01025,0,0,0,0,0,0,0,0,0.03779,0,0,0,0,0,0,0,0,0.01849,0,0.00636,0,0,0,0,0,0,0,0,0,0,0,0,0.01234,0,0,0,0.02005,0,0,0,0,0.00889,0,0,0.00064,0,0,0,0,0,0.04306,0,0,0,0,0,0,0.00351,0,0,0,0,0
"Atopobiaceae",0,0,0.00363,0,0,0.00067,0.00171,0.00082,0,0,0,0.02211,0,0.0035,0,0.01023,0.04736,0.02748,0,0.03573,0,0,0.12055,0.00286,0.04144,0,0.011,0,0.01663,0.00553,0.16412,0,0.00214,0,0.00658,0,0.00062,0.0061,0.00249,0.01948,0.00275,0,0.00304,0,0.00038,0.02064,0,0.01822,0,0,0.0011,0.08641,0.02627,0.00013,0.01648,0.0085,0,0.01465,0,0.0413,0,0.0018,0.0612,0,0,0.00041,0,0.00056,0.01016,0,0,0.0029,0.00797,0,0.00873,0,0,0,0,0,0,0.00846,0.03008,0.004,0,0,0.00041,0,0,0.00215,4e-04,0.0033,0.00663,0.00047,0,0,0.04758,0.00762,0.00193,0.0165,0.00019,0,0.00056,0.00032,0,0,0,0.01432,0.00623,0,0.05049,0,0.00041,0.04326,0,0.01001,0.00039,0.00296,0.00075,0.14556,0,0,0,0.46341,0.01835,0,0.00206,0,0,0.01475,0,0,0.01072,0,0.01138,0.20883,0,0.00056,0.00549,0.00176,0.02545,1.56086,0.00053,0,0,0,0,0,0,0.00177,0.00074,0.00532,0.00712,0,0,0.02097
"Coriobacteriaceae",0.14232,0.01803,1.97113,0.10352,0.48087,0.25554,2.09284,0.92115,0.79217,1.60229,1.94828,5.01876,0.06216,0.61377,0.05544,0.00091,1.38581,3.20807,1.9092,3.39283,0.14463,0.22422,1.23307,0.00317,0.58143,0,5.88557,1.32138,2.46368,0.84993,2.39308,0,2.26847,0.00136,1.10293,0.00671,0.20455,1.82389,0.94323,1.02908,0.00126,2.37603,0.38254,0.02015,0.17532,0.58169,2.10465,5.86481,0.86669,1.04701,0.00063,0.86612,0.89576,0.81819,0.24493,0.39692,0.50036,2.69844,0.32623,1.87123,0.02979,0.26769,0.85365,0.02386,0.95229,0.47256,0.00605,0.67964,1.45063,1.11905,0.14341,1.18004,1.13915,1.1164,0.00364,0,0.87128,0.72603,0.38711,0.61417,0,0.17616,41.14952,1.72205,0.38341,0.22792,1.94752,0.0038,0.06106,1.76113,0,1.0252,4.18878,2.70685,0.36746,0,1.09708,2.45276,0.02718,2.46036,0.76722,0.33727,0.00854,0.82353,0.98053,0,1.58017,3.38265,0.28235,0.04177,0.93521,0.10635,2.41092,1.08109,4.32349,0.00807,2.16234,3.32802,0.91812,1.27053,0.06154,0.46037,0.00444,4.59065,1.09068,0.00131,2.22036,0.02237,1.18187,1.21739,0.012,0.47177,2.34936,0,0.69474,3.15469,0,0.86434,2.0981,3.43856,2.25724,1.33008,3.82672,0.9479,0,0.23772,0,0.40322,4.3975,0.13996,4.84671,1.83723,2.24709,0.04604,1.56378,3.37913
