"","CCIS00146684ST.4.0","CCIS00281083ST.3.0","CCIS02124300ST.4.0","CCIS02379307ST.4.0","CCIS02856720ST.4.0","CCIS03473770ST.4.0","CCIS03857607ST.4.0","CCIS05314658ST.4.0","CCIS06260551ST.3.0","CCIS07277498ST.4.0","CCIS07539127ST.4.0","CCIS07648107ST.4.0","CCIS08668806ST.3.0","CCIS09568613ST.4.0","CCIS10706551ST.3.0","CCIS10793554ST.4.0","CCIS11015875ST.4.0","CCIS11019776ST.4.0","CCIS11354283ST.4.0","CCIS11362406ST.4.0","CCIS11558985ST.4.0","CCIS12370844ST.4.0","CCIS12656533ST.4.0","CCIS13047523ST.4.0","CCIS14449628ST.4.0","CCIS15704761ST.4.0","CCIS15794887ST.4.0","CCIS16326685ST.4.0","CCIS16383318ST.4.0","CCIS16561622ST.4.0","CCIS17669415ST.4.0","CCIS19142497ST.3.0","CCIS20795251ST.4.0","CCIS21126322ST.4.0","CCIS21278152ST.4.0","CCIS22275061ST.4.0","CCIS22416007ST.4.0","CCIS22906510ST.20.0","CCIS22958137ST.20.0","CCIS23164343ST.4.0","CCIS24254057ST.4.0","CCIS24898163ST.4.0","CCIS25399172ST.4.0","CCIS27304052ST.3.0","CCIS27927933ST.4.0","CCIS28384594ST.4.0","CCIS29210128ST.4.0","CCIS29688262ST.20.0","CCIS31434951ST.20.0","CCIS32105356ST.4.0","CCIS32452666ST.4.0","CCIS33816588ST.4.0","CCIS34055159ST.4.0","CCIS34604008ST.4.0","CCIS35092938ST.4.0","CCIS35100175ST.4.0","CCIS36699628ST.4.0","CCIS36797902ST.4.0","CCIS37250421ST.4.0","CCIS38765456ST.20.0","CCIS40244499ST.3.0","CCIS41222843ST.4.0","CCIS41288781ST.4.0","CCIS41548810ST.4.0","CCIS41692898ST.4.0","CCIS41806458ST.4.0","CCIS44093303ST.4.0","CCIS44676181ST.4.0","CCIS44743950ST.4.0","CCIS44757994ST.4.0","CCIS45571137ST.3.0","CCIS45793747ST.4.0","CCIS46047672ST.4.0","CCIS46467422ST.4.0","CCIS47284573ST.4.0","CCIS47745468ST.4.0","CCIS48174381ST.4.0","CCIS48507077ST.4.0","CCIS48579360ST.4.0","CCIS48725289ST.4.0","CCIS50003399ST.4.0","CCIS50148151ST.4.0","CCIS50369211ST.20.0","CCIS50471204ST.4.0","CCIS50561855ST.4.0","CCIS51595129ST.4.0","CCIS51667829ST.4.0","CCIS52234160ST.4.0","CCIS52370277ST.4.0","CCIS53043478ST.4.0","CCIS53355328ST.4.0","CCIS53557295ST.4.0","CCIS54027808ST.4.0","CCIS55230578ST.4.0","CCIS55531770ST.4.0","CCIS56503244ST.3.0","CCIS58234805ST.4.0","CCIS59132091ST.4.0","CCIS59903910ST.4.0","CCIS61287323ST.4.0","CCIS62605362ST.3.0","CCIS62794166ST.4.0","CCIS63448910ST.4.0","CCIS63468405ST.4.0","CCIS63910149ST.4.0","CCIS64773582ST.4.0","CCIS64785924ST.20.0","CCIS65479369ST.4.0","CCIS70398272ST.4.0","CCIS71301801ST.4.0","CCIS71578391ST.4.0","CCIS72607085ST.4.0","CCIS74239020ST.4.0","CCIS74726977ST.3.0","CCIS76563044ST.4.0","CCIS76845094ST.20.0","CCIS77100899ST.4.0","CCIS77252613ST.4.0","CCIS78100604ST.4.0","CCIS78318719ST.4.0","CCIS79210440ST.3.0","CCIS80834637ST.4.0","CCIS81139242ST.4.0","CCIS81710917ST.20.0","CCIS81735969ST.20.0","CCIS81887263ST.4.0","CCIS82146115ST.4.0","CCIS82507866ST.3.0","CCIS82944710ST.20.0","CCIS83445808ST.4.0","CCIS83574003ST.4.0","CCIS83870198ST.4.0","CCIS84543192ST.4.0","CCIS85214191ST.3.0","CCIS87116798ST.4.0","CCIS87167916ST.4.0","CCIS87252800ST.4.0","CCIS87290971ST.4.0","CCIS87605453ST.4.0","CCIS88007743ST.4.0","CCIS88317640ST.4.0","CCIS90164298ST.4.0","CCIS90166425ST.4.0","CCIS90443472ST.4.0","CCIS90903952ST.3.0","CCIS91228662ST.4.0","CCIS93040568ST.20.0","CCIS94417875ST.3.0","CCIS94496512ST.4.0","CCIS94603952ST.4.0","CCIS95097901ST.4.0","CCIS95409808ST.4.0","CCIS96387239ST.4.0","CCIS98482370ST.3.0","CCIS98512455ST.4.0","CCIS98832363ST.4.0"
"Actinobaculum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00264,0.00878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00609,0,0,0,0,0,0,0,0,0,0.05058,0,0.00448,0,0,0,0,0,0.00421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00017,0,0,0,0,0,0.00127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00148,0,0,0,0,0,0,0,0,0,0,0.01189,0,0,0,0
"Actinomyces",0.01907,0,0.04189,0,0.0367,0.04177,0.0047,0.0018,0.00307,0.00844,0.00336,0.03041,0,0.00318,0,0.1761,0.00331,0.07644,0.01856,0.04451,0,0,0.00412,0.02031,0.03805,0.00834,0.10225,0,0.05456,0.00604,0.1768,0,0,0.01233,0.00976,0.00886,0.0038,0.00727,0.00918,0.00133,0.01703,1.29991,0,0,0.02395,0,0.00373,0.13088,0,0.00511,0.00954,0.01632,0.04875,0.01776,0.0369,0.09358,0.01162,0.01733,0.00741,0.01179,0,0.03526,0.08902,0,0.01227,0.00742,0.02145,0.02069,0.17004,0,0,0.01883,0,0,0.00775,0.00429,0.01174,0,0,0,0.00647,0.01537,0,0.01622,0,0,0.00459,0.02847,0.00655,0,0.01004,0.00588,0.03497,0.00063,0,0,0.00727,0.0119,0.00488,0.03366,0,0.01726,0.09948,0.00425,0,0.0096,0.00103,0,0.0105,0,0.02403,0,0.01261,0.02952,0.00136,0.00212,0.00674,0.0091,0.00356,0.0206,0,0.01486,0.0103,0.01576,0.02046,0.01023,0.00473,0,0,0.00138,0.0085,0.01073,0.00188,0,0.00682,0,0,0.00785,0,0.01254,0.1217,0.00106,0,0.00303,0,0,0,0,0,0.01399,0.01899,0.03858,0,0,0.00338,0.02546
"Schaalia",0.00321,0,0.01646,0,0,0.00625,0.00153,0.00149,0,0,0.01105,0.00194,0,0.02602,0,0.01017,0.00038,0.01715,0.01018,0.01409,0,0,0.0057,0.00195,0.00358,0,0.04358,0,0.00783,0.00647,0.02828,0,0,0.00227,0,0.00375,0,0.00651,0.00494,0.00391,0.02554,0.04892,0,0,0.00213,0,0.00158,0.02948,0,0.00148,0.02349,0.73565,0.00079,0.00299,0.00332,0.01564,0.01135,0.00771,0.00036,0.00089,0,0.00288,0.01459,0,0.00541,0.00794,0,0.00333,0.01194,0,0,0.00901,0.00166,0,0,0,0.00938,0,0,0,2e-04,0.03257,0,0.00298,0,0,0.00206,0.00532,0.0083,0,0.0077,0.00924,0.05267,0.00225,0,0,0.15329,0.02119,0.00331,0.00276,0,0.00442,0.01128,0.00574,0,0.00147,0,0.00988,0.00352,0,0.00397,0,0.01302,0.00592,0,0,0.00242,0.00363,0.00248,0.00682,0,0.00744,0.0048,0.11085,0.00337,0.00763,0.00026,0,0,7e-04,0,0.00393,0,0,0.02476,0,0,0.00767,0,0.01933,0.02581,0.00258,0,7e-04,0,0,0,0,0,0.00485,0.00925,0.07611,0,0,0.0663,0.00433
"Varibaculum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0
"Aeriscardovia",0,0,0,0,0,0,0,0.00155,0,0,0.00406,0.00335,0,0.00159,0,0,0,0.00301,0,0.00423,0,0,0,0,0,0,0,0.00637,0.00198,0,0,0,0.00509,0,0,0,0.00184,0,0,0.00165,0,0,0,0,0.01361,0,0,0,0,0,0,0,0,0,0,0,0.00105,0.01117,0,0,0,0,0.0081,0.00365,0.00096,0,0,0,0,0,0,0,0,0,0.00495,0,0,0,0,0,0,0,0,0,0,0,0.00461,0,0,0,0,0.0207,0,0,0,0,0,9e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00315,0,0.00261,0,0,0,0.00099,0.00101,0,0,0.00219,0,0,0,0,0,0,0,0,0,0,0,0,0.00478,0.01254,0.00605,0,0,0,0,0,0,0,0,0,0.00366,0.00522,0,0,0
"Alloscardovia",0,0,0,0,0,0.00925,0,0,0,0,0,0,0,0,0,0,0,0,0.0075,0,0,0,0,0,0,0,0,0,0.01456,0,0.01943,0,0,0,0,0,0,0,0,0,0.00412,0,0,0,0,0,0,0,0,0,0,0,0.01096,0,0.00492,0.03642,0,0,0,0,0,0.00097,0.00123,0,0,0,0,0,0,0,0,0.01987,0,0,0,0,0,0,0,0,0,0,0,0.00869,0,0,0,0,0.02066,0,0,0,0.79867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00502,0,0,0,0,0.00118,0,0,0,0,0.02716,0,0,0,0,0.00205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium",9.65288,0,5.40612,0,0.70466,3.38732,0.75851,15.28656,0.11201,18.82304,4.83548,0.74834,0.35029,12.3494,0.21863,0,6.31769,12.44594,1.55941,6.03107,0,0,2.03308,0.06394,0.00534,0.37266,12.43603,11.13324,0.77932,0.57574,4.46979,0,41.10258,0.82548,0.3568,2.90159,8.34992,0.00969,0.08195,5.33849,0.03829,0,0.1458,0.05908,40.63828,0,0.41564,3.57212,1.49372,0.32933,0.27853,1.25509,0.10428,0.00988,2.86622,0.10425,9.61148,7.08862,0.00903,0.40052,0,0.05807,17.73165,5.94312,9.51818,0.43142,0.00929,2.4005,0.14989,8.71794,0.19898,0.75004,0.04911,2.80792,5.97572,0.20439,0.17735,0.15854,0.04026,0.39222,10.49072,0.00236,0,0,0.20897,1.12382,9.60963,0.60563,2.70023,2.04613,3.97242,16.21062,0.10157,0.69153,0.41099,0.05071,0.2005,5.05427,0.64999,0.01841,0.30884,0.36043,7.63669,1.21024,1.38764,0.21168,8.55944,8.3778,1.08901,0.1697,0.91665,0.6557,1.07988,0.03798,1.35931,0.00405,5.25934,0.44457,4.66246,3.02907,0,0.15708,2.1135,33.60226,5.60304,1.32414,1.75658,0.15452,2.89929,0.78096,0.1038,2.37835,2.12602,0.02266,0.24111,0.16222,2.65539,0.03467,0.00262,10.6968,11.43697,13.74424,0.06647,0.33605,0,0,4.81043,1.94809,8.20434,6.30667,3.63403,4.47948,9.23286,0.03731,0,2.33999
"Gardnerella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parascardovia",0,0,0,0,0.00183,0,0,0,0,0,0,0.00414,0,0,0,0,0,0,0,0.00397,0,0,0,0,0,0,0,0,8e-04,0,0.0261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scardovia",0,0,0,0,0,0,0,0,0,0,0,0.01354,0,0,0,0.01438,0,0,0,0,0,0,0,0,0,0,0,0,0.00601,0,0,0,0,0,0,0,0,2e-04,0,0,0,0,0,0,0,0,0,0.01498,0,0,0,0,0.00339,0,0,0,0,0,0,0,0,0,0.00215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00394,0,0.00045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00301,0,0,0.00272,0,0,0,0
