"","CCIS00146684ST.4.0","CCIS00281083ST.3.0","CCIS02124300ST.4.0","CCIS02379307ST.4.0","CCIS02856720ST.4.0","CCIS03473770ST.4.0","CCIS03857607ST.4.0","CCIS05314658ST.4.0","CCIS06260551ST.3.0","CCIS07277498ST.4.0","CCIS07539127ST.4.0","CCIS07648107ST.4.0","CCIS08668806ST.3.0","CCIS09568613ST.4.0","CCIS10706551ST.3.0","CCIS10793554ST.4.0","CCIS11015875ST.4.0","CCIS11019776ST.4.0","CCIS11354283ST.4.0","CCIS11362406ST.4.0","CCIS11558985ST.4.0","CCIS12370844ST.4.0","CCIS12656533ST.4.0","CCIS13047523ST.4.0","CCIS14449628ST.4.0","CCIS15704761ST.4.0","CCIS15794887ST.4.0","CCIS16326685ST.4.0","CCIS16383318ST.4.0","CCIS16561622ST.4.0","CCIS17669415ST.4.0","CCIS19142497ST.3.0","CCIS20795251ST.4.0","CCIS21126322ST.4.0","CCIS21278152ST.4.0","CCIS22275061ST.4.0","CCIS22416007ST.4.0","CCIS22906510ST.20.0","CCIS22958137ST.20.0","CCIS23164343ST.4.0","CCIS24254057ST.4.0","CCIS24898163ST.4.0","CCIS25399172ST.4.0","CCIS27304052ST.3.0","CCIS27927933ST.4.0","CCIS28384594ST.4.0","CCIS29210128ST.4.0","CCIS29688262ST.20.0","CCIS31434951ST.20.0","CCIS32105356ST.4.0","CCIS32452666ST.4.0","CCIS33816588ST.4.0","CCIS34055159ST.4.0","CCIS34604008ST.4.0","CCIS35092938ST.4.0","CCIS35100175ST.4.0","CCIS36699628ST.4.0","CCIS36797902ST.4.0","CCIS37250421ST.4.0","CCIS38765456ST.20.0","CCIS40244499ST.3.0","CCIS41222843ST.4.0","CCIS41288781ST.4.0","CCIS41548810ST.4.0","CCIS41692898ST.4.0","CCIS41806458ST.4.0","CCIS44093303ST.4.0","CCIS44676181ST.4.0","CCIS44743950ST.4.0","CCIS44757994ST.4.0","CCIS45571137ST.3.0","CCIS45793747ST.4.0","CCIS46047672ST.4.0","CCIS46467422ST.4.0","CCIS47284573ST.4.0","CCIS47745468ST.4.0","CCIS48174381ST.4.0","CCIS48507077ST.4.0","CCIS48579360ST.4.0","CCIS48725289ST.4.0","CCIS50003399ST.4.0","CCIS50148151ST.4.0","CCIS50369211ST.20.0","CCIS50471204ST.4.0","CCIS50561855ST.4.0","CCIS51595129ST.4.0","CCIS51667829ST.4.0","CCIS52234160ST.4.0","CCIS52370277ST.4.0","CCIS53043478ST.4.0","CCIS53355328ST.4.0","CCIS53557295ST.4.0","CCIS54027808ST.4.0","CCIS55230578ST.4.0","CCIS55531770ST.4.0","CCIS56503244ST.3.0","CCIS58234805ST.4.0","CCIS59132091ST.4.0","CCIS59903910ST.4.0","CCIS61287323ST.4.0","CCIS62605362ST.3.0","CCIS62794166ST.4.0","CCIS63448910ST.4.0","CCIS63468405ST.4.0","CCIS63910149ST.4.0","CCIS64773582ST.4.0","CCIS64785924ST.20.0","CCIS65479369ST.4.0","CCIS70398272ST.4.0","CCIS71301801ST.4.0","CCIS71578391ST.4.0","CCIS72607085ST.4.0","CCIS74239020ST.4.0","CCIS74726977ST.3.0","CCIS76563044ST.4.0","CCIS76845094ST.20.0","CCIS77100899ST.4.0","CCIS77252613ST.4.0","CCIS78100604ST.4.0","CCIS78318719ST.4.0","CCIS79210440ST.3.0","CCIS80834637ST.4.0","CCIS81139242ST.4.0","CCIS81710917ST.20.0","CCIS81735969ST.20.0","CCIS81887263ST.4.0","CCIS82146115ST.4.0","CCIS82507866ST.3.0","CCIS82944710ST.20.0","CCIS83445808ST.4.0","CCIS83574003ST.4.0","CCIS83870198ST.4.0","CCIS84543192ST.4.0","CCIS85214191ST.3.0","CCIS87116798ST.4.0","CCIS87167916ST.4.0","CCIS87252800ST.4.0","CCIS87290971ST.4.0","CCIS87605453ST.4.0","CCIS88007743ST.4.0","CCIS88317640ST.4.0","CCIS90164298ST.4.0","CCIS90166425ST.4.0","CCIS90443472ST.4.0","CCIS90903952ST.3.0","CCIS91228662ST.4.0","CCIS93040568ST.20.0","CCIS94417875ST.3.0","CCIS94496512ST.4.0","CCIS94603952ST.4.0","CCIS95097901ST.4.0","CCIS95409808ST.4.0","CCIS96387239ST.4.0","CCIS98482370ST.3.0","CCIS98512455ST.4.0","CCIS98832363ST.4.0"
"Actinomycetales",0.02228,0,0.05835,0,0.0367,0.04802,0.00623,0.00329,0.00307,0.00844,0.01441,0.03235,0,0.0292,0,0.18627,0.00369,0.09359,0.02874,0.0586,0,0,0.00982,0.02226,0.04163,0.00834,0.14583,0,0.06239,0.01515,0.21386,0,0,0.0146,0.00976,0.01261,0.0038,0.01378,0.01617,0.00524,0.04257,1.34883,0,0,0.02608,0,0.00531,0.16645,0,0.00659,0.03303,0.75197,0.04954,0.02075,0.04022,0.10922,0.02297,0.07562,0.00777,0.01716,0,0.03814,0.10361,0,0.01768,0.01957,0.02145,0.02402,0.18198,0,0,0.02784,0.00166,0,0.00775,0.00429,0.02112,0,0,0,0.00684,0.04794,0,0.0192,0,0,0.00792,0.03379,0.01485,0,0.01774,0.01512,0.08764,0.00288,0,0,0.17367,0.03309,0.00819,0.03642,0,0.02168,0.11076,0.00999,0,0.01107,0.00103,0.00988,0.01402,0,0.028,0,0.02563,0.03544,0.00136,0.00212,0.00916,0.01273,0.00604,0.02742,0,0.0223,0.0151,0.12661,0.02383,0.01786,0.00499,0,0,0.00208,0.0085,0.01466,0.00188,0,0.03158,0,0,0.01552,0,0.03187,0.14899,0.00364,0,0.00373,0,0,0,0,0,0.01884,0.02824,0.12858,0,0,0.06968,0.02979
"Bifidobacteriales",9.65288,0,5.40612,0,0.70649,3.39657,0.75851,15.28811,0.11201,18.82304,4.83954,0.76937,0.35029,12.35099,0.21863,0.01438,6.31769,12.44895,1.56691,6.03927,0,0,2.03308,0.06394,0.00534,0.37266,12.43603,11.13961,0.80267,0.57574,4.51532,0,41.10767,0.82548,0.3568,2.90159,8.35176,0.00989,0.08195,5.34014,0.04241,0,0.1458,0.05908,40.65189,0,0.41564,3.5871,1.49372,0.32933,0.27853,1.25509,0.11863,0.00988,2.87114,0.14067,9.61253,7.10472,0.00903,0.40052,0,0.05904,17.74313,5.94677,9.51914,0.43142,0.00929,2.4005,0.14989,8.71794,0.19898,0.76991,0.04911,2.80792,5.98067,0.20439,0.17735,0.15854,0.04026,0.39222,10.49072,0.00236,0,0.00869,0.20897,1.12382,9.61424,0.60563,2.72089,2.04613,3.97242,16.23132,0.90024,0.69153,0.41099,0.05071,0.2005,5.05517,0.64999,0.01841,0.30884,0.36043,7.63669,1.21035,1.38764,0.21168,8.55944,8.3778,1.09403,0.1697,0.91665,0.6557,1.07988,0.0431,1.35931,0.0045,5.26249,0.44457,4.69223,3.02907,0,0.15708,2.11449,33.60532,5.60304,1.32414,1.75877,0.15452,2.89929,0.78096,0.1038,2.37835,2.12602,0.02266,0.24111,0.16222,2.65539,0.03467,0.00262,10.70158,11.77009,13.75029,0.06647,0.33605,0,0,4.81043,1.94809,8.20735,6.30667,3.63403,4.48586,9.23808,0.03731,0,2.33999
"Corynebacteriales",0,0,0,0,0,0.01698,0,0,0,0,0.13028,0,0,0,0,0.00641,0,0,0,0,0,0,0,0,0,0,0.2935,0,0.00158,0,0,0,0,0.07865,0,0,0,0,0.00895,0.15998,0,0,0,0,0,0,0,0.00415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00059,0,0.00086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00483,0.00027,0,0,0,0,0,0,0,0.18445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1973,0,0,0.00061,0,0,0,0,0,0,0,0,0,0,0.00031,0,0,0,0.00086,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Micrococcales",0.00806,0,0,0,0.01443,0.0441,0.00044,0.06315,0.01496,0,0.00312,0,0,0.00236,0,0.03015,0.00236,0.14746,0,0,0,0,0,0,0.02391,0.00023,0.03693,0,0.02597,0,0.01399,0,0,0.00017,0,0,0,0,0.00199,0.08112,0.00402,0.00509,0,0,0,0,0.00651,0.0043,0,0.01585,0.05334,0,0.02452,0.00755,0.00744,0.0724,0.00517,0,0.00468,0.00211,0.00775,0,0,0,0,0,0.00321,0.00096,0.00528,0,0,0.01441,0,0,0,0.0047,0.17335,0,0,0,0.00156,0.03407,0,0,0,0,0.00099,0.00235,0.00033,0,0,0,0.12631,0.00596,0,0,0,0.02589,0.06018,0,0,0,0.00403,0.00569,0,0.0032,0,0,0.01459,0,0.00149,0,0.00136,0.00546,0,0,0,0,0,0.01531,0,0.00129,0,0.00454,0.00998,0,0,0,0,0.0059,0.00463,0,0,0,0.00179,0.02708,0,0.01778,0,0,0.02851,8e-04,0,0,0,0.00279,0,0,0,0,0,0.00135,0,0,0,0
"Propionibacteriales",0,0,0.09777,0,0,0,0,0,0,0,0,0.00428,0,0,0,0,0,0.05204,0.01487,0,0,0,0.00124,0,0,0,0,0,0.00071,0.00013,0.0034,0,0.02568,0,0,0,0,0,0,0.00508,0,0.00222,0,0,0,0,0.00536,0.71299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00127,0,0,0,0.0018,0.01025,0,0,0,0,0,0,0,0,0.03779,0,0,0,0,0,0,0,0,0.01849,0,0.00636,0,0,0,0,0,0,0,0,0,0,0,0,0.01234,0,0,0,0.02005,0,0,0,0,0.00889,0,0,0.00064,0,0,0,0,0,0.04306,0,0,0,0,0,0,0.00351,0,0,0,0,0
"Coriobacteriales",0.14232,0.01803,1.97476,0.10352,0.48087,0.25621,2.09455,0.92197,0.79217,1.60229,1.94828,5.04087,0.06216,0.61727,0.05544,0.01114,1.43317,3.23555,1.9092,3.42856,0.14463,0.22422,1.35362,0.00603,0.62287,0,5.89657,1.32138,2.48031,0.85546,2.5572,0,2.27061,0.00136,1.10951,0.00671,0.20517,1.82999,0.94572,1.04856,0.00401,2.37603,0.38558,0.02015,0.1757,0.60233,2.10465,5.88303,0.86669,1.04701,0.00173,0.95253,0.92203,0.81832,0.26141,0.40542,0.50036,2.71309,0.32623,1.91253,0.02979,0.26949,0.91485,0.02386,0.95229,0.47297,0.00605,0.6802,1.46079,1.11905,0.14341,1.18294,1.14712,1.1164,0.01237,0,0.87128,0.72603,0.38711,0.61417,0,0.18462,41.1796,1.72605,0.38341,0.22792,1.94793,0.0038,0.06106,1.76328,4e-04,1.0285,4.19541,2.70732,0.36746,0,1.14466,2.46038,0.02911,2.47686,0.76741,0.33727,0.0091,0.82385,0.98053,0,1.58017,3.39697,0.28858,0.04177,0.9857,0.10635,2.41133,1.12435,4.32349,0.01808,2.16273,3.33098,0.91887,1.41609,0.06154,0.46037,0.00444,5.05406,1.10903,0.00131,2.22242,0.02237,1.18187,1.23214,0.012,0.47177,2.36008,0,0.70612,3.36352,0,0.8649,2.10359,3.44032,2.28269,2.89094,3.82725,0.9479,0,0.23772,0,0.40322,4.3975,0.14173,4.84745,1.84255,2.25421,0.04604,1.56378,3.4001
"Eggerthellales",0.21198,0,0.42831,0.02151,0.32138,0.01592,0.02255,0.32302,0.10223,0.43927,0.348,0.68434,0,0.06132,0,0.60326,0.07884,1.33337,0.2471,0.36936,0,0,0.69613,0.13834,0.06045,0.05351,0.25083,0.98072,0.70759,0.5175,0.30707,0,0.09357,0.11772,0.20378,1.59178,0.06397,0.60715,0.24564,0.77402,2.71448,1.80215,0.62272,0,0.03663,0.8513,0.14416,0.63992,0.42737,0.0676,1.57456,0.06663,0.23261,0.17505,0.16791,0.0074,1.08343,0.14694,0.30883,0.01721,0.00789,0.39983,0.28905,0.04263,0.54768,0.02032,0.98976,0.44799,0.44996,0.07686,0.00168,0.06967,0.21818,0.03163,0.20927,0.05298,1.62672,0.00816,0.09109,0.73435,0.25168,1.08779,1.47605,0.48531,0.37738,0.14666,0.60116,0.17129,0.36604,0.07333,0.82764,0.8763,0.67932,0.43466,0.01735,0,0.06181,0.5684,0.01524,0.11543,0.6613,0.88229,0.00563,0.0122,0.03473,0.47339,0.95055,0.50026,0.23914,0.02754,0.03773,0.23322,0.36063,0.08942,0.01449,0.23332,0.26666,0.43142,0.36437,0.09439,0,0.13611,0.11298,0.73806,0.37092,0.18883,0.35104,0,0.30005,0.04374,0.04321,0.14445,0.09061,0.00916,0.34149,0.15558,0.00731,0.33337,0.34384,0.4154,1.39246,0.35959,0.30316,0.12173,0,0.01094,0.39694,0,0.06382,0.26664,0.17459,0.21158,0.1633,0,0.05436,0.0748
"Saccharomycetales",0,0.00438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0156,0,0,0,0,0,0.00186,0,0,0,0,0,0.00195,0,0,0,0.00919,0,0,0,0,0,0,0,0.09528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03666,0,0,0,0.00514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00237,0,0,0,0,0
"Bacteroidales",21.86795,75.99279,20.19827,56.55994,26.58431,28.02409,15.18416,31.76989,16.8432,29.6481,45.20098,35.96772,37.54487,30.27124,38.90095,21.06823,34.36617,16.69704,25.42457,12.09094,78.41542,28.21133,27.11018,34.44292,62.68677,0.06672,26.98702,47.3313,34.53782,45.87201,15.92272,23.1712,9.72035,12.08527,17.55975,3.83556,27.73843,35.16782,44.11128,1.85371,67.53783,26.85364,53.64189,30.13411,0.33815,39.84655,63.89239,5.12503,13.70953,55.14653,29.31383,38.53138,8.02884,17.68597,22.54745,31.97136,3.2756,26.73848,23.63601,29.56098,63.85374,31.00667,25.56784,51.18637,19.98931,6.05951,76.64478,10.18205,38.01799,25.67415,39.68708,26.38604,45.31796,76.17989,30.42906,61.59725,27.9937,68.7843,41.31765,19.88801,19.11247,52.26404,0.06121,25.74816,75.31784,21.86674,23.56667,16.43159,57.43622,39.05621,31.05058,22.82193,28.9127,25.86709,40.73793,31.02585,25.62544,0.65172,26.58472,32.59805,28.41821,52.2979,37.30085,36.11938,20.9591,41.76022,10.62428,36.27276,33.09894,79.29489,29.68812,52.28064,16.71369,39.64125,34.35205,26.2469,34.09143,39.1969,21.16328,18.02765,40.51742,36.2669,24.43916,16.92251,22.9293,34.82516,4.1066,43.68681,19.24521,29.20303,72.83622,40.85781,61.68503,78.74096,44.17151,15.52318,65.7562,28.59077,64.14074,41.42562,17.72985,13.26397,54.34586,39.2909,59.64506,69.93131,34.09208,19.78455,23.04719,25.20813,22.77949,5.541,58.89831,39.0499,46.12775,33.57104
"Candidatus Gastranaerophilales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07795,0,0,0,0,0,0,0,0,0.0032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00526,0,0,0,0,0,0,0.01932,0,0,0,0.11691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06336,0,0,0,0.03205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83836,0,0.01196,0,0,0,0,0,0,0,0,0,0,0
